DMA,25-Feb,25-Mar,25-Apr,Q125,25-May,25-Jun,25-Jul,Q225,25-Aug,25-Sep,25-Oct,Q325,25-Nov,25-Dec,26-Jan,Q425,FY25,26-Feb,26-Mar,26-Apr,Q126,26-May,26-Jun,26-Jul,Q226,
Los Angeles,,$138K,$215K,$353K,$85K,$130K,$172K,$387K,$255K,$14K,$52K,$321K,$353K,$844K,$290K,"$1,487K","$2,548K",$135K,$558K,$368K,"$1,061K",$241K,$645K,$676K,"$1,643K",
Miami,,$104K,$180K,$284K,$79K,$115K,$135K,$329K,$197K,$5K,$94K,$296K,$381K,$635K,$226K,"$1,241K","$2,150K",$72K,$292K,$174K,$537K,$124K,$202K,$224K,$598K,
Chicago,,$77K,$139K,$217K,$57K,$85K,$106K,$249K,$161K,$253K,$476K,$890K,$240K,$569K,$182K,$990K,"$2,345K",$93K,$292K,$198K,$584K,$213K,$279K,$385K,$877K,
Boston,,$75K,$101K,$176K,$47K,$60K,$90K,$197K,$127K,$5K,$14K,$146K,$163K,$367K,$129K,$659K,"$1,178K",$55K,$180K,$141K,$375K,$120K,$124K,$184K,$429K,
Washington DC,,$79K,$92K,$172K,$44K,$42K,$147K,$232K,$131K,$10K,-$6K,$135K,$138K,$315K,$122K,$576K,"$1,114K",$73K,$246K,$206K,$526K,$144K,$145K,$214K,$503K,
New York,,$300K,$473K,$773K,$247K,$307K,$428K,$983K,$526K,$45K,$58K,$629K,$766K,"$1,825K",$468K,"$3,058K","$5,443K",$194K,$817K,"$1,251K","$2,262K",$352K,$551K,$693K,"$1,670K",
Atlanta,,$80K,$90K,$170K,$41K,$48K,$124K,$212K,$128K,$8K,$36K,$173K,$150K,$340K,$135K,$625K,"$1,180K",$87K,$235K,$149K,$472K,$141K,$145K,$266K,$551K,
Houston,,$66K,$148K,$214K,$63K,$94K,$118K,$275K,$164K,$67K,$78K,$310K,$241K,$575K,$187K,"$1,003K","$1,802K",$71K,$307K,$203K,$581K,$141K,$224K,$259K,$670K,
Dallas,,$75K,$105K,$179K,$52K,$63K,$124K,$239K,$122K,$327K,$627K,"$1,075K",$174K,$401K,$136K,$711K,"$2,204K",$74K,$280K,$224K,$579K,$157K,$243K,$308K,$723K,
Philadelphia,,$78K,$139K,$217K,$50K,$82K,$118K,$250K,$154K,$7K,$74K,$235K,$414K,$698K,$248K,"$1,360K","$2,061K",$62K,$269K,$176K,$507K,$124K,$174K,$234K,$568K,
San Antonio,,$34K,$58K,$92K,$23K,$34K,$49K,$106K,$59K,$2K,$42K,$103K,$93K,$180K,$50K,$322K,$624K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,
Charlotte,,$17K,$31K,$48K,$18K,$23K,$25K,$66K,$31K,$2K,$4K,$38K,$51K,$86K,$31K,$167K,$318K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,
West Palm,,$26K,$40K,$66K,$17K,$21K,$44K,$82K,$43K,$2K,$30K,$75K,$57K,$117K,$127K,$301K,$523K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,
Orlando,,$40K,$69K,$109K,$36K,$44K,$86K,$166K,$91K,$4K,$24K,$119K,$117K,$280K,$104K,$500K,$895K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,
Sacramento,,$25K,$39K,$64K,$21K,$28K,$59K,$109K,$52K,$2K,$32K,$87K,$77K,$150K,$47K,$274K,$533K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,
Tampa,,$70K,$80K,$149K,$34K,$40K,$96K,$170K,$114K,$4K,$5K,$123K,$138K,$309K,$101K,$548K,$990K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,
Detroit,,$41K,$68K,$110K,$23K,$37K,$50K,$110K,$89K,$4K,$65K,$158K,$114K,$264K,$86K,$465K,$842K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,
El Paso,,$20K,$29K,$50K,$18K,$19K,$31K,$68K,$32K,$0K,$9K,$41K,$47K,$86K,$26K,$160K,$318K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,
Providence,,$8K,$11K,$19K,$0K,$0K,$19K,$19K,$13K,$0K,$20K,$33K,$10K,$27K,$7K,$44K,$116K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,
Fort Myers,,$12K,$19K,$31K,$13K,$14K,$18K,$45K,$20K,$1K,$0K,$20K,$31K,$52K,$20K,$103K,$199K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,
Las Vegas,,$26K,$37K,$63K,$18K,$21K,$53K,$92K,$43K,$1K,$10K,$55K,$59K,$114K,$33K,$207K,$416K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,
Harlingen/McAllen,,$28K,$45K,$73K,$26K,$31K,$43K,$100K,$47K,$1K,$11K,$58K,$74K,$163K,$50K,$286K,$517K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,$0K,
