Store,Store Location,Open/Closed Status,Open / Remo / Relo Year,New Store GO / Closed / Relo / Remodel Date,Details,Original Open Year,Original Open Date,"Comp Status 
(at time of Store Master refresh)",SE 2.0 Store,Designer Store,Territory,Region,District,Region & District Short,MSA,DMA,Top 10 DMA or PR?,Street Address,City,State,Zip,Lat,Lon, Selling Square Feet ,Urbanicity,Trade Area Population,Trade Area Population Density,Population Density within 3 mi.,DMA Population,Trade Area Med HH Income,Trade Area MHI Bucket,Trade Area %HH w/ HH Income LT $50K,Trade Area %HH w/ HH Income $50K-$75K,Trade Area %HH w/ HH Income $75K-$100K,Trade Area %HH w/ Hh Income GT $100K, MHI Index , MHI Index Bucket ,DMA Med HH Income,TA White %,TA White % Bucket,TA AA %,TA AA% Bucket,TA Hispanic %,TA Hispanic % Bucket,TA Asian %,TA Asian % Bucket, DMA Pop Growth % , DMA Married % ,FY'22 Volume Band (Tot Sales),FY'23 Volume Band (Tot Sales),FY'24 Volume Band (Tot Sales),FY'25 Volume Band (Tot Sales),VGR (L52W based on Update Date),Sales $ FY'15,FY'16 Sales $,FY'17 Sales $,FY'18 Sales $ Comp,FY'18 Sales $,FY'19 Sales Comp $,FY'20 Sales Comp $,Comp FY'21 Sales $,Comp FY'22 Sales $,FY'22 Total Sales $,Comp FY'23 Sales $,FY'23 Total Sales $,Comp FY'24 Sales $,FY'24 Total Sales $,Comp FY'25 Sales $,FY'25 Total Sales $,FY'14 Sales $ Comp %,FY'15 Sales $ Comp %,FY'16 Sales $ Comp %,FY'17 Sales $ Comp %,FY'18 Sales $ Comp % Restated,FY'19 Sales $ Comp %,FY'20 Sales $ Comp %,FY'21 Sales $ Comp %,FY'22 Sales $ Comp %,FY'23 Sales $ Comp %,FY'24 Sales $ Comp %,FY'25 Sales $ Comp %,Last Quarter Wk Avg OH$ @ Cost,Last Quarter Wk Avg OHU
2,"MILWAUKEE, WI",Open,1981,,Original Location,1981,11/27/1981,Comp,,,1,5,2,R05 D02,Milwaukee-Waukesha-West Allis,"Milwaukee, WI",,1501 WEST ZELLMAN COURT,MILWAUKEE,WI,53221,42.9,-87.9," 26,973 ",Light Suburban,"436,735","3,320","2,552","2,243,542","$62,987",60K-70K,44%,19%,12%,25%,104%,100 - 120,"$80,132",38%,20-40%,26%,20-30%,25%,20-30%,6%,6-8%,0.03%,48.38%,10 - 12 MM, 08 - 10 MM ,08 - 10 MM,08 - 10 MM,E,"$10,752,337","$11,064,742","$11,011,849","$11,004,310","$11,004,310","$11,386,171","$8,507,395","$12,734,461","$10,184,726","$10,184,726","$9,830,842","$9,960,993","$9,737,789","$9,737,789","$9,374,350","$9,374,350",5.8%,-2.7%,2.9%,-1.7%,1.2%,3.5%,-25.3%,11.8%,-20.0%,-3.5%,-0.7%,-3.7%,"$403,361 ","17,520"
3,"BRAINTREE, MA",Open,1984,,Original Location,1984,1/6/1984,Comp,Yes,Yes,3,10,4,R10 D04,Boston-Cambridge-Newton,"Boston, MA (Manchester, NH)",Top 10 DMA,705 GRANITE STREET,BRAINTREE,MA,2184,42.2,-71.0," 49,851 ",Light Suburban,"398,907","5,041","2,871","6,834,716","$85,537",GT80K,33%,14%,12%,41%,103%,100 - 120,"$112,082",29%,20-40%,34%,GT 30%,17%,10-20%,9%,GT 8%,0.28%,49.68%,20M+, 20M+ ,20M+,20M+,A,"$18,009,039","$19,744,665","$20,199,676","$20,016,021","$20,016,021","$19,760,803","$11,075,891","$23,147,839","$21,820,181","$21,820,181","$22,235,650","$22,522,832","$21,302,893","$21,302,893","$22,283,369","$22,283,369",14.9%,5.1%,9.6%,1.0%,0.3%,-1.3%,-44.0%,17.1%,-5.7%,1.9%,-4.2%,4.6%,"$753,929 ","36,025"
5,CLOSED,Closed,,8/14/2022,Closure Date,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT8MM, LT8MM ,,,,"$10,498,041","$9,501,841","$9,520,600","$8,691,518","$8,691,518","$8,208,940","$4,444,936","$8,305,242","$4,356,413","$4,592,931",,$0,,,,,13.4%,-5.0%,-9.5%,-1.0%,-7.6%,-5.6%,-45.9%,1.2%,11.8%,,,,$0 ,NA
6,"PARAMUS, NJ (RT. 17)",Open,1978,,Original Location,1978,9/1/1978,Comp,,,3,13,6,R13 D06,New York-Newark-Jersey City,"New York, NY",Top 10 DMA,651 ROUTE 17 SOUTH,PARAMUS,NJ,7652,41.0,-74.1," 42,422 ",Suburban,"1,149,255","4,715","3,883","22,165,424","$106,015",GT80K,26%,12%,11%,51%,172%,GT 120,"$101,231",46%,40-60%,9%,5-10%,32%,30-40%,10%,GT 8%,0.08%,49.12%,12 - 20 MM, 12 - 20 MM ,08 - 10 MM,08 - 10 MM,E,"$15,558,426","$16,419,284","$16,374,865","$16,683,913","$16,683,913","$15,771,826","$8,339,115","$15,860,168","$13,528,089","$13,528,089","$11,879,228","$12,031,936","$9,831,435","$9,831,435","$9,811,692","$9,811,692",9.0%,8.8%,5.5%,-1.5%,3.2%,-5.5%,-47.1%,0.6%,-14.7%,-12.2%,-17.2%,-0.2%,"$501,365 ","16,539"
7,CLOSED,Closed,,1/23/2017,Closure Date,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,226,597","$4,428,980",,,,, ,,,,,,,,,,-4.3%,1.1%,2.8%,,,, ,,,,,,$0 ,NA
8,"STONY BROOK, NY",Open,1978,,Original Location,1978,10/15/1978,Comp,Yes,,3,14,1,R14 D01,New York-Newark-Jersey City,"New York, NY",Top 10 DMA,2199 NESCONSET HIGHWAY,STONY BROOK,NY,11790,40.9,-73.1," 28,040 ",Light Suburban,"414,388","3,339","2,950","22,165,424","$126,492",GT80K,18%,11%,12%,59%,141%,GT 120,"$101,231",50%,40-60%,9%,5-10%,32%,30-40%,7%,6-8%,0.08%,49.12%,10 - 12 MM, 10 - 12 MM ,10 - 12 MM,08 - 10 MM,E,"$9,895,605","$10,353,689","$11,254,605","$11,768,648","$11,768,648","$11,158,206","$6,411,091","$12,092,968","$10,660,013","$10,660,013","$11,684,676","$11,835,240","$10,524,312","$10,524,312","$8,796,516","$8,796,516",15.2%,6.4%,4.6%,7.3%,5.8%,-5.2%,-42.5%,8.4%,-11.8%,9.6%,-10.0%,-16.4%,"$400,253 ","19,811"
9,CLOSED,Closed,,8/24/2018,Closure Date,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,168,760","$7,591,738","$8,311,237","$3,696,631","$4,253,179",$0, ,,,,,,,,,,-0.1%,-0.8%,5.9%,8.1%,2.1%,, ,,,,,,$0 ,NA
12,"FORESTVILLE, MD",Open,1980,,Original Location,1980,7/28/1980,Comp,,,5,11,6,R11 D06,Washington-Arlington-Alexandria,"Washington, DC (Hagerstown, MD)",Top 10 DMA,3200 DONNELL DRIVE,FORESTVILLE,MD,20747,38.8,-76.9," 31,937 ",Suburban,"618,073","2,498","3,298","7,403,493","$88,588",GT80K,29%,15%,13%,43%,70%,LT 80,"$120,994",5%,LT 20%,78%,GT 30%,12%,10-20%,2%,LT 2%,0.54%,51.13%,08 - 10 MM, LT8MM ,08 - 10 MM,08 - 10 MM,F,"$10,256,304","$9,873,505","$9,651,548","$9,467,233","$9,467,233","$9,195,929","$5,579,088","$9,646,256","$8,094,798","$8,094,798","$7,555,824","$7,660,474","$8,270,793","$8,270,793","$8,570,054","$8,570,054",1.4%,5.2%,-3.7%,-3.5%,-0.6%,-2.9%,-39.3%,4.9%,-16.1%,-6.7%,9.6%,3.6%,"$439,671 ","15,866"
13,"BAILEY'S CROSSROADS, VA",Open,1981,,Original Location,1981,12/18/1981,Comp,Yes,Yes,5,11,4,R11 D04,Washington-Arlington-Alexandria,"Washington, DC (Hagerstown, MD)",Top 10 DMA,3524 SOUTH JEFFERSON STREET,BAILEYS CROSSROAD,VA,22041,38.8,-77.1," 54,223 ",Urban,"941,837","5,289","10,577","7,403,493","$127,165",GT80K,18%,11%,12%,59%,97%,80 - 100,"$120,994",38%,20-40%,17%,15-20%,25%,20-30%,14%,GT 8%,0.54%,51.13%,12 - 20 MM, 12 - 20 MM ,12 - 20 MM,12 - 20 MM,C,"$16,651,648","$17,373,659","$18,156,685","$18,201,110","$18,201,110","$18,756,303","$11,329,630","$18,112,160","$16,219,080","$16,219,080","$15,606,554","$15,822,314","$15,324,406","$15,324,406","$15,892,905","$15,892,905",8.0%,6.3%,4.3%,3.1%,1.5%,3.1%,-39.6%,-3.4%,-10.5%,-3.8%,-1.8%,3.7%,"$669,564 ","26,513"
14,"DORAVILLE, GA",Open,1980,,Original Location,1980,11/2/1980,Comp,Yes,Yes,5,19,1,R19 D01,Atlanta-Sandy Springs-Roswell,"Atlanta, GA",Top 10 DMA,5766  BUFORD HIGHWAY NE,DORAVILLE,GA,30340,33.9,-84.3," 53,165 ",Suburban,"1,689,064","2,233","3,543","7,692,390","$78,077",70K-80K,27%,16%,12%,45%,77%,LT 80,"$87,109",19%,LT 20%,49%,GT 30%,19%,10-20%,10%,GT 8%,0.88%,50.12%,12 - 20 MM, 12 - 20 MM ,12 - 20 MM,12 - 20 MM,B,"$11,199,288","$13,377,743","$14,628,259","$15,385,804","$15,385,804","$16,740,891","$11,889,850","$19,609,921","$18,324,268","$18,324,268","$18,514,628","$18,749,854","$17,670,467","$17,670,467","$18,368,055","$18,368,055",9.6%,4.7%,19.5%,7.9%,6.5%,8.8%,-29.0%,17.1%,-6.6%,1.0%,-4.3%,3.9%,"$817,841 ","29,989"
