Store,Location,Month,Year,WeekEndDate, Exits , Exits LY ,# Sale Txns,# Sale Txns LY
2,"MILWAUKEE, WI",FEB,2026,2/7/2026,"4,651","4,267","2,466","2,362"
2,"MILWAUKEE, WI",FEB,2026,2/14/2026,"4,151","4,038","2,247","2,262"
2,"MILWAUKEE, WI",FEB,2026,2/21/2026,"4,511","4,456","2,383","2,410"
2,"MILWAUKEE, WI",FEB,2026,2/28/2026,"3,319","3,477","1,688","1,850"
2,"MILWAUKEE, WI",MAR,2026,3/7/2026,"5,463","5,203","2,853","2,829"
2,"MILWAUKEE, WI",MAR,2026,3/14/2026,"5,619","5,858","2,861","3,095"
2,"MILWAUKEE, WI",MAR,2026,3/21/2026,"5,575","5,713","2,822","3,083"
2,"MILWAUKEE, WI",MAR,2026,3/28/2026,"5,421","6,705","2,804","3,416"
2,"MILWAUKEE, WI",MAR,2026,4/4/2026,"5,760","5,162","2,991","2,875"
2,"MILWAUKEE, WI",APR,2026,4/11/2026,"4,450","5,366","2,402","2,904"
3,"BRAINTREE, MA",FEB,2026,2/7/2026,"3,816","4,143","2,330","2,345"
3,"BRAINTREE, MA",FEB,2026,2/14/2026,"6,949","6,356","3,950","3,637"
3,"BRAINTREE, MA",FEB,2026,2/21/2026,"3,566","3,209","1,946","1,734"
3,"BRAINTREE, MA",MAR,2026,3/14/2026,"1,876","1,834","1,115",949
3,"BRAINTREE, MA",MAR,2026,4/4/2026,"2,324","1,779","1,335",941
3,"BRAINTREE, MA",APR,2026,4/11/2026,91,"1,563",14,845
6,"PARAMUS, NJ (RT. 17)",FEB,2026,2/7/2026,"3,589","3,501","1,974","2,006"
6,"PARAMUS, NJ (RT. 17)",FEB,2026,2/14/2026,"4,620","4,378","2,509","2,376"
6,"PARAMUS, NJ (RT. 17)",FEB,2026,2/21/2026,"4,237","4,386","2,262","2,272"
6,"PARAMUS, NJ (RT. 17)",FEB,2026,2/28/2026,"2,699","3,547","1,403","1,926"
6,"PARAMUS, NJ (RT. 17)",MAR,2026,3/7/2026,"4,672","5,021","2,640","2,750"
6,"PARAMUS, NJ (RT. 17)",MAR,2026,3/14/2026,"5,390","5,259","3,001","2,887"
6,"PARAMUS, NJ (RT. 17)",MAR,2026,3/21/2026,"5,487","5,454","3,085","3,028"
6,"PARAMUS, NJ (RT. 17)",MAR,2026,3/28/2026,"5,421","5,371","3,100","3,056"
6,"PARAMUS, NJ (RT. 17)",MAR,2026,4/4/2026,"6,239","5,658","3,455","3,095"
6,"PARAMUS, NJ (RT. 17)",APR,2026,4/11/2026,"5,707","5,442","3,179","3,000"
8,"STONY BROOK, NY",FEB,2026,2/28/2026,"2,659","3,839","1,322","1,886"
8,"STONY BROOK, NY",MAR,2026,3/7/2026,"5,012","6,035","2,536","2,834"
8,"STONY BROOK, NY",MAR,2026,3/14/2026,"5,393","6,324","2,654","3,009"
8,"STONY BROOK, NY",MAR,2026,3/21/2026,"5,573","6,626","2,665","3,048"
8,"STONY BROOK, NY",MAR,2026,3/28/2026,"5,333","6,258","2,687","2,956"
8,"STONY BROOK, NY",MAR,2026,4/4/2026,"5,534","5,712","2,667","2,727"
8,"STONY BROOK, NY",APR,2026,4/11/2026,"5,473","6,513","2,650","3,020"
12,"FORESTVILLE, MD",FEB,2026,2/28/2026,"5,431","5,271","2,620","2,557"
12,"FORESTVILLE, MD",MAR,2026,3/7/2026,"6,453","6,311","3,165","3,016"
12,"FORESTVILLE, MD",MAR,2026,3/14/2026,"6,828","6,840","3,351","3,249"
12,"FORESTVILLE, MD",MAR,2026,3/21/2026,"6,489","6,853","3,254","3,182"
12,"FORESTVILLE, MD",MAR,2026,3/28/2026,"6,647","6,579","3,244","3,138"
12,"FORESTVILLE, MD",MAR,2026,4/4/2026,"5,794","5,545","2,798","2,620"
12,"FORESTVILLE, MD",APR,2026,4/11/2026,"6,205","6,610","2,909","3,107"
13,"BAILEY'S CROSSROADS, VA",FEB,2026,2/7/2026,"8,416","8,107","4,337","4,374"
13,"BAILEY'S CROSSROADS, VA",FEB,2026,2/14/2026,"10,173","8,807","5,371","4,610"
13,"BAILEY'S CROSSROADS, VA",FEB,2026,2/21/2026,"7,243","6,957","3,831","3,444"
13,"BAILEY'S CROSSROADS, VA",FEB,2026,2/28/2026,"6,075","6,395","3,331","3,331"
13,"BAILEY'S CROSSROADS, VA",MAR,2026,3/7/2026,"8,720","7,920","4,776","4,204"
13,"BAILEY'S CROSSROADS, VA",MAR,2026,3/14/2026,"8,497","6,943","4,575","3,738"
13,"BAILEY'S CROSSROADS, VA",MAR,2026,3/21/2026,"12,415","10,731","6,553","5,379"
