DMA,Month,Traffic,Spend,Post,Time_Index,Month_of_Year
"Atlanta, GA",2025-02-01,472473.0,0,0,0,2
"Atlanta, GA",2025-03-01,720150.0,80000,0,1,3
"Atlanta, GA",2025-04-01,501015.0,90000,0,2,4
"Atlanta, GA",2025-05-01,671946.0,41000,0,3,5
"Atlanta, GA",2025-06-01,604762.0,48000,0,4,6
"Atlanta, GA",2025-07-01,683399.0,124000,0,5,7
"Atlanta, GA",2025-08-01,761772.0,128000,0,6,8
"Atlanta, GA",2025-09-01,574892.0,8000,0,7,9
"Atlanta, GA",2025-10-01,601843.0,36000,1,8,10
"Atlanta, GA",2025-11-01,782394.0,150000,1,9,11
"Atlanta, GA",2025-12-01,803261.0,340000,1,10,12
"Baltimore, MD",2025-02-01,204980.0,0,0,0,2
"Baltimore, MD",2025-03-01,347799.0,14000,0,1,3
"Baltimore, MD",2025-04-01,274050.0,30000,0,2,4
"Baltimore, MD",2025-05-01,337446.0,15000,0,3,5
"Baltimore, MD",2025-06-01,309119.0,22000,0,4,6
"Baltimore, MD",2025-07-01,284809.0,48000,0,5,7
"Baltimore, MD",2025-08-01,415153.0,46000,0,6,8
"Baltimore, MD",2025-09-01,250071.0,2000,0,7,9
"Baltimore, MD",2025-10-01,304894.0,35000,1,8,10
"Baltimore, MD",2025-11-01,413336.0,48000,1,9,11
"Baltimore, MD",2025-12-01,431004.0,85000,1,10,12
"Boston, MA (Manchester, NH)",2025-02-01,374008.0,0,0,0,2
"Boston, MA (Manchester, NH)",2025-03-01,567423.0,75000,0,1,3
"Boston, MA (Manchester, NH)",2025-04-01,464335.0,101000,0,2,4
"Boston, MA (Manchester, NH)",2025-05-01,538603.0,47000,0,3,5
"Boston, MA (Manchester, NH)",2025-06-01,469729.0,60000,0,4,6
"Boston, MA (Manchester, NH)",2025-07-01,454601.0,90000,0,5,7
"Boston, MA (Manchester, NH)",2025-08-01,595756.0,127000,0,6,8
"Boston, MA (Manchester, NH)",2025-09-01,441233.0,5000,0,7,9
"Boston, MA (Manchester, NH)",2025-10-01,462888.0,14000,1,8,10
"Boston, MA (Manchester, NH)",2025-11-01,686404.0,163000,1,9,11
"Boston, MA (Manchester, NH)",2025-12-01,680538.0,367000,1,10,12
"Buffalo, NY",2025-02-01,50110.0,0,0,0,2
"Buffalo, NY",2025-03-01,70854.0,13000,0,1,3
"Buffalo, NY",2025-04-01,63242.0,16000,0,2,4
"Buffalo, NY",2025-05-01,76946.0,6000,0,3,5
"Buffalo, NY",2025-06-01,70245.0,7000,0,4,6
"Buffalo, NY",2025-07-01,56174.0,17000,0,5,7
"Buffalo, NY",2025-08-01,77257.0,15000,0,6,8
"Buffalo, NY",2025-09-01,44809.0,1000,0,7,9
"Buffalo, NY",2025-10-01,48269.0,22000,1,8,10
"Buffalo, NY",2025-11-01,47888.0,24000,1,9,11
"Buffalo, NY",2025-12-01,53722.0,48000,1,10,12
"Charlotte, NC",2025-02-01,198513.0,0,0,0,2
"Charlotte, NC",2025-03-01,289386.0,17000,0,1,3
"Charlotte, NC",2025-04-01,243780.0,31000,0,2,4
"Charlotte, NC",2025-05-01,268273.0,18000,0,3,5
