DMA,DMA_Key,Intervention_Date,Post_Treatment_Months,Comp_Start_Month,Comp_End_Month,Comp_Months_Available,BSTS_Observed_Traffic,BSTS_Counterfactual_Traffic,BSTS_Incremental_Traffic,BSTS_Relative_Lift,BSTS_Probability_Positive,BSTS_Impact_Lower_95,BSTS_Impact_Upper_95,Actual_Exits,LY_Exits,Actual_Comp_Traffic,Implied_Counterfactual_Comp,Implied_Incremental_Comp,BSTS_Direction,Comp_Direction,Comp_Impact_Direction,DMA_Impact_Classification,DMA_Interpretation
"Atlanta, GA",Atlanta,2026-01-01,7,2026-01-01,2026-07-01,7,4315963.0,4499968.045220465,-184005.04522046543,-0.0360810884215403,0.270125,-800638.6472534734,441178.7427069252,4315963,4200628,0.02745660886895962,0.06591601900045108,-0.038459410131491456,Negative,Positive,Negative,Offsetting Drag,"Observed comp traffic remained positive, but the BSTS counterfactual implies performance could have been stronger without the intervention."
"Boston, MA (Manchester, NH)",Boston,2026-01-01,7,2026-01-01,2026-07-01,7,3679998.0,3795120.844678841,-115122.84467884102,-0.0248417174400621,0.33775,-661822.113993344,439316.0157520279,3679378,3745408,-0.017629588018181153,0.007395855166145937,-0.02502544318432709,Negative,Negative,Negative,Negative Impact,Negative BSTS-estimated intervention effect accompanied by negative observed comp traffic.
"Chicago, IL",Chicago,2026-01-01,7,2026-01-01,2026-07-01,7,7249854.0,7847750.80630147,-597896.8063014693,-0.0690535779168267,0.183375,-1856604.3396599733,778068.8836706969,7248556,7264612,-0.0022101662139698552,0.07180156678972094,-0.0740117330036908,Negative,Negative,Negative,Negative Impact,Negative BSTS-estimated intervention effect accompanied by negative observed comp traffic.
"Dallas-Ft. Worth, TX",Dallas,2026-01-01,7,2026-01-01,2026-07-01,7,5958157.0,5925567.211620206,32589.78837979398,0.0083268476520127,0.533,-571755.9483469214,681439.0190719374,5950275,5960081,-0.0016452796530785907,-0.009889776641683445,0.008244496988604855,Positive,Negative,Positive,Mitigated Decline,"Observed comp traffic declined, but the BSTS counterfactual implies the decline may have been larger without the intervention."
"Houston, TX",Houston,2026-01-01,7,2026-01-01,2026-07-01,7,6669359.0,7201844.580885718,-532485.5808857178,-0.0699111916392851,0.12125,-1491028.7845038178,374193.18100346526,6669359,6976731,-0.04405673660056553,0.027797834794172083,-0.07185457139473761,Negative,Negative,Negative,Negative Impact,Negative BSTS-estimated intervention effect accompanied by negative observed comp traffic.
"Los Angeles, CA",Los Angeles,2026-01-01,7,2026-01-01,2026-07-01,7,10563072.0,9898842.341674063,664229.6583259372,0.0695695642814378,0.919375,-315018.2931621385,1569172.7409266604,10563072,10503235,0.00569700668413109,-0.059718002204202425,0.06541500888833351,Positive,Positive,Positive,Positive Impact,Positive BSTS-estimated intervention effect with positive observed comp traffic.
"Miami-Ft. Lauderdale, FL",Miami,2026-01-01,4,2026-01-01,2026-04-01,4,4451941.0,4200177.348222885,251763.65177711437,0.0642643079803688,0.8345,-288219.03912746103,782558.4154314873,4451941,4605300,-0.0333005450242112,-0.09167351782164601,0.05837297279743481,Positive,Negative,Positive,Mitigated Decline,"Observed comp traffic declined, but the BSTS counterfactual implies the decline may have been larger without the intervention."
"New York, NY",New York,2026-01-01,7,2026-01-01,2026-07-01,7,20248267.0,19284967.9092497,963299.090750296,0.0535240715089235,0.813875,-1317675.5991951264,3151633.1959987003,20246797,20249407,-0.0001288926633752352,-0.050927136477720625,0.05079824381434539,Positive,Negative,Positive,Mitigated Decline,"Observed comp traffic declined, but the BSTS counterfactual implies the decline may have been larger without the intervention."
"Philadelphia, PA",Philadelphia,2026-01-01,7,2026-01-01,2026-07-01,7,4945068.0,5643592.38737789,-698524.3873778891,-0.1208360314103803,0.021,-1292849.3920617844,-29386.76538324634,4944207,4977258,-0.006640403209960177,0.12989116055747374,-0.13653156376743392,Negative,Negative,Negative,Negative Impact,Negative BSTS-estimated intervention effect accompanied by negative observed comp traffic.
Puerto Rico,Puerto Rico,2026-01-01,4,2026-01-01,2026-04-01,4,5500071.0,5036256.107074232,463814.892925768,0.0972077425801982,0.917875,-200515.36308256228,1147613.7779488077,5500071,5367785,0.0246444296856152,-0.06613452501159245,0.09077895469720765,Positive,Positive,Positive,Positive Impact,Positive BSTS-estimated intervention effect with positive observed comp traffic.
