DMA,Post_Treatment_Months,Comp_Months_Available,BSTS_Incremental_Traffic,BSTS_Relative_Lift,BSTS_Probability_Positive,Actual_Comp_Traffic,Implied_Counterfactual_Comp,Implied_Incremental_Comp,BSTS_Direction,Comp_Direction,Comp_Impact_Direction,DMA_Impact_Classification,DMA_Interpretation
Puerto Rico,4,4,463814.892925768,0.0972077425801982,0.917875,0.0246444296856152,-0.06613452501159245,0.09077895469720765,Positive,Positive,Positive,Positive Impact,Positive BSTS-estimated intervention effect with positive observed comp traffic.
"Los Angeles, CA",7,7,664229.6583259372,0.0695695642814378,0.919375,0.00569700668413109,-0.059718002204202425,0.06541500888833351,Positive,Positive,Positive,Positive Impact,Positive BSTS-estimated intervention effect with positive observed comp traffic.
"Miami-Ft. Lauderdale, FL",4,4,251763.65177711437,0.0642643079803688,0.8345,-0.0333005450242112,-0.09167351782164601,0.05837297279743481,Positive,Negative,Positive,Mitigated Decline,"Observed comp traffic declined, but the BSTS counterfactual implies the decline may have been larger without the intervention."
"New York, NY",7,7,963299.090750296,0.0535240715089235,0.813875,-0.0001288926633752352,-0.050927136477720625,0.05079824381434539,Positive,Negative,Positive,Mitigated Decline,"Observed comp traffic declined, but the BSTS counterfactual implies the decline may have been larger without the intervention."
"Dallas-Ft. Worth, TX",7,7,32589.78837979398,0.0083268476520127,0.533,-0.0016452796530785907,-0.009889776641683445,0.008244496988604855,Positive,Negative,Positive,Mitigated Decline,"Observed comp traffic declined, but the BSTS counterfactual implies the decline may have been larger without the intervention."
"Boston, MA (Manchester, NH)",7,7,-115122.84467884102,-0.0248417174400621,0.33775,-0.017629588018181153,0.007395855166145937,-0.02502544318432709,Negative,Negative,Negative,Negative Impact,Negative BSTS-estimated intervention effect accompanied by negative observed comp traffic.
"Atlanta, GA",7,7,-184005.04522046543,-0.0360810884215403,0.270125,0.02745660886895962,0.06591601900045108,-0.038459410131491456,Negative,Positive,Negative,Offsetting Drag,"Observed comp traffic remained positive, but the BSTS counterfactual implies performance could have been stronger without the intervention."
"Houston, TX",7,7,-532485.5808857178,-0.0699111916392851,0.12125,-0.04405673660056553,0.027797834794172083,-0.07185457139473761,Negative,Negative,Negative,Negative Impact,Negative BSTS-estimated intervention effect accompanied by negative observed comp traffic.
"Chicago, IL",7,7,-597896.8063014693,-0.0690535779168267,0.183375,-0.0022101662139698552,0.07180156678972094,-0.0740117330036908,Negative,Negative,Negative,Negative Impact,Negative BSTS-estimated intervention effect accompanied by negative observed comp traffic.
"Philadelphia, PA",7,7,-698524.3873778891,-0.1208360314103803,0.021,-0.006640403209960177,0.12989116055747374,-0.13653156376743392,Negative,Negative,Negative,Negative Impact,Negative BSTS-estimated intervention effect accompanied by negative observed comp traffic.
