Draw,"Atlanta, GA","Chicago, IL","Dallas-Ft. Worth, TX","Houston, TX","Los Angeles, CA","Miami-Ft. Lauderdale, FL","New York, NY","Philadelphia, PA",Puerto Rico
0,-52678.034689301974,-350200.1027106001,145450.50520914793,-616403.645321101,86546.585009926,220752.38507825276,1565253.1805606731,-755029.7371518981,768220.2880565436
1,-304431.75014277885,-102108.31035959325,142640.58976461133,-1105316.324933249,821546.803674987,564918.4319432543,1769195.8473262507,-283764.79162289633,129614.28315174347
2,-520483.6421870433,-907598.9220860917,117146.38147604465,-76666.76767317625,223224.40770562761,116952.08671575191,2067311.706840968,-635419.0930974749,709177.7306135383
3,58529.37580209802,291178.06400925,-252811.4983356843,-1360307.3760315978,-164696.33855332923,543664.6280948543,61402.81055615842,-605605.2343449636,482474.231913317
4,128984.26704597462,500466.264229033,78710.84930551611,-297174.0445236532,910375.6930857515,-41349.50032404973,1364113.398154195,-833716.2651248055,855936.7110420803
5,-576607.625174656,433376.1509156937,-154868.71870605682,-373970.9366845542,694171.3533939731,474475.57473462296,1075917.7878179424,-963043.6235008739,843345.8089052058
6,-862167.8444210336,-522136.8131789593,-384424.7815227121,-151925.14729012584,388549.44144185795,129168.23705281317,2252096.2018809086,-931647.4343788681,311621.00700105797
7,-793857.6770525714,54247.14925458701,232116.64219910512,-1124604.3286550003,-39812.21098529105,262968.4610043989,274440.3032491747,-1143650.4513919652,498816.83918376826
8,-800622.7170087176,-255378.1778120551,428188.09704311413,61667.778834135854,467572.8525734944,318616.78756518406,945216.325736322,-511008.4862153705,482924.1230599298
9,-325278.42634206836,-1495965.480042714,941284.5047728213,-1068640.136670039,102077.80264723417,-77672.25380398263,98727.98201152124,-1325798.380312369,1127459.3361626528
10,-452005.11682430224,-825964.1855329252,874123.1836291231,-1000259.7936889842,1038588.1389468454,698032.2209137442,83688.19295121636,-1087435.5633819446,987460.4883103461
11,-247651.26167523267,-754844.6618790822,26074.96931079065,-399442.13866678625,-74759.42621362838,622322.7589715082,883506.0194056858,-436489.26464385726,306548.41591224144
12,-210556.31835484155,-1022975.5145897212,492734.93523029727,-153098.43509319564,864234.11983324,-89621.70791128103,317510.4152081632,-794487.1805230202,555191.8222335852
13,-185272.65790946048,274675.44798074546,428473.7664533955,-989898.1237249998,796699.54627058,554116.1950326521,1649197.042233427,-876792.34984704,243179.4159515407
14,-255218.44847113424,-480650.0094498425,-137117.04685518227,-476979.3979798382,743530.6599120086,531555.742945068,881230.6069885269,-908748.4106239198,876651.0832186509
15,-85938.09975038387,-1454144.0704044497,317474.1003505939,-283106.4654606255,812133.5135593249,-62837.23841647082,1923644.8241109373,-279389.38978113374,797701.8992529577
16,-345509.7804641591,-1736742.9668490302,601576.6143040494,-744544.9604187032,571938.2154608199,485632.7141280953,2133097.9096091585,-520375.5403566075,257912.78896947182
17,-186410.12974872498,86034.19568850042,-2663.871290380368,-522144.7994047783,436945.5230556936,425201.29695646185,1546700.9038790776,-533005.784919085,463911.4789575292
18,-640874.1090044279,227757.11215057236,-271385.66695186263,-259741.6249819881,384284.0916367972,95003.54312266666,2639539.3319008793,-1169152.7698697746,73468.45072540478
19,-358267.7130982206,-79556.52254108153,-69038.440043509,-719582.2233191426,-159326.8748285398,460675.9719891683,-22658.26931054145,-1058431.037797851,636063.1946954092
20,-363114.031965123,-1280448.3751488596,-150956.04773075436,-465297.7964862883,423485.75737362425,248530.49070617603,4171212.110221678,-459994.78489554045,297157.654347962
21,-150280.19078171812,-589936.7268798846,-238790.09451953752,-1291264.1448773765,688485.3181801648,361508.9952169766,2956657.6410943107,-837261.8137452871,187877.495777498
22,85136.13566577027,-578628.4437632142,188420.33296246082,-54071.19050556177,1780892.8988278718,588320.2191071735,2105794.836849363,-830860.0437666045,163414.81393835112
23,-22546.122032143,-760815.4823905437,112763.37898574467,-293161.9525509259,1279077.8622799031,92811.33479310514,2296001.440250891,-640373.9413154317,46002.322496821405
24,-521635.2002086368,-726603.7420334639,84841.5269146593,-837983.9966678859,582237.7386530843,167949.56739931798,2684350.617000459,-423407.1871468392,622079.5862178712
25,-917523.1548151923,-638632.9350804554,381397.30600610864,-1283243.6897399751,1265999.6201641762,-91828.44531481084,550062.0650177496,10162.05220587214,702652.1007337163
26,-694054.3541063137,-717447.1114612324,166256.86273346643,-1253963.8329090555,945544.0564855619,-141020.61599990155,854694.8879973087,-89871.40179937577,413228.7078900817
27,310414.3548251578,-563388.9415228147,591239.9617267919,504585.79838310205,729424.4139432316,53838.878210404306,644182.2923168777,-774103.6447483692,592653.5991873952
28,369147.93001323706,-1385715.6497949562,656414.8863021483,-88496.00887852535,941300.6721812447,380301.994321099,392785.2792177014,-1087188.7579760202,522583.8248225944
29,273243.82986405364,-280065.85246996745,494039.0619124274,-148982.45601416682,873132.2664377615,291648.59235776635,159469.40971619962,-369579.70086947584,406249.1883548959
30,465871.4816198556,-713408.7549735719,-388949.6393540581,-843490.6529031144,1473861.304464928,404062.8428295264,184754.01816931507,-1027293.9551019099,-112802.08541045128
31,-262288.39732277195,-663853.633933134,414177.581474253,-827743.5140995627,1558457.6539650708,455062.80826891237,2776600.0551295616,-507500.55906766455,884781.16052008
32,-676168.9083615281,-745675.5180461827,387524.20329578477,-330986.4658798756,591069.9249205743,156298.75708889728,-2285531.6085402933,-599188.8283168329,423073.559381424
33,40042.79184017517,-886652.8755663113,-123054.58929419424,-196950.43856913818,520714.0750849047,265293.38449899526,2097259.122291795,-827446.5875988132,548232.0415314832
34,-438943.2744077513,-329057.44613636483,-417425.7746002148,-716846.8802798429,473394.84664207813,121404.29154856165,151168.62519513024,-749108.9224982248,488660.9584409364
35,207057.67141735298,-736277.1544386391,-624042.0929787211,-775020.259131528,297130.1812768164,26736.33765784616,-172592.71900068363,-951976.6994055406,924521.801697936
36,256728.57294832694,-874963.3314577602,-771084.5806707349,-640304.082222911,1096830.8012740416,-30902.31603550585,-167972.47563826526,-928862.8931699669,-220984.21255502012
37,-477178.80640948913,-1130799.7212440777,118119.83216616034,-569506.5105348935,526997.2040475523,43180.554917302565,-63928.400472355075,-613457.8573657509,41112.40656567714
38,-352117.5605142284,-778232.6117787623,23548.75131686998,-448136.79154658946,743547.2362559445,158872.61375172855,-215804.05553771043,-687453.5987034404,771362.009051828
39,-336076.59425613214,-798772.7587764879,-99600.14230462234,-373090.1263288562,194396.50556426868,256791.50624124345,112673.20140308258,-890127.7577977937,542707.7823374665
40,-53866.759519832674,-885875.2048494511,-82103.62163996382,-430985.8260025128,837719.7316165846,1155.7590196548263,-573265.5227003824,-797914.3529566118,26512.56304343627
41,-59107.5098738923,-667984.64745808,-28717.28660141444,-339726.0186436303,518639.80680729053,82209.83798316936,1048053.0390169802,-599570.5139058656,520990.70464731334
42,-42062.643911559426,-529941.793005225,174391.64543721033,-157479.98020419583,806123.3456617377,473467.30375980143,1070809.7833338282,-901490.32998706,539864.7245933537
43,-108899.93516139692,-393016.9372573381,-392679.37083261064,250931.84809289325,968600.9725112545,521876.89669825335,581755.5149869891,-988954.2539549709,635743.8227088428
44,36249.534337320016,-888250.1450301918,-147154.76144231355,-584674.7982562865,1068376.7529923418,621940.9303972903,1573090.0155042454,-461549.3264951117,694144.7512314972
45,158494.94055802393,307885.6766225884,318174.7324068907,21465.241057565552,-420827.43273654743,8478.43448273337,1682019.8234240473,-71869.29787251109,-30987.624166464666
46,34991.41689927247,-569809.3950852723,77938.41160872788,-891435.3637681009,860857.1215682591,402349.75884769484,1195329.5519562988,-1145253.076428339,86922.12285580835
47,-485119.5748764818,-772923.9185412163,322121.98052035086,91553.57722748583,805010.9692049972,-59793.775872921105,456773.63023529714,443441.1855023622,775779.2007112799
48,-191538.94826120615,-1476174.4649641654,590402.6106553765,-786434.6863068085,431252.4905064113,817434.4086614338,240350.23135356838,-1608322.1773660146,683001.5488331809
49,-312531.85833883344,-905813.1913785262,18074.89082857652,-319054.0490465553,355574.11011167266,441490.4127424888,2423792.1729864706,-706661.18628312,625744.4342993699
50,141866.02372534387,-519505.1542818119,193627.94660949789,-931933.2293677984,450826.3610289381,353082.8303313098,-755618.4348849207,-587792.0852566004,1025365.4056837761
51,-522730.74630096345,-492197.2524837584,122653.46746011602,-484295.85391266644,971925.2995663986,304311.0995758674,1504773.106294806,-646863.5464155164,1131877.6155488598
52,-203523.506931475,-661659.1782560624,51712.84820392437,-814919.7425011036,1160441.3663459115,223888.77674495766,998229.2968657743,-787883.0914793515,1127940.5222131908
53,89720.86591637717,-492274.0867287301,82380.20451333828,-846575.6525595263,520867.84856981295,223145.52256349323,806932.8365716278,-702290.7718616829,-157811.5183506296
54,-55092.61838877073,-884891.4891651747,279400.28517061716,-901986.7984750326,666665.5346179679,90541.0593977694,985138.8459405755,-929901.9203070516,309319.5032447665
55,-309515.0417249466,-443436.78969708027,364212.7479084837,-70302.55835436808,465978.59389860067,295896.7663849505,1348915.751042394,-471033.1803852293,283223.56867768615
56,-522149.7098749938,-1459476.7739160953,-282174.06197370787,-1034962.4150989323,-27241.754477839684,-37101.97078606917,-101585.43719533412,-1095406.9497038373,480800.9008426191
57,-798620.3103715001,28929.755495974096,-75411.59530518437,-220715.11952896486,221093.29527626513,139165.63234208105,-42413.85897877393,-986009.4678315751,598662.6900285091
58,-651369.3375675641,-162015.17152275227,-324663.99831594946,-678552.5718247321,1395976.782959591,254727.59670324926,-323814.9967944948,-804662.0054178045,356806.2255751067
59,-477494.20222215634,-543284.8856357705,-294476.13566802815,-257459.38064278185,437772.98757534707,271103.56907127856,946489.1918925098,-607244.7675268927,226894.02224252908
60,-94626.4069671717,-307271.67782589793,7237.486046983744,-590709.7746805722,743750.9619532961,270513.36016024894,279593.21512727905,-640880.6082611614,240987.90897796792
