DMA,Intervention_Date,Pre_Treatment_Months,Post_Treatment_Months,Posterior_Draws,Observed_Traffic,Counterfactual_Traffic_Mean,Counterfactual_Traffic_Median,Counterfactual_Traffic_Lower_95,Counterfactual_Traffic_Upper_95,Incremental_Traffic_Mean,Incremental_Traffic_Median,Impact_Lower_95,Impact_Upper_95,Probability_Positive,Probability_Negative,Relative_Lift_Mean,Relative_Lift_Median,Relative_Lift_Lower_95,Relative_Lift_Upper_95,Relative_Lift_Valid_Fraction
"Atlanta, GA",2026-01-01,11,7,8000,4315963.0,4499968.045220465,4497927.426723311,3874784.2572930744,5116601.647253473,-184005.04522046546,-181964.42672331078,-800638.6472534734,441178.7427069252,0.270125,0.729875,-0.03608108842154034,-0.040455171542666105,-0.15647859669743888,0.11385891805546437,1.0
"Boston, MA (Manchester, NH)",2026-01-01,11,7,8000,3679998.0,3795120.844678841,3796522.456255221,3240681.9842479723,4341820.113993344,-115122.84467884102,-116524.45625522075,-661822.113993344,439316.0157520279,0.33775,0.66225,-0.024841717440062163,-0.03069241854488737,-0.15242964763019537,0.1355628285724788,1.0
"Chicago, IL",2026-01-01,11,7,8000,7249854.0,7847750.80630147,7872306.717324062,6471785.116329303,9106458.339659972,-597896.8063014693,-622452.7173240616,-1856604.3396599735,778068.8836706969,0.183375,0.816625,-0.06905357791682679,-0.07906865670553173,-0.20387775993262058,0.12022477469991134,1.0
"Dallas-Ft. Worth, TX",2026-01-01,11,7,8000,5958157.0,5925567.211620206,5934656.220328129,5276717.980928063,6529912.94834692,32589.78837979398,23500.779671871278,-571755.9483469214,681439.0190719374,0.533,0.467,0.008326847652012713,0.003959922695231372,-0.0875595028765,0.12914069397875808,1.0
"Houston, TX",2026-01-01,11,7,8000,6669359.0,7201844.580885718,7190218.130626274,6295165.818996535,8160387.7845038185,-532485.5808857178,-520859.1306262739,-1491028.7845038178,374193.18100346526,0.12125,0.87875,-0.06991119163928511,-0.07243996199296489,-0.18271543251938033,0.05944135440333251,1.0
"Los Angeles, CA",2026-01-01,11,7,8000,10563072.0,9898842.341674063,9879285.909255495,8993899.25907334,10878090.293162137,664229.6583259372,683786.0907445041,-315018.29316213855,1569172.7409266604,0.919375,0.080625,0.06956956428143782,0.06921412126827298,-0.028958969890692333,0.174470793574604,1.0
"Miami-Ft. Lauderdale, FL",2026-01-01,11,4,8000,4451941.0,4200177.348222885,4198013.662467703,3669382.584568512,4740160.039127461,251763.65177711434,253927.3375322973,-288219.03912746103,782558.4154314873,0.8345,0.1655,0.06426430798036883,0.06048749669584973,-0.06080365127533872,0.21326706036726614,1.0
"New York, NY",2026-01-01,11,7,8000,20248267.0,19284967.9092497,19267646.4919018,17096633.804001294,21565942.599195123,963299.0907502961,980620.5080981976,-1317675.5991951264,3151633.1959987003,0.813875,0.186125,0.053524071508923535,0.05089466995343585,-0.06109983746790581,0.18434233192919844,1.0
"Philadelphia, PA",2026-01-01,11,7,8000,4945068.0,5643592.38737789,5653549.939948722,4974454.765383246,6237917.392061784,-698524.3873778891,-708481.939948721,-1292849.3920617844,-29386.76538324634,0.021,0.979,-0.12083603141038037,-0.12531629639275743,-0.20725657281332996,-0.0059075349006170695,1.0
Puerto Rico,2026-01-01,11,4,8000,5500071.0,5036256.107074232,5036992.357384227,4352457.222051192,5700586.363082563,463814.89292576804,463078.64261577255,-200515.36308256228,1147613.7779488075,0.917875,0.082125,0.09720774258019824,0.09193554640633908,-0.035174515312351495,0.26367031758541937,1.0
"Washington, DC (Hagerstown, MD)",2026-01-01,11,7,8000,4630969.0,4025823.9971719068,4031354.701844453,3580137.1749469507,4455852.030514171,605145.002828093,599614.2981555471,175116.96948582827,1050831.8250530493,0.99475,0.00525,0.15381977846189643,0.14873766822890172,0.0393004478237931,0.2935171960698317,1.0
