DMA,Placebo_Date,Actual_Intervention_Date,Pre_Treatment_Months,Placebo_Post_Months,Selected_Controls,Incremental_Traffic_Mean,Incremental_Traffic_Median,Impact_Lower_95,Impact_Upper_95,Probability_Positive,Probability_Negative,Relative_Lift_Median,Counterfactual_Valid,Model_Divergences,Model_Divergence_Rate
"Cincinnati, OH",2025-08-01,2026-01-01,6,5,1,105783.95600789666,104183.52455186874,1110.0731970492623,221197.49172691503,0.9765,0.0235,0.1216692904516378,True,0,0.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2025-08-01,2026-01-01,6,5,1,55034.38545220669,51388.04691879693,-341028.6316280343,469323.4400668967,0.59575,0.40425,0.02411205115263227,True,0,0.0
"Hartford & New Haven, CT",2025-08-01,2026-01-01,6,5,1,-67522.71931415558,-63500.67767398778,-285910.85745154304,133788.45013041687,0.24025,0.75975,-0.04387661074303302,True,0,0.0
"Houston, TX",2025-08-01,2026-01-01,6,5,1,-33405.09837687882,-24359.440309364698,-804308.078153841,765271.2542756676,0.471,0.529,-0.004445570567192757,True,0,0.0
"Miami-Ft. Lauderdale, FL",2025-08-01,2026-01-01,6,5,1,129685.90078680003,125120.4310159756,-617133.0738188914,908845.7303985388,0.635,0.365,0.02066587759782046,True,0,0.0
"Oklahoma City, OK",2025-08-01,2026-01-01,6,5,1,339568.19970747316,340313.3430032474,251656.1828336947,428070.43326678296,1.0,0.0,0.5025978319536915,True,0,0.0
"Providence, RI-New Bedford, MA",2025-08-01,2026-01-01,6,5,1,69144.82047162452,65357.537569155655,-87625.42068881905,249712.3063151204,0.792,0.208,0.05520904177604193,True,0,0.0
"Sacramento-Stockton-Modesto, CA",2025-08-01,2026-01-01,6,5,1,18884.46543436922,18463.82235720521,-363344.20819965325,410857.7265691805,0.53625,0.46375,0.00909650680558293,True,0,0.0
"San Diego, CA",2025-08-01,2026-01-01,6,5,1,-86183.8130152862,-85460.74047436676,-254296.48225376994,80208.69045399777,0.1545,0.8455,-0.056946767265356676,True,0,0.0
"Seattle-Tacoma, WA",2025-08-01,2026-01-01,6,5,1,-171800.67683079175,-171055.28694721553,-503504.6958494062,169658.1385769667,0.16225,0.83775,-0.08458037306419884,True,0,0.0
"Atlanta, GA",2025-09-01,2026-01-01,7,4,1,85601.27470774179,78607.58692929745,-263179.54777953913,460647.780175396,0.68275,0.31725,0.029289851067300525,True,0,0.0
"Baltimore, MD",2025-09-01,2026-01-01,7,4,1,-21639.777767558397,-21621.75305601509,-233734.679486756,189554.8085798358,0.419,0.581,-0.015216655302066683,True,0,0.0
"Charlotte, NC",2025-09-01,2026-01-01,7,4,1,165241.17626361726,165993.05630429287,70315.11904380495,260298.37116348746,0.999,0.001,0.15200565832729507,True,0,0.0
"Cincinnati, OH",2025-09-01,2026-01-01,7,4,1,5815.544473357499,4203.773538214562,-132576.43097221458,150996.11039599456,0.52575,0.47425,0.0058367776324631275,True,0,0.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2025-09-01,2026-01-01,7,4,1,-118794.91548973846,-119877.29315249881,-321880.05129498546,94389.71476342296,0.12,0.88,-0.06606286222843374,True,0,0.0
"Hartford & New Haven, CT",2025-09-01,2026-01-01,7,4,1,-13173.645252567714,-11347.962100211007,-173238.59624102467,146894.9881727701,0.44475,0.55525,-0.010253790095719948,True,0,0.0
"Oklahoma City, OK",2025-09-01,2026-01-01,7,4,1,217680.47586109216,217599.852323149,82756.08654916743,351338.06323120143,0.999,0.001,0.3677013892643658,True,0,0.0
"Orlando-Daytona Beach-Melbourne, FL",2025-09-01,2026-01-01,7,4,1,249828.9756741576,254584.33052513824,-168943.21638219597,656663.938838679,0.87375,0.12625,0.09283357160621392,True,0,0.0
"Philadelphia, PA",2025-09-01,2026-01-01,7,4,1,184117.16468451286,188490.97344453866,-121736.79479368839,463664.54278870666,0.9035,0.0965,0.061766235819021624,True,0,0.0
"Phoenix (Prescott), AZ",2025-09-01,2026-01-01,7,4,1,194199.66548642862,194284.42894262436,-191238.32729276683,585013.8353992155,0.85,0.15,0.1254203225712488,True,0,0.0
"Providence, RI-New Bedford, MA",2025-09-01,2026-01-01,7,4,1,-27521.854725482142,-27131.606132380242,-165757.95990107444,110958.38025618928,0.342,0.658,-0.027749797768340093,True,0,0.0
