Column,Type,Missing,Unique
DMA,str,0,34
DMA_Original_x,string,0,34
Month,datetime64[us],0,18
Spend,int64,0,200
Traffic,float64,0,612
Transactions,float64,0,612
DMA_Original_y,str,0,34
_merge,category,0,1
Store_Count,int64,0,23
Total_Selling_SqFt,float64,0,34
Avg_Selling_SqFt,float64,0,34
DMA_Population,float64,0,34
TradeAreaPopulation,float64,0,34
Year,int32,0,2
Month_Number,int32,0,12
Month_Name,str,0,12
Quarter,int32,0,4
Holiday_Season,int64,0,2
Spend_Lag_1,float64,34,191
Spend_Lag_2,float64,68,184
Spend_Lag_3,float64,102,180
Spend_Lag_6,float64,204,161
Rolling_Spend_3,float64,0,328
Rolling_Spend_6,float64,0,439
Rolling_Spend_12,float64,0,481
Cumulative_Spend,int64,0,363
Spend_pct_change,float64,151,373
Log_Spend,float64,0,199
Spend_Index,float64,0,415
High_Spend,int64,0,2
Traffic_Lag_1,float64,34,578
Traffic_Lag_12,float64,408,204
Rolling_Traffic_3,float64,0,612
Traffic_pct_change,float64,34,578
Traffic_per_Store,float64,0,612
Transactions_per_Store,float64,0,612
Traffic_per_1000SqFt,float64,0,612
Spend_per_Store,float64,0,345
Spend_per_1000SqFt,float64,0,420
