DMA,Traffic_Month,Stores,Rows,Exits,Exits_LY
"Abilene-Sweetwater, TX",2026-01-01,1,1,27354.0,27495.0
"Albany, GA",2026-01-01,1,1,23998.0,19960.0
"Albany-Schenectady-Troy, NY",2026-01-01,3,3,70329.0,70651.0
"Albuquerque-Santa Fe, NM",2026-01-01,4,4,86360.0,88148.0
"Albuquerque-Santa Fe, NM",2026-03-01,1,1,666.0,578.0
"Albuquerque-Santa Fe, NM",2026-04-01,1,1,837.0,935.0
"Alexandria, LA",2026-01-01,1,1,2225.0,2095.0
"Alexandria, LA",2026-02-01,1,1,1543.0,1339.0
"Alexandria, LA",2026-05-01,1,1,1345.0,1436.0
"Alexandria, LA",2026-06-01,1,1,1291.0,1450.0
"Alexandria, LA",2026-07-01,1,1,2387.0,2627.0
"Alexandria, LA",2026-08-01,1,1,2043.0,2099.0
"Amarillo, TX",2026-01-01,1,1,24760.0,29448.0
"Anchorage, AK",2026-01-01,2,2,48664.0,49402.0
Atlanta,2026-01-01,26,26,567888.0,553165.0
Atlanta,2026-02-01,3,3,2065.0,1816.0
Atlanta,2026-03-01,3,3,2776.0,2806.0
Atlanta,2026-04-01,1,1,656.0,591.0
Atlanta,2026-06-01,1,1,468.0,514.0
"Augusta, GA-Aiken, SC",2026-01-01,1,1,34201.0,32257.0
"Austin, TX",2026-01-01,5,5,88454.0,94370.0
"Bakersfield, CA",2026-01-01,1,1,49543.0,48466.0
Baltimore,2026-01-01,9,9,297907.0,294916.0
"Baton Rouge, LA",2026-01-01,1,1,19236.0,18646.0
"Beaumont-Port Arthur, TX",2026-01-01,1,1,28661.0,27153.0
"Biloxi-Gulfport, MS",2026-01-01,2,2,34345.0,32734.0
"Binghamton, NY",2026-01-01,1,1,24528.0,24879.0
"Birmingham (Anniston and Tuscaloosa), AL",2026-01-01,6,6,105265.0,98009.0
"Boise, ID",2026-01-01,2,2,55058.0,48583.0
Boston,2026-01-01,19,19,518224.0,545676.0
Boston,2026-04-01,1,1,620.0,736.0
Boston,2026-05-01,1,1,1456.0,1350.0
Boston,2026-06-01,2,2,1884.0,1397.0
Boston,2026-07-01,4,4,2753.0,2487.0
"Bowling Green, KY",2026-01-01,1,1,14555.0,15847.0
Buffalo,2026-01-01,3,3,41259.0,46434.0
Buffalo,2026-04-01,1,1,275.0,924.0
"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",2026-01-01,2,2,36475.0,35209.0
"Champaign & Springfield-Decatur, IL",2026-01-01,2,2,31669.0,30561.0
"Charleston, SC",2026-01-01,2,2,75592.0,70310.0
"Charleston, SC",2026-03-01,1,1,779.0,794.0
Charlotte,2026-01-01,12,12,269006.0,250948.0
"Charlottesville, VA",2026-01-01,1,1,19620.0,18672.0
"Chattanooga, TN",2026-01-01,2,2,38398.0,36257.0
"Chattanooga, TN",2026-02-01,1,1,511.0,497.0
Chicago,2026-01-01,38,38,1060892.0,1067166.0
Chicago,2026-02-01,1,1,780.0,966.0
Chicago,2026-04-01,1,1,861.0,437.0
Chicago,2026-05-01,2,2,2701.0,2603.0
"Chico-Redding, CA",2026-01-01,2,2,34040.0,33285.0
Cincinnati,2026-01-01,7,7,135215.0,124606.0
Cincinnati,2026-04-01,1,1,664.0,709.0
Cincinnati,2026-06-01,1,1,828.0,775.0
Cincinnati,2026-07-01,1,1,2127.0,2290.0
Cincinnati,2026-08-01,1,1,772.0,714.0
Cleveland,2026-01-01,10,10,160020.0,169683.0
Cleveland,2026-04-01,1,1,782.0,797.0
"Colorado Springs-Pueblo, CO",2026-01-01,3,3,61285.0,59477.0
"Columbia, SC",2026-01-01,4,4,88535.0,83614.0
Columbus,2026-01-01,5,5,94858.0,99693.0
Columbus,2026-06-01,1,1,721.0,895.0
"Columbus, GA (Opelika, AL)",2026-01-01,3,3,59233.0,56953.0
"Corpus Christi, TX",2026-01-01,1,1,28008.0,27237.0
Dallas,2026-01-01,27,27,775498.0,844214.0
"Dayton, OH",2026-01-01,3,3,54209.0,54377.0
"Dayton, OH",2026-04-01,1,1,524.0,619.0
"Denver, CO",2026-01-01,11,11,247447.0,234543.0
"Denver, CO",2026-03-01,1,1,621.0,649.0
"Denver, CO",2026-04-01,1,1,681.0,739.0
"Denver, CO",2026-05-01,1,1,1308.0,1322.0
"Denver, CO",2026-06-01,2,2,2226.0,1924.0
"Denver, CO",2026-07-01,1,1,1456.0,1604.0
"Denver, CO",2026-08-01,1,1,1764.0,1745.0
"Des Moines-Ames, IA",2026-01-01,1,1,16875.0,16139.0
Detroit,2026-01-01,14,14,275640.0,294918.0
Detroit,2026-04-01,1,1,759.0,996.0
Detroit,2026-07-01,1,1,750.0,848.0
"Dothan, AL",2026-01-01,1,1,21818.0,20952.0
El Paso,2026-01-01,8,8,309182.0,323439.0
"Evansville, IN",2026-01-01,2,2,33644.0,31732.0
"Flint-Saginaw-Bay City, MI",2026-01-01,3,3,30250.0,30719.0
