Store,WeekEndDate,Exits_LY_Raw
50,2026-02-21, -   
43,2026-04-25,  -    
50,2026-04-25,  -    
60,2026-04-25,  -    
83,2026-04-25,  -    
108,2026-04-25,  -    
186,2026-04-25,  -    
236,2026-04-25,  -    
289,2026-04-25,  -    
350,2026-04-25,  -    
394,2026-04-25,  -    
403,2026-04-25,  -    
427,2026-04-25,  -    
446,2026-04-25,  -    
460,2026-04-25,  -    
481,2026-04-25,  -    
487,2026-04-25,  -    
489,2026-04-25,  -    
493,2026-04-25,  -    
523,2026-04-25,  -    
538,2026-04-25,  -    
561,2026-04-25,  -    
734,2026-04-25,  -    
744,2026-04-25,  -    
892,2026-04-25,  -    
893,2026-04-25,  -    
978,2026-04-25,  -    
1167,2026-04-25,  -    
1229,2026-04-25,  -    
1267,2026-04-25,  -    
1452,2026-04-25,  -    
1638,2026-04-25,  -    
