Traffic_Month,Rows,Stores,Weeks,Exits,Exits_LY
2024-02-01,1947,665,3,13476736,13513874
2024-03-01,3277,670,5,24456982,23540449
2024-04-01,2685,739,4,15591847,16093569
2024-05-01,2614,670,4,19140029,18659996
2024-06-01,3288,676,5,23905696,23247108
2024-07-01,2622,679,4,18915703,18589617
2024-08-01,3272,683,5,30186138,29357852
2024-09-01,2619,672,4,17804817,17586148
2024-10-01,2621,685,4,17466378,17596880
2024-11-01,3450,770,5,27599028,27067100
2024-12-01,2826,781,4,31315623,30733177
2025-01-01,2907,774,4,18945832,18011630
2025-02-01,3160,817,4,19047964,20475746
2025-03-01,3963,814,5,28200184,28970044
2025-04-01,3269,907,4,22003944,21411720
2025-05-01,3989,819,5,26905758,27079623
2025-06-01,3233,831,4,22864438,23493320
2025-07-01,3209,833,4,23955236,23797555
2025-08-01,4055,843,5,32374067,32186412
2025-09-01,3317,845,4,22448875,23320590
2025-10-01,3256,843,4,23259908,24058215
2025-11-01,4128,863,5,32905244,33811682
2025-12-01,3514,987,4,34837060,35479998
2026-01-01,4496,959,5,26374418,26877810
2026-02-01,3712,961,4,21336230,20623536
2026-03-01,3762,969,4,26135739,25738984
2026-04-01,3861,1006,4,26319018,26451879
2026-05-01,4781,983,5,33138824,33684094
2026-06-01,3902,1004,4,27197304,26830556
2026-07-01,3871,995,4,25610353,26410588
2026-08-01,2815,987,3,21266843,21891439
