Traffic_Month,Rows,Stores,Weeks,Valid_Exits,Missing_Exits,Valid_Exits_LY,Missing_Exits_LY,Pct_Valid_Exits,Pct_Valid_Exits_LY
2024-02-01,1947,665,3,1947,0,1947,0,1.0,1.0
2024-03-01,3277,670,5,3277,0,3277,0,1.0,1.0
2024-04-01,2685,739,4,2685,0,2685,0,1.0,1.0
2024-05-01,2614,670,4,2614,0,2614,0,1.0,1.0
2024-06-01,3288,676,5,3288,0,3288,0,1.0,1.0
2024-07-01,2622,679,4,2622,0,2622,0,1.0,1.0
2024-08-01,3272,683,5,3272,0,3272,0,1.0,1.0
2024-09-01,2619,672,4,2619,0,2619,0,1.0,1.0
2024-10-01,2621,685,4,2621,0,2621,0,1.0,1.0
2024-11-01,3450,770,5,3450,0,3450,0,1.0,1.0
2024-12-01,2826,781,4,2826,0,2826,0,1.0,1.0
2025-01-01,2907,774,4,2907,0,2907,0,1.0,1.0
2025-02-01,3160,817,4,3160,0,3160,0,1.0,1.0
2025-03-01,3963,814,5,3963,0,3963,0,1.0,1.0
2025-04-01,3269,907,4,3269,0,3269,0,1.0,1.0
2025-05-01,3989,819,5,3989,0,3989,0,1.0,1.0
2025-06-01,3233,831,4,3233,0,3233,0,1.0,1.0
2025-07-01,3209,833,4,3209,0,3209,0,1.0,1.0
2025-08-01,4055,843,5,4055,0,4055,0,1.0,1.0
2025-09-01,3317,845,4,3317,0,3317,0,1.0,1.0
2025-10-01,3256,843,4,3256,0,3256,0,1.0,1.0
2025-11-01,4129,864,5,4128,1,4129,0,0.9997578106078954,1.0
2025-12-01,3521,993,4,3514,7,3521,0,0.9980119284294234,1.0
2026-01-01,4498,960,5,4496,2,4498,0,0.9995553579368608,1.0
2026-02-01,3713,962,4,3713,0,3712,1,1.0,0.9997306760032318
2026-03-01,3763,970,4,3762,1,3763,0,0.9997342545841085,1.0
2026-04-01,3910,1036,4,3892,18,3879,31,0.9953964194373401,0.992071611253197
2026-05-01,4781,983,5,4781,0,4781,0,1.0,1.0
2026-06-01,3902,1004,4,3902,0,3902,0,1.0,1.0
2026-07-01,3871,995,4,3871,0,3871,0,1.0,1.0
2026-08-01,2815,987,3,2815,0,2815,0,1.0,1.0
