Traffic_Month_Diagnostic,Rows,Stores,Weeks,Missing_Store,Missing_WeekEndDate,Missing_Exits,Missing_Exits_LY
2024-02-01,1947,665,3,0,0,0,0
2024-03-01,3277,670,5,0,0,0,0
2024-04-01,2685,739,4,0,0,0,0
2024-05-01,2614,670,4,0,0,0,0
2024-06-01,3288,676,5,0,0,0,0
2024-07-01,2622,679,4,0,0,0,0
2024-08-01,3272,683,5,0,0,0,0
2024-09-01,2619,672,4,0,0,0,0
2024-10-01,2621,685,4,0,0,0,0
2024-11-01,3450,770,5,0,0,0,0
2024-12-01,2826,781,4,0,0,0,0
2025-01-01,2907,774,4,0,0,0,0
2025-02-01,3160,817,4,0,0,0,0
2025-03-01,3963,814,5,0,0,0,0
2025-04-01,3269,907,4,0,0,0,0
2025-05-01,3989,819,5,0,0,0,0
2025-06-01,3233,831,4,0,0,0,0
2025-07-01,3209,833,4,0,0,0,0
2025-08-01,4055,843,5,0,0,0,0
2025-09-01,3317,845,4,0,0,0,0
2025-10-01,3256,843,4,0,0,0,0
2025-11-01,4129,864,5,0,0,1,0
2025-12-01,3521,993,4,0,0,7,0
2026-01-01,4498,960,5,0,0,2,0
2026-02-01,3713,962,4,0,0,0,0
2026-03-01,3763,970,4,0,0,1,0
2026-04-01,3910,1036,4,0,0,8,0
2026-05-01,4781,983,5,0,0,0,0
2026-06-01,3902,1004,4,0,0,0,0
2026-07-01,3871,995,4,0,0,0,0
2026-08-01,2815,987,3,0,0,0,0
