Traffic_Month,Stores,Rows,Exits,Exits_LY,Mean_Comp,Median_Comp,Min_Weeks,Mean_Weeks,Max_Weeks
2024-02-01,665,665,13476736,13513874,0.5681133090722258,0.6103163144769654,1,2.9278195488721805,3
2024-03-01,670,670,24456982,23540449,5.156061887701601,5.508534043711899,1,4.891044776119403,5
2024-04-01,739,739,15591847,16093569,6.424597958886007,-3.0214978454504555,1,3.6332882273342353,4
2024-05-01,670,670,19140029,18659996,2.9581704424818764,3.277836277299771,1,3.901492537313433,4
2024-06-01,676,676,23905696,23247108,3.1702845757485645,2.853561728200881,1,4.863905325443787,5
2024-07-01,679,679,18915703,18589617,2.0443876835084085,2.132552791135271,1,3.861561119293078,4
2024-08-01,683,683,30186138,29357852,2.9717525530736797,2.6505626777690754,1,4.790629575402636,5
2024-09-01,672,672,17804817,17586148,1.3604795114806492,0.972528793287961,1,3.8973214285714284,4
2024-10-01,685,685,17466378,17596880,-0.765268651703146,-0.9434445982669333,1,3.8262773722627736,4
2024-11-01,770,770,27599028,27067100,2.8559627574308117,2.5293977521276827,1,4.48051948051948,5
2024-12-01,781,781,31315623,30733177,1.0025183334804586,1.9185048210276052,1,3.618437900128041,4
2025-01-01,774,774,18945832,18011630,4.956655512008651,4.949282976181953,1,3.755813953488372,4
2025-02-01,817,817,19047964,20475746,-7.24125325922475,-7.662412436426447,1,3.86780905752754,4
2025-03-01,814,814,28200184,28970044,-2.2500483836830476,-2.2101666076423783,1,4.868550368550369,5
2025-04-01,907,907,22003944,21411720,81.20692584374446,3.203323951212974,1,3.6041896361631753,4
2025-05-01,819,819,26905758,27079623,-0.6861898149685691,-1.005933301507195,1,4.87057387057387,5
2025-06-01,831,831,22864438,23493320,-2.593865556207926,-2.553415061295972,1,3.8904933814681106,4
2025-07-01,833,833,23955236,23797555,0.8254451437177222,0.3320788133717069,1,3.8523409363745498,4
2025-08-01,843,843,32374067,32186412,0.8098333875695822,0.9076478489152998,1,4.810201660735468,5
2025-09-01,845,845,22448875,23320590,-3.409107145086744,-3.1692808971736,1,3.9254437869822487,4
2025-10-01,843,843,23259908,24058215,-3.0239926283132172,-2.981217239370996,1,3.8623962040332147,4
2025-11-01,863,863,32905244,33811682,0.003018896966427243,-1.8365877080665813,1,4.783314020857474,5
2025-12-01,987,987,34837060,35479998,52.954942980531754,-1.6826436921085628,1,3.5602836879432624,4
2026-01-01,959,959,26374418,26877810,-1.746760659615347,-1.2939080264720855,1,4.688216892596454,5
2026-02-01,961,961,21336230,20623536,3.867216231453583,4.144074360960496,1,3.86264308012487,4
2026-03-01,969,969,26135739,25738984,1.745743167072493,1.7472615549024846,1,3.8823529411764706,4
2026-04-01,1006,1006,26319018,26451879,350.28136434493507,0.16269026729592362,1,3.837972166998012,4
2026-05-01,983,983,33138824,33684094,-1.0628140481096444,-0.8487523340689187,1,4.863682604272634,5
2026-06-01,1004,1004,27197304,26830556,2.4154928775719293,2.589420671559071,1,3.8864541832669324,4
2026-07-01,995,995,25610353,26410588,-2.366175480599652,-1.9688126143392282,1,3.8904522613065327,4
2026-08-01,987,987,21266843,21891439,-2.4182116243592002,-2.212992809323085,1,2.8520770010131713,3
