WeekEndDate,Stores,Rows,Exits,Exits_LY
2024-02-10,642,642,4144747,4196410
2024-02-17,649,649,4420304,4482776
2024-02-24,656,656,4911685,4834688
2024-03-02,653,653,4394766,4432832
2024-03-09,652,652,4659952,4627216
2024-03-16,657,657,5171936,5049933
2024-03-23,655,655,4973781,4864758
2024-03-30,660,660,5256547,4565710
2024-04-06,672,672,2747941,3983505
2024-04-13,725,725,4892461,4313811
2024-04-20,653,653,4684569,4673214
2024-04-27,635,635,3266876,3123039
2024-05-04,646,646,4133073,4015271
2024-05-11,663,663,5566370,5437445
2024-05-18,653,653,4514567,4419154
2024-05-25,652,652,4926019,4788126
2024-06-01,649,649,4451212,4367179
2024-06-08,654,654,4684570,4588471
2024-06-15,657,657,5263196,5088442
2024-06-22,662,662,4596573,4436932
2024-06-29,666,666,4910145,4766084
2024-07-06,659,659,5248458,5073639
2024-07-13,650,650,4006223,4025150
2024-07-20,652,652,4417358,4348696
2024-07-27,661,661,5243664,5142132
2024-08-03,661,661,5330270,5365099
2024-08-10,646,646,4841463,4775153
2024-08-17,648,648,10691896,10304842
2024-08-24,664,664,5252532,4922323
2024-08-31,653,653,4069977,3990435
2024-09-07,651,651,4498875,4317774
2024-09-14,656,656,4286244,4197692
2024-09-21,656,656,4325593,4296650
2024-09-28,656,656,4694105,4774032
2024-10-05,657,657,4535966,4612903
2024-10-12,655,655,3342139,3536147
2024-10-19,653,653,4677238,4545166
2024-10-26,656,656,4911035,4902664
2024-11-02,660,660,3768725,4001265
2024-11-09,670,670,5062328,5128398
2024-11-16,673,673,5435890,5176827
2024-11-23,753,753,6462453,6646686
2024-11-30,694,694,6869632,6113924
2024-12-07,686,686,6971310,6796217
2024-12-14,682,682,7393118,7542826
2024-12-21,678,678,9117481,10627161
2024-12-28,780,780,7833714,5766973
2025-01-04,683,683,5670494,4851719
2025-01-11,717,717,4437182,4346274
2025-01-18,742,742,4287672,4143019
2025-01-25,765,765,4550484,4670618
2025-02-01,769,769,4385111,4687303
2025-02-08,797,797,4591255,5046379
2025-02-15,801,801,4956170,5091869
2025-02-22,793,793,5115428,5650195
2025-03-01,790,790,5236484,5212715
2025-03-08,797,797,5483451,5637661
2025-03-15,795,795,5868428,5968629
2025-03-22,792,792,5890220,5754939
2025-03-29,789,789,5721601,6396100
2025-04-05,890,890,5750211,4964591
2025-04-12,789,789,5576477,5524977
2025-04-19,779,779,5871117,5217307
2025-04-26,811,811,4806139,5704845
2025-05-03,784,784,5031936,5130101
2025-05-10,802,802,6308984,6348525
2025-05-17,804,804,6057524,6116783
2025-05-24,802,802,4266190,4297858
2025-05-31,797,797,5241124,5186356
2025-06-07,820,820,6088457,6125006
2025-06-14,800,800,5818509,6102083
2025-06-21,814,814,5726882,5879705
2025-06-28,799,799,5230590,5386526
2025-07-05,796,796,5868735,6039533
2025-07-12,803,803,5694725,5649621
2025-07-19,801,801,6130564,5995496
2025-07-26,809,809,6261212,6112905
2025-08-02,800,800,6383038,6272566
2025-08-09,801,801,6571856,6450164
2025-08-16,814,814,6785015,6751133
2025-08-23,818,818,6418664,6555467
2025-08-30,822,822,6215494,6157082
2025-09-06,830,830,6008201,6236357
2025-09-13,836,836,5620295,5877990
2025-09-20,826,826,5421366,5646660
2025-09-27,825,825,5399013,5559583
2025-10-04,812,812,5403744,5606548
2025-10-11,825,825,5747571,5905821
2025-10-18,810,810,6105376,6484702
2025-10-25,809,809,6003217,6061144
2025-11-01,820,820,6137116,6110615
2025-11-08,819,819,6321799,6453060
2025-11-15,822,822,6733583,6685338
2025-11-22,827,827,6614859,6947473
2025-11-29,840,840,7097887,7615196
2025-12-06,850,850,6936191,7423909
2025-12-13,844,844,7593097,7947268
2025-12-20,842,842,9309935,9986440
2025-12-27,978,978,10997837,10122381
2026-01-03,848,848,6961272,6777476
2026-01-10,910,910,5554966,5611084
2026-01-17,904,904,5105647,5377043
2026-01-24,917,917,5181020,5407723
2026-01-31,917,917,3571513,3704484
2026-02-07,923,923,4961743,4675047
2026-02-14,931,931,5802563,5484940
2026-02-21,937,937,5816406,5675339
2026-02-28,921,921,4755518,4788210
2026-03-07,934,934,6097317,5943831
2026-03-14,938,938,6687343,6550070
2026-03-21,939,939,6858958,6731911
2026-03-28,951,951,6492121,6513172
2026-04-04,953,953,6995932,6105519
2026-04-11,989,989,5889460,6792256
2026-04-18,952,952,6735006,7679487
2026-04-25,967,967,6698620,5874617
2026-05-02,954,954,6648568,6814335
2026-05-09,955,955,7064408,7236362
2026-05-16,948,948,6363544,6527592
2026-05-23,962,962,6026398,6142432
2026-05-30,962,962,7035906,6963373
2026-06-06,972,972,6649650,6721580
2026-06-13,974,974,7045463,7312021
2026-06-20,983,983,7568591,6850842
2026-06-27,973,973,5933600,5946113
2026-07-04,977,977,6827516,7056242
2026-07-11,959,959,5386795,5535790
2026-07-18,970,970,6633836,6778941
2026-07-25,965,965,6762206,7039615
2026-08-01,967,967,7209295,7433954
2026-08-08,967,967,7680293,7863297
2026-08-15,881,881,6377255,6594188
