DMA,Months,Mean_Comp_Traffic,Median_Comp_Traffic,Total_Exits,Total_Exits_LY,Mean_Stores,Aggregate_Comp_Traffic
"Utica, NY",23,20.838124259342038,20.60576753174398,423650,346416,1.0,22.295159576924853
"Elmira (Corning), NY",3,3.2684509326845093,3.2684509326845093,28517,24660,1.0,15.640713706407135
"Portland-Auburn, ME",25,7.669215602631688,11.015905446063393,357193,316511,1.0,12.853265763275209
"Charlottesville, VA",23,9.392348650554919,9.560424315403782,423724,382155,1.0,10.87752351794429
"Abilene-Sweetwater, TX",31,6.653298053046267,7.085566438735909,941477,881732,1.0,6.775868404458498
"Albany, GA",28,7.097288646236059,8.155596721371941,568873,532852,1.0,6.7600384346873055
"Greensboro-High Point-Winston Salem, NC",31,5.65351051428394,6.254078493521022,2808112,2651406,3.3225806451612905,5.910298158788206
"Charleston, SC",31,6.234522170516162,3.932964329643297,2236170,2113660,2.0,5.796107226327791
"Portland, OR",31,6.3758752632642794,7.597946766813717,4023536,3808649,4.548387096774194,5.642079383004315
"Beaumont-Port Arthur, TX",31,5.1811377691080445,5.698269952010324,897356,851664,1.0,5.365026583253489
"Jackson, TN",31,5.037113459293082,5.711016332050348,671958,638419,1.0,5.253446404320673
"Columbus, GA (Opelika, AL)",23,4.216522638133098,4.577988900101393,1372967,1306208,2.869565217391304,5.110901173473137
"Memphis, TN",31,5.151866872644249,4.8177241976337815,4102751,3908585,4.451612903225806,4.967680119531749
"Sioux Falls(Mitchell), SD",31,5.151608058728646,4.50846068270976,834535,795503,1.0,4.90658111911583
"Augusta, GA-Aiken, SC",31,4.5925471722269195,4.6779678616858344,950694,907795,1.0,4.725626380405268
"Syracuse, NY",31,5.727964033805286,3.9535399362112194,1078694,1032509,1.8709677419354838,4.4730844961157725
"Alexandria, LA",9,-1.4582487137354991,-1.8941641156324767,24995,23946,1.0,4.38068988557588
"Corpus Christi, TX",31,4.405402391018194,4.792614214920915,1102397,1056343,1.0,4.359758146738322
"Jonesboro, AR",31,4.101864504824334,2.9982010793523886,908401,872135,1.0,4.158301180436514
Puerto Rico,31,4.135419379536474,3.462597070677283,34597820,33281773,16.193548387096776,3.9542574850204044
"Little Rock-Pine Bluff, AR",31,4.0989719357611865,2.794078420912243,1109211,1067353,1.903225806451613,3.9216641542207684
"Bowling Green, KY",8,3.664141833443229,4.405990518693683,164489,158347,1.0,3.8788230910595085
"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",31,3.147441041487837,2.678764311946425,888403,855260,1.4193548387096775,3.8751958468769727
"Boise, ID",31,3.928528042633304,3.910635223504567,1710950,1651691,2.0,3.58777761699979
"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",31,3.5264496106549945,3.5668124192173365,2441029,2356793,3.032258064516129,3.5741789796558288
"Tallahassee, FL-Thomasville, GA",31,3.5747857710719426,3.6865706868067027,760505,734457,1.0,3.5465656941114316
"Erie, PA",9,3.143830474976827,3.6611057336445936,129059,124692,1.0,3.5022294934719147
"Raleigh-Durham (Fayetteville), NC",31,3.16340529591364,2.808661846275753,7786914,7533245,9.483870967741936,3.3673270947646072
"Rapid City, SD",19,2.959308535303611,3.7857186191834007,317044,306890,1.0,3.3086773762585944
Charlotte,31,3.5078487297010366,3.226997314222428,7684896,7438970,9.419354838709678,3.3059146629170435
"Lafayette, LA",22,2.677779158503148,1.6009591649622683,505386,489218,1.0,3.304866133298448
"Lafayette, IN",31,3.3769760491124905,2.9647477869153005,694106,671987,1.0,3.291581533571334
"Panama City, FL",31,3.3050488896075287,4.744516893894487,1145751,1109525,1.4838709677419355,3.265000788625763
"Wilmington, NC",31,2.9009068465790713,2.7239488117001827,635019,615689,1.0,3.1395720891554015
"Biloxi-Gulfport, MS",15,3.0880023874975016,3.030227016179606,504866,489624,1.8666666666666667,3.1130009966831693
"Columbia, SC",31,2.8091991188333,2.094913729396266,2457152,2383832,3.6451612903225805,3.0757201010809485
"Mobile, AL-Pensacola (Ft. Walton Beach), FL",31,3.0001166599627678,3.539088711713987,1626485,1579455,2.3870967741935485,2.977609365255737
Cincinnati,31,2.703191737308303,2.566015062518776,4673419,4540012,7.290322580645161,2.938472409324028
"Medford-Klamath Falls, OR",31,2.873532967103239,3.4976380207090707,772804,751465,1.0,2.839653210728377
"Nashville, TN",31,3.3034515383114464,3.2062627637848875,3563810,3469946,4.903225806451613,2.7050565052020983
"Bakersfield, CA",31,1.8393310826276217,1.4352857937029362,1372336,1337130,1.0,2.6329526672799206
Minneapolis,31,3.4023810571504276,2.4782222462414585,7808879,7612553,9.32258064516129,2.578977118451589
"Jackson, MS",31,2.8341769597605158,3.8259977278557553,822573,802216,1.0,2.53759585946927
