Traffic_Month,Exits,Exits_LY,Stores,DMAs,Comp_Traffic,Traffic_Year
2024-02-01,13339402,13365187,654,138,-0.1929265935448565,2024
2024-03-01,24240536,23310923,661,139,3.987885850766184,2024
2024-04-01,15486464,15958198,730,147,-2.9560605777669884,2024
2024-05-01,19026323,18536365,662,139,2.643225896771023,2024
2024-06-01,23727871,23057214,669,140,2.908664507342474,2024
2024-07-01,18801001,18459172,671,140,1.851811121322235,2024
2024-08-01,29994523,29144582,676,140,2.9162916112504202,2024
2024-09-01,17675844,17440619,665,139,1.3487193315787702,2024
2024-10-01,17362279,17484174,678,139,-0.6971733408738668,2024
2024-11-01,27435874,26877226,761,145,2.078518073256518,2024
2024-12-01,31104858,30502517,772,146,1.9747255611725418,2024
2025-01-01,18836433,17897062,766,146,5.248744179351896,2025
2025-02-01,18942831,20353421,810,151,-6.930481121576565,2025
2025-03-01,28056000,28803579,808,151,-2.5954378794385238,2025
2025-04-01,21895645,21291593,900,157,2.8370446495008617,2025
2025-05-01,26809307,26970221,815,151,-0.596635822895185,2025
2025-06-01,22756724,23373584,827,152,-2.6391331342253714,2025
2025-07-01,23840973,23674542,828,151,0.7029956482368276,2025
2025-08-01,32196059,31992427,838,153,0.6365006318526569,2025
2025-09-01,22319179,23175812,841,152,-3.696237266681314,2025
2025-10-01,23179101,23967512,840,152,-3.2894987180980655,2025
2025-11-01,32809649,33701566,860,152,-2.6465150017064487,2025
2025-12-01,34732465,35358381,982,159,-1.7702054853699325,2025
2026-01-01,26324983,26821826,955,159,-1.8523832046334205,2026
2026-02-01,21314716,20600230,960,161,3.468339916593164,2026
2026-03-01,26104192,25705525,968,160,1.5509000496974874,2026
2026-04-01,26267679,26397518,1005,160,-0.49186063629163923,2026
2026-05-01,33102381,33643696,982,160,-1.6089641280791502,2026
2026-06-01,27150844,26778709,1003,161,1.3896674406521987,2026
2026-07-01,25556837,26351326,994,160,-3.0149867980078118,2026
2026-08-01,21222531,21844465,986,159,-2.8471010848743603,2026
