DMA,Traffic_Month,Exits,Exits_LY,Stores,Store_Month_Rows,Mean_Store_Comp,Median_Store_Comp,Mean_Weeks_Observed,Comp_Traffic,Traffic_Year,Traffic_Month_Number,Spend,Spend_Flag
Atlanta,2024-02-01,321544,324430,17,17,-0.7650294492921427,-1.7565872020075282,3.0,-0.8895601516505872,2024,2,0.0,False
Atlanta,2024-03-01,615947,600681,19,19,2.6188098279442302,2.275453091684435,4.947368421052632,2.541448788957866,2024,3,0.0,False
Atlanta,2024-04-01,388492,399738,20,20,-3.4883318476388423,-3.141251247570521,3.8,-2.813342739494369,2024,4,0.0,False
Atlanta,2024-05-01,527563,515851,19,19,1.8783020003678859,1.429177868968445,4.0,2.2704230485159473,2024,5,0.0,False
Atlanta,2024-06-01,617822,603157,19,19,1.4734582637542242,1.156804554539398,4.947368421052632,2.4313735892976456,2024,6,0.0,False
Atlanta,2024-07-01,508280,515078,19,19,-1.7919878991975733,-1.399362512633134,4.0,-1.319800107944816,2024,7,0.0,False
Atlanta,2024-08-01,655908,639259,19,19,2.7931411736769696,1.9132849868847401,4.894736842105263,2.604421681978666,2024,8,0.0,False
Atlanta,2024-09-01,430477,435981,19,19,-0.90940838930806,-1.163200563976031,3.9473684210526314,-1.2624403357027028,2024,9,0.0,False
Atlanta,2024-10-01,444272,457285,20,20,-2.3990147927472223,-2.228935252802653,3.9,-2.845708912385055,2024,10,0.0,False
Atlanta,2024-11-01,674636,676347,22,22,1.891335350688135,3.9443120358676214,4.636363636363637,-0.2529766525171251,2024,11,0.0,False
Atlanta,2024-12-01,743225,721985,22,22,2.789389333411614,3.063844000980983,3.6818181818181817,2.9418893744329866,2024,12,0.0,False
Atlanta,2025-01-01,393868,383564,23,23,2.8830165806856685,2.9053945894029134,3.652173913043478,2.686383497929941,2025,1,0.0,False
Atlanta,2025-02-01,472473,503246,24,24,-4.055188507758026,-2.4848082928000963,3.9166666666666665,-6.114902055853399,2025,2,0.0,False
Atlanta,2025-03-01,720150,737321,24,24,-0.3212407775754005,0.8346002510393569,4.916666666666667,-2.3288364226707228,2025,3,80000.0,True
Atlanta,2025-04-01,501015,495816,27,27,3.8485112312089846,6.87561118238804,3.6296296296296298,1.0485744711747906,2025,4,90000.0,True
Atlanta,2025-05-01,671946,681225,24,24,-1.2589243011050284,-0.9945656944924439,4.958333333333333,-1.3621050313772982,2025,5,41000.0,True
Atlanta,2025-06-01,604762,619655,26,26,-1.19207772943767,-1.2918561603929062,3.9615384615384617,-2.4034341690134027,2025,6,48000.0,True
Atlanta,2025-07-01,683399,643573,26,26,6.556861966229007,7.214276054609761,3.9615384615384617,6.188264579154191,2025,7,124000.0,True
Atlanta,2025-08-01,761772,724897,26,26,5.0233962923718485,4.122361365503167,4.846153846153846,5.08692959137643,2025,8,128000.0,True
Atlanta,2025-09-01,574892,588308,26,26,-0.6047282382439582,0.5899153415025966,3.923076923076923,-2.2804381378461622,2025,9,8000.0,True
Atlanta,2025-10-01,601843,624951,26,26,-1.5292291995242986,0.4302366951555757,3.8076923076923075,-3.697569889479335,2025,10,36000.0,True
Atlanta,2025-11-01,782394,757260,26,26,18.429374187654666,5.418973928036452,4.6923076923076925,3.319071388954917,2025,11,150000.0,True
Atlanta,2025-12-01,803261,800373,28,28,-2.863565632759811,1.3495119145154164,3.4642857142857144,0.36083176219087854,2025,12,340000.0,True
Atlanta,2026-01-01,567888,553165,26,26,1.8119767308732553,1.612794130972532,4.6923076923076925,2.6615928339645496,2026,1,135000.0,True
Atlanta,2026-02-01,490720,462245,28,28,5.859615378362052,6.699872443048875,3.607142857142857,6.160153165529103,2026,2,87000.0,True
Atlanta,2026-03-01,610098,579497,29,29,4.800045615064532,6.046195652173913,3.793103448275862,5.280614049770749,2026,3,235000.0,True
Atlanta,2026-04-01,628150,603885,29,29,3.9452573751170097,5.1016097995963765,3.793103448275862,4.018149150914495,2026,4,149000.0,True
Atlanta,2026-05-01,816938,797104,29,29,2.8426526212916152,3.4968039963474244,4.689655172413793,2.4882574921214795,2026,5,141000.0,True
Atlanta,2026-06-01,610240,584439,28,28,4.053096143644509,4.905158103210743,3.9285714285714284,4.414660897031171,2026,6,145000.0,True
Atlanta,2026-07-01,591929,620293,28,28,-6.235741768588686,-3.0983626805743816,3.7857142857142856,-4.57267775067589,2026,7,266000.0,True
Atlanta,2026-08-01,482052,483058,28,28,0.006715084588354411,-0.16031724262061797,2.7857142857142856,-0.20825656546418855,2026,8,0.0,False
Baltimore,2024-02-01,164533,169586,6,6,-5.93004690185944,-5.450706414506664,2.8333333333333335,-2.9796091658509547,2024,2,0.0,False
Baltimore,2024-03-01,326079,303779,6,6,6.632800081789372,8.575257135004836,5.0,7.340862929958951,2024,3,0.0,False
Baltimore,2024-04-01,186694,193796,7,7,-5.547069425069833,-6.474773906918953,3.4285714285714284,-3.6646783215339838,2024,4,0.0,False
Baltimore,2024-05-01,246498,236789,6,6,2.307253543322147,6.635914333201609,4.0,4.100274928311704,2024,5,0.0,False
Baltimore,2024-06-01,293880,290161,6,6,-0.13836070165969913,1.1512865209547094,5.0,1.2817022273841074,2024,6,0.0,False
Baltimore,2024-07-01,255531,245658,6,6,3.399782413057981,5.669279444758195,3.8333333333333335,4.0190020272085585,2024,7,0.0,False
Baltimore,2024-08-01,446527,435707,6,6,-0.45654526677623447,1.4418629497005675,5.0,2.483320212895363,2024,8,0.0,False
Baltimore,2024-09-01,184638,179002,6,6,2.78482302841064,4.268755238736965,3.8333333333333335,3.148568172422655,2024,9,0.0,False
Baltimore,2024-10-01,187031,180993,6,6,1.6337155336180995,1.5704824438771525,3.6666666666666665,3.3360406203554835,2024,10,0.0,False
Baltimore,2024-11-01,315213,313580,7,7,4.90741059019909,5.778792039575006,4.428571428571429,0.520760252567128,2024,11,0.0,False
Baltimore,2024-12-01,387482,376734,8,8,9.108229065815271,5.044718668629005,3.375,2.8529413326113384,2024,12,0.0,False
Baltimore,2025-01-01,213408,192803,7,7,11.034095027365497,11.287551655290894,3.5714285714285716,10.687074371249409,2025,1,0.0,False
Baltimore,2025-02-01,204980,220392,8,8,-5.107919829913426,-6.826417949966348,3.5,-6.992994301063559,2025,2,0.0,False
Baltimore,2025-03-01,347799,364507,8,8,-3.255205450897376,-3.024217649319639,5.0,-4.583725415424121,2025,3,14000.0,True
Baltimore,2025-04-01,274050,257795,8,8,6.360882935507831,6.080540551411376,4.0,6.305397699722648,2025,4,30000.0,True
Baltimore,2025-05-01,337446,337282,8,8,2.16204947442231,-0.28368212518808766,5.0,0.048624000094876094,2025,5,15000.0,True
Baltimore,2025-06-01,309119,311818,8,8,0.5991425386255602,-0.7327040553712564,4.0,-0.8655690178245002,2025,6,22000.0,True
Baltimore,2025-07-01,284809,286786,8,8,-1.0548877507895178,-0.08989534518008135,3.625,-0.6893641949049117,2025,7,48000.0,True
Baltimore,2025-08-01,415153,403903,7,7,2.220520122319002,6.520510082291602,5.0,2.7853222184534405,2025,8,46000.0,True
Baltimore,2025-09-01,250071,264752,8,8,-4.937524345392227,-3.127766476196597,3.625,-5.545189460325135,2025,9,2000.0,True
Baltimore,2025-10-01,304894,301836,8,8,0.10732813074875386,2.1110248410653445,4.0,1.0131329596204561,2025,10,35000.0,True
Baltimore,2025-11-01,413336,405225,8,8,2.179564674977304,3.2275598683527615,5.0,2.001604047134308,2025,11,48000.0,True
Baltimore,2025-12-01,431004,429394,9,9,0.4377064913530494,0.6257725587144624,3.888888888888889,0.37494701835610184,2025,12,85000.0,True
Baltimore,2026-01-01,297907,294916,9,9,-4.111828166356172,-0.7465302116921351,4.555555555555555,1.0141870905613801,2026,1,29000.0,True
Baltimore,2026-02-01,241274,218594,8,8,7.955498584023314,8.959568426530957,4.0,10.375399141787971,2026,2,0.0,False
Baltimore,2026-03-01,287622,276942,8,8,4.592954013188221,4.517835508472769,4.0,3.856403145785038,2026,3,0.0,False
Baltimore,2026-04-01,296075,298990,8,8,0.8625656779821357,1.560989797311431,4.0,-0.9749489949496639,2026,4,0.0,False
Baltimore,2026-05-01,371138,372245,8,8,-0.7868749094869458,0.17862098030990392,5.0,-0.2973847869011001,2026,5,0.0,False
Baltimore,2026-06-01,349616,331007,9,9,6.155859736282955,5.462212777261256,4.0,5.621935487769141,2026,6,0.0,False
Baltimore,2026-07-01,310062,308974,9,9,-0.22823365749456237,0.363079366880354,4.0,0.3521331892003858,2026,7,0.0,False
Baltimore,2026-08-01,273320,269999,9,9,-1.4158661713002951,-0.2102058567700783,3.0,1.230004555572428,2026,8,0.0,False
Boston,2024-02-01,287859,291641,12,12,-0.9532394557557904,-1.8897403403615436,3.0,-1.2967998326709893,2024,2,0.0,False
Boston,2024-03-01,500967,493801,12,12,2.6607867986094553,2.030516539839758,5.0,1.451191876889678,2024,3,0.0,False
Boston,2024-04-01,361276,391544,12,12,-7.369580209707871,-6.243438418090701,3.9166666666666665,-7.730421102098359,2024,4,0.0,False
Boston,2024-05-01,427429,425917,12,12,0.8787907618297166,-0.49985572881212764,4.0,0.3549987438867197,2024,5,0.0,False
Boston,2024-06-01,537720,523916,12,12,2.8626043669691703,2.7174207182389933,4.916666666666667,2.634773513311294,2024,6,0.0,False
Boston,2024-07-01,375605,367495,12,12,-0.07864784252744077,2.2914378099654886,3.6666666666666665,2.2068327460237556,2024,7,0.0,False
Boston,2024-08-01,569365,564533,11,11,0.29795554258413515,0.46159890001964254,4.7272727272727275,0.855928705673539,2024,8,0.0,False
Boston,2024-09-01,413413,404255,11,11,1.5172969887852532,2.214750180625799,4.0,2.265401788475096,2024,9,0.0,False
Boston,2024-10-01,384195,375637,12,12,0.8854892162175867,0.4114885254645362,3.75,2.278263323368039,2024,10,0.0,False
Boston,2024-11-01,531851,542686,12,12,-2.142088584757087,-1.96196430617299,5.0,-1.996550491444408,2024,11,0.0,False
Boston,2024-12-01,665894,650014,12,12,3.078988141108788,1.635444891066467,4.0,2.443024304091912,2024,12,0.0,False
Boston,2025-01-01,378406,362825,13,13,4.57583792776873,3.895534962089301,3.923076923076923,4.294356783573348,2025,1,0.0,False
Boston,2025-02-01,374008,422496,15,15,-12.26595104653419,-11.5178682604906,3.8666666666666667,-11.476558357948951,2025,2,0.0,False
Boston,2025-03-01,567423,583791,15,15,-3.2736044403015847,-3.611107662897079,5.0,-2.8037431203975394,2025,3,75000.0,True
Boston,2025-04-01,464335,452322,20,20,1.3910536476314899,1.582514003682087,3.25,2.6558513625249267,2025,4,101000.0,True
Boston,2025-05-01,538603,554611,15,15,-3.400774914889999,-3.405492730210016,5.0,-2.8863473677947247,2025,5,47000.0,True
Boston,2025-06-01,469729,486334,15,15,-2.9537648945493937,-3.855507746730386,3.8666666666666667,-3.4143201996981496,2025,6,60000.0,True
Boston,2025-07-01,454601,444881,16,16,5.991021090889005,1.226238086424769,3.5,2.1848539272299785,2025,7,90000.0,True
Boston,2025-08-01,595756,604466,13,13,-0.4162498067038355,-1.4528460034035204,4.769230769230769,-1.4409412605506349,2025,8,127000.0,True
Boston,2025-09-01,441233,483834,14,14,-7.2249629272420535,-8.461908147543461,3.9285714285714284,-8.804879359449728,2025,9,5000.0,True
