DMA,Months,Mean_Comp_Traffic,Median_Comp_Traffic,Total_Exits,Total_Exits_LY,Mean_Stores,Aggregate_Comp_Traffic
Puerto Rico,31,4.135419379536474,3.462597070677283,34597820,33281773,16.193548387096776,3.9542574850204044
Charlotte,31,3.5078487297010366,3.226997314222428,7684896,7438970,9.419354838709678,3.3059146629170435
Cincinnati,31,2.703191737308303,2.566015062518776,4673419,4540012,7.290322580645161,2.938472409324028
Minneapolis,31,3.4023810571504276,2.4782222462414585,7808879,7612553,9.32258064516129,2.578977118451589
Providence,31,1.4855882743856275,1.4643823870609796,6804590,6704305,7.774193548387097,1.4958299182391017
Baltimore,31,1.553424966782095,1.230004555572428,9207189,9073945,7.516129032258065,1.4684241528905013
Fort Myers,31,1.6104136441445982,0.6163134709950926,5838117,5760474,7.290322580645161,1.3478578325325312
Atlanta,31,0.7790642077813146,1.0485744711747906,18297956,18133667,24.06451612903226,0.9059888438449873
Sacramento,31,0.7214499435593418,0.7734003363613547,10846226,10780655,12.516129032258064,0.6082283497616796
Tampa,31,0.7068849061931703,0.44530517163200106,14935975,14884729,17.29032258064516,0.3442857441341391
Dallas,31,0.3440009238784263,0.3437900190974596,25855738,25782753,25.322580645161292,0.2830768304688021
Hartford,31,0.5832880424712614,-0.29781444162170906,7996082,7980048,9.580645161290322,0.20092610971763578
Columbus,31,-0.08840582744151555,0.06856084552440142,3434406,3429574,4.580645161290323,0.14089213412511292
Orlando,31,-0.023683529840947008,-0.5312857272838759,19013265,19049849,19.70967741935484,-0.1920435169853577
Detroit,31,-0.043623735938535135,-1.7793076549232776,10177791,10198192,13.483870967741936,-0.20004526292503613
Seattle,31,-0.3601328624325375,-0.25047134866474074,9113122,9139208,9.451612903225806,-0.2854295470679735
Philadelphia,31,-0.49261686225707,-0.26759983532317827,20978539,21077517,30.0,-0.46959041712550864
Houston,31,-0.20661893992579725,-0.2633446451573846,29938620,30088771,26.870967741935484,-0.49902669670356425
San Diego,31,-1.0001554580340142,-1.596034505205194,8116480,8182005,9.03225806451613,-0.8008428251999357
Washington DC,31,-1.2341374395500464,-1.7353457465994437,15936897,16091966,16.161290322580644,-0.9636423542033334
Los Angeles,31,-1.0503158719284347,-1.2925081235175402,41957327,42367502,43.12903225806452,-0.9681359075642458
Phoenix,31,-1.0246174008404165,-1.4880214153271853,11578555,11703228,13.709677419354838,-1.065287286550343
San Antonio,31,-0.4545518013199964,-2.638683940489885,12082791,12223655,10.580645161290322,-1.1523885449973843
Chicago,31,-1.116612913554983,-1.0690839682391766,30523301,30905285,32.96774193548387,-1.2359827777029075
Harlingen/McAllen,31,-0.3819285999661015,-0.34778834004707804,11600320,11768614,7.129032258064516,-1.4300239603406144
Oklahoma City,31,-1.4600408094522084,-1.4319691002150046,4355826,4420467,7.483870967741935,-1.4623115611993032
El Paso,31,-1.0293708483246362,-0.7384679577566113,8376815,8523375,6.645161290322581,-1.7195066508278707
Boston,31,-1.7133591670913952,-1.2967998326709893,15215890,15507775,15.290322580645162,-1.8821849040239493
West Palm,31,-1.4019050804076068,-2.5315667977443184,7637003,7792763,8.548387096774194,-1.9987775837658608
New York,31,-2.339886185254495,-2.3184149791828004,85224937,87228392,70.25806451612904,-2.2967923104669863
Cleveland,31,-2.6040459520210675,-2.192331626059069,4990927,5122470,8.64516129032258,-2.5679603784892833
Miami,31,-2.174041877266717,-3.4496797041309826,33556646,34443091,28.322580645161292,-2.573651127885125
Buffalo,31,-2.544900928975024,-1.1817874431991555,2013741,2072498,3.6774193548387095,-2.8350811436247465
Las Vegas,31,-3.3949767332362875,-3.0210902868169778,8093327,8373730,9.096774193548388,-3.3486033105915762
