Traffic_Month,Exits,Exits_LY,Stores,DMAs,Comp_Traffic
2024-02-01,9821757,9902703,436,34,-0.8174131850667439
2024-03-01,17968370,17438188,446,34,3.0403502932758837
2024-04-01,11460961,11866041,490,34,-3.413775495972077
2024-05-01,14005234,13721406,445,34,2.068505224610364
2024-06-01,17539125,17084496,451,34,2.6610618188561137
2024-07-01,13793222,13552830,453,34,1.7737402446573889
2024-08-01,21907214,21323479,455,34,2.7375223339493524
2024-09-01,13102089,12941820,447,34,1.2383806914328896
2024-10-01,12751084,12856064,456,34,-0.816579631215277
2024-11-01,20181853,19857426,510,34,1.6337817398891477
2024-12-01,22774490,22396548,516,34,1.687501127405884
2025-01-01,14248905,13516982,512,34,5.414840383748384
2025-02-01,14033153,15007815,538,34,-6.494363103489749
2025-03-01,20486179,21064626,538,34,-2.7460587242327494
2025-04-01,16067517,15746663,600,34,2.037599966418282
2025-05-01,19830164,19959924,541,34,-0.6501026757416511
2025-06-01,16769711,17230388,547,34,-2.6736310290865184
2025-07-01,17482904,17405249,550,34,0.44615851229706627
2025-08-01,23166072,23140424,552,34,0.11083634422601764
2025-09-01,16225483,16949057,555,34,-4.269110664976818
2025-10-01,16697162,17314251,554,34,-3.564052525286829
2025-11-01,23581653,24384763,574,34,-3.2934911034402914
2025-12-01,24595379,25273497,649,34,-2.6831190001130434
2026-01-01,19409166,19903388,626,34,-2.483104886464556
2026-02-01,15204005,14881665,632,34,2.1660210735828285
2026-03-01,18601159,18452989,636,34,0.8029593471279911
2026-04-01,18994512,19177339,666,34,-0.9533491586085013
2026-05-01,24213396,24708103,650,34,-2.0022055112851036
2026-06-01,19865374,19697305,663,34,0.8532588595241836
2026-07-01,18544986,19238217,658,34,-3.6034056586428984
2026-08-01,15141134,15690165,653,34,-3.499204756610271
