DMA,Total_Spend,Spend_Months,First_Spend_Month,Last_Spend_Month,Treated
New York,9301000.0,17,2025-03-01,2026-07-01,True
Los Angeles,5171000.0,17,2025-03-01,2026-07-01,True
Chicago,3805000.0,17,2025-03-01,2026-07-01,True
Dallas,3492000.0,17,2025-03-01,2026-07-01,True
Miami,3239000.0,17,2025-03-01,2026-07-01,True
Philadelphia,3101000.0,17,2025-03-01,2026-07-01,True
Houston,3006000.0,17,2025-03-01,2026-07-01,True
Atlanta,2203000.0,17,2025-03-01,2026-07-01,True
Washington DC,2148000.0,16,2025-03-01,2026-07-01,True
Boston,1982000.0,17,2025-03-01,2026-07-01,True
Puerto Rico,1935000.0,15,2025-04-01,2026-07-01,True
Tampa,991000.0,11,2025-03-01,2026-01-01,True
Minneapolis,989000.0,11,2025-03-01,2026-01-01,True
Orlando,895000.0,11,2025-03-01,2026-01-01,True
Detroit,841000.0,11,2025-03-01,2026-01-01,True
Phoenix,753000.0,11,2025-03-01,2026-01-01,True
San Antonio,624000.0,11,2025-03-01,2026-01-01,True
Sacramento,532000.0,11,2025-03-01,2026-01-01,True
West Palm,524000.0,11,2025-03-01,2026-01-01,True
Harlingen/McAllen,519000.0,11,2025-03-01,2026-01-01,True
Cincinnati,434000.0,11,2025-03-01,2026-01-01,True
Las Vegas,415000.0,11,2025-03-01,2026-01-01,True
San Diego,413000.0,11,2025-03-01,2026-01-01,True
Baltimore,374000.0,11,2025-03-01,2026-01-01,True
Columbus,374000.0,11,2025-03-01,2026-01-01,True
Charlotte,319000.0,11,2025-03-01,2026-01-01,True
El Paso,317000.0,10,2025-03-01,2026-01-01,True
Cleveland,307000.0,11,2025-03-01,2026-01-01,True
Seattle,292000.0,11,2025-03-01,2026-01-01,True
National (Other),249000.0,1,2026-01-01,2026-01-01,True
Oklahoma City,228000.0,11,2025-03-01,2026-01-01,True
Fort Myers,200000.0,10,2025-03-01,2026-01-01,True
Buffalo,177000.0,11,2025-03-01,2026-01-01,True
Hartford,132000.0,10,2025-03-01,2026-01-01,True
Providence,115000.0,8,2025-03-01,2026-01-01,True
