,Spend,Traffic,Transactions,Store_Count,Total_Selling_SqFt,Avg_Selling_SqFt,DMA_Population,TradeAreaPopulation,Year,Month_Number,Quarter,Holiday_Season,Spend_Lag_1,Spend_Lag_2,Spend_Lag_3,Spend_Lag_6,Rolling_Spend_3,Rolling_Spend_6,Rolling_Spend_12,Cumulative_Spend,Spend_pct_change,Log_Spend,Spend_Index,High_Spend,Traffic_Lag_1,Traffic_Lag_12,Rolling_Traffic_3,Traffic_pct_change,Traffic_per_Store,Transactions_per_Store,Traffic_per_1000SqFt,Spend_per_Store,Spend_per_1000SqFt
Spend,1.0,0.7046074489473823,0.7150725576813989,0.6628277970416617,0.6672854577300106,0.07861645759197713,0.6352948987823663,0.5607667729953246,-0.005049915365582877,0.22159606284659283,0.21178196054982643,0.3110878788244541,0.6109003008556535,0.3387025182983658,0.5013163663544701,0.3397360533865506,0.8046261749005744,0.793678145950131,0.7747222412075541,0.7082436030327839,0.040229930535536335,0.48973763731394265,0.41071458584869247,0.39322078874335187,0.6797672902809263,0.8124916989129572,0.6749701778680938,0.0472116940598597,0.25682295451650455,0.2811593733769035,0.19721391496900084,0.7213609965346551,0.7069490665808819
Traffic,0.7046074489473823,1.0,0.9969924897137437,0.9250901532406053,0.9258938199315547,0.10739826035887817,0.8301613625256916,0.7828790434419062,0.006968330996560065,0.07052796451088024,0.06177166152401514,0.09331946804952987,0.6445959614298173,0.5708920400144202,0.5516938818253044,0.5358907891183261,0.7670940795050949,0.7929674821911349,0.8172494674078559,0.6893662271737285,0.005309158377370168,0.38923486409200125,0.07678387219552554,0.06725591513889287,0.9491204453286494,0.9789191753090869,0.9809249541677958,0.09559877279302595,0.43872763176110857,0.44556368548281927,0.3965969256408132,0.3359301650858007,0.33051615011689245
Transactions,0.7150725576813989,0.9969924897137437,1.0,0.9329921064526455,0.9368226011952397,0.11704610865439981,0.8431159024690581,0.7771135968806029,0.02151516710705044,0.05451228890214814,0.045036644140577245,0.08756950795601127,0.654414541565027,0.5850560448363997,0.5696138245432747,0.5500203408949379,0.7802641049258274,0.8106036386972347,0.8329301793432935,0.7072266367356035,-0.00254160294497251,0.3817880114004092,0.0714442723457918,0.06308285446339244,0.9474978807494211,0.9795446557270117,0.978943168297804,0.08968289957955837,0.40703383342330013,0.4292236681670502,0.35660607539715694,0.33466215591603343,0.3259306654077996
Store_Count,0.6628277970416617,0.9250901532406053,0.9329921064526455,1.0,0.985617982210724,0.004048700834614459,0.9341779175101109,0.8410173603159825,-1.4791429174826997e-13,1.5734321543204467e-16,-2.5578685286679335e-17,1.531881136240091e-17,0.6449601303215984,0.6276905030150463,0.6206677503162071,0.5658583583467168,0.7594480787583575,0.7829082962413513,0.8128112360543818,0.6782621563071345,-0.03490336598818786,0.38373809548278676,-6.481077445975162e-17,0.005595216256391445,0.923732772464683,0.9351699319513418,0.939276151425607,-0.007970554109271796,0.15312455773909106,0.16748282477779852,0.13177015486492757,0.26455509962720464,0.2599103002163808
Total_Selling_SqFt,0.6672854577300106,0.9258938199315547,0.9368226011952397,0.985617982210724,1.0,0.13783328531419312,0.9186143866087235,0.8336747712596587,-1.5414041878105956e-13,1.485245630810473e-16,2.553430883914854e-18,1.437759462762528e-17,0.6504458314941514,0.6341354793770042,0.6271747010002899,0.5692493997117868,0.7659296183799932,0.789813499641646,0.8217682039110877,0.684943390575604,-0.047001382840924,0.37524305848426726,-7.64398838363292e-17,0.004721907380448973,0.9245247126978542,0.9388959517993579,0.939934046732062,-0.008037001049462289,0.16337600233754862,0.18830919724821454,0.07859557534323834,0.26953134184861266,0.24638735056724403
Avg_Selling_SqFt,0.07861645759197713,0.10739826035887817,0.11704610865439981,0.004048700834614459,0.13783328531419312,1.0,-0.031162386212575426,9.45632981352593e-06,-8.883777334477105e-14,2.863615053395989e-17,2.1665233597408343e-16,-9.979626474821993e-18,0.0773143561786955,0.07625631815160672,0.07427981434874131,0.05219089627665784,0.09116002226336466,0.09043972441775618,0.09259456643352836,0.07630418509013313,-0.0524851587142023,0.028590552921201266,-3.469981272734039e-17,-0.005422624721637826,0.10697607590841333,0.11450482941230629,0.10828007764625126,-0.009663387490014202,0.2515258912616403,0.3325349120071726,-0.12990630101707434,0.10005849119305114,-0.0022317638321318477
DMA_Population,0.6352948987823663,0.8301613625256916,0.8431159024690581,0.9341779175101109,0.9186143866087235,-0.031162386212575426,1.0,0.7561685301073932,-1.0870135249608095e-13,1.4495714372319117e-16,9.280792738375046e-17,1.80268861046293e-17,0.6156972572961239,0.5958068489931366,0.5880768886094635,0.5309953541916377,0.7250466755949031,0.7444993856986178,0.7740363284562631,0.6447282589869587,-0.05488324088452977,0.35911566105404713,-4.78086123655118e-17,0.006151743431497564,0.8283659046012111,0.8436810613206959,0.8419884782056861,-0.0012875599242077914,0.0572964853106131,0.0686887657677504,0.040196615653460936,0.27282972159408836,0.2641520563847361
TradeAreaPopulation,0.5607667729953246,0.7828790434419062,0.7771135968806029,0.8410173603159825,0.8336747712596587,9.45632981352593e-06,0.7561685301073932,1.0,-1.6320067956041515e-13,1.0402628742644016e-16,-4.6483605410563943e-17,4.419489856987397e-18,0.5470592616848315,0.534922437281152,0.5285527830831261,0.48843250661615234,0.6443618888240429,0.6661561158516673,0.6956575684941745,0.5812316750015784,-0.05525179234097619,0.3682590296183359,5.794059983548871e-18,0.008249753086026903,0.7815870196738907,0.7947542483730513,0.7956619846326387,-0.006619291559462975,0.16973303830549444,0.15098298322707102,0.12480950050279829,0.26271315147521107,0.2511630055558807
Year,-0.005049915365582877,0.006968330996560065,0.02151516710705044,-1.4791429174826997e-13,-1.5414041878105956e-13,-8.883777334477105e-14,-1.0870135249608095e-13,-1.6320067956041515e-13,1.0,-0.4670442287565012,-0.43065117197028197,-0.2820380374089028,0.15222165128525614,0.20827129627915422,0.2173428767424152,0.23648821495536174,0.16107682614280083,0.24651159418651314,0.26575475542847526,0.40024477842786943,-0.17336158920647776,-0.4272894401131157,-0.3196647086016969,-0.1576005564531852,0.043941491411242616,,0.049128094597813435,-0.2159477941503419,0.008681159733583623,0.05470408741699003,0.011254656071049349,-0.1813315358866229,-0.1878315437535801
Month_Number,0.22159606284659283,0.07052796451088024,0.05451228890214814,1.5734321543204467e-16,1.485245630810473e-16,2.863615053395989e-17,1.4495714372319117e-16,1.0402628742644016e-16,-0.4670442287565012,1.0,0.96600566572238,0.6398034400707342,-0.08747487788818056,-0.18723222528135755,-0.1637938061602168,-0.09622731974427597,0.02954876851034384,-0.0012271923318389714,0.020661210728960978,-0.011479902081683577,0.28473906684427414,0.3379758164918827,0.5099327141845461,0.40278532040309395,0.010339902464242207,0.027465302831610236,0.027333464912800098,0.14118846938081134,0.217098550561352,0.1852965820203064,0.1939309771379298,0.42259791471045693,0.4296250534746345
