Month,Spend,Traffic,Spend_Trend,Spend_Detrended,Traffic_Trend,Traffic_Detrended
2025-02-01,0,14033153.0,1698315.789473684,-1698315.789473684,17537553.204678364,-3504400.204678364
2025-03-01,1719000,20486179.0,1826239.4220846232,-107239.42208462325,17721276.540075682,2764902.459924318
2025-04-01,2714000,16067517.0,1954163.0546955622,759836.9453044378,17904999.875472996,-1837482.8754729964
2025-05-01,1147000,19830164.0,2082086.6873065014,-935086.6873065014,18088723.210870314,1741440.7891296856
2025-06-01,1647000,16769711.0,2210010.3199174404,-563010.3199174404,18272446.546267632,-1502735.5462676324
2025-07-01,2677000,17482904.0,2337933.95252838,339066.04747162014,18456169.881664947,-973265.8816649467
2025-08-01,3215000,23166072.0,2465857.585139319,749142.4148606812,18639893.217062265,4526178.782937735
2025-09-01,793000,16225483.0,2593781.217750258,-1800781.2177502578,18823616.552459583,-2598133.5524595827
2025-10-01,2268000,16697162.0,2721704.850361197,-453704.8503611968,19007339.887856897,-2310177.887856897
2025-11-01,4694000,23581653.0,2849628.482972136,1844371.5170278642,19191063.223254215,4390589.776745785
2025-12-01,9998000,24595379.0,2977552.115583075,7020447.884416925,19374786.558651533,5220592.441348467
2026-01-01,3320000,19409166.0,3105475.748194014,214524.2518059858,19558509.894048847,-149343.89404884726
2026-02-01,960000,15204005.0,3233399.380804953,-2273399.380804953,19742233.229446165,-4538228.229446165
2026-03-01,3648000,18601159.0,3361323.0134158926,286676.9865841074,19925956.564843483,-1324797.5648434833
2026-04-01,3159000,19012165.0,3489246.6460268316,-330246.6460268316,20109679.900240798,-1097514.9002407975
2026-05-01,1797000,24213396.0,3617170.2786377706,-1820170.2786377706,20293403.235638116,3919992.7643618844
2026-06-01,2793000,19865374.0,3745093.91124871,-952093.91124871,20477126.57103543,-611752.5710354298
2026-07-01,3593000,18544986.0,3873017.543859649,-280017.543859649,20660849.906432748,-2115863.906432748
