DMA,Correlation
"Orlando-Daytona Beach-Melbourne, FL",0.7312563485870306
"El Paso, TX (Las Cruces, NM)",0.7299361688894721
"Boston, MA (Manchester, NH)",0.7060156985333804
"Oklahoma City, OK",0.7010011678450403
"Washington, DC (Hagerstown, MD)",0.6469767432145038
"Philadelphia, PA",0.6424669255318953
"San Antonio, TX",0.6356695694098662
"Houston, TX",0.5973458202323536
"Los Angeles, CA",0.5927043170427149
"San Diego, CA",0.5898099375150081
"Baltimore, MD",0.588650626355802
Puerto Rico,0.5768205221804515
"Tampa-St. Petersburg (Sarasota), FL",0.5657703004602679
"Miami-Ft. Lauderdale, FL",0.5644357035023262
"Cincinnati, OH",0.5594805704517305
"Sacramento-Stockton-Modesto, CA",0.5008720809868972
"Cleveland-Akron (Canton), OH",0.4884296880240518
"Harlingen-Weslaco-Brownsville-McAllen, TX",0.4686158607687426
"Seattle-Tacoma, WA",0.4582612664788124
"Ft. Myers-Naples, FL",0.45539776523823566
"Atlanta, GA",0.43267585992546187
"Chicago, IL",0.41961618058881117
"Charlotte, NC",0.4082544919014543
"Hartford & New Haven, CT",0.37993963595020275
"New York, NY",0.36610317176970725
"Phoenix (Prescott), AZ",0.3536111428757581
"West Palm Beach-Ft. Pierce, FL",0.3319929590716374
"Columbus, OH",0.31443602823688976
"Detroit, MI",0.3076745750663556
"Las Vegas, NV",0.27850095412949166
"Dallas-Ft. Worth, TX",0.1328144205346328
"Buffalo, NY",0.08868202614316147
"Minneapolis-St. Paul, MN",0.0192493790214873
"Providence, RI-New Bedford, MA",0.006444410020747794
