Month,Spend,Traffic
2025-02-01,0,14033153.0
2025-03-01,1719000,20486179.0
2025-04-01,2714000,16067517.0
2025-05-01,1147000,19830164.0
2025-06-01,1647000,16769711.0
2025-07-01,2677000,17482904.0
2025-08-01,3215000,23166072.0
2025-09-01,793000,16225483.0
2025-10-01,2268000,16697162.0
2025-11-01,4694000,23581653.0
2025-12-01,9998000,24595379.0
2026-01-01,3320000,19409166.0
2026-02-01,960000,15204005.0
2026-03-01,3648000,18601159.0
2026-04-01,3159000,19012165.0
2026-05-01,1797000,24213396.0
2026-06-01,2793000,19865374.0
2026-07-01,3593000,18544986.0
