Lag,Correlation
-12,0.06289978656169654
-11,-0.01735940615207017
-10,-0.26994324860888624
-9,-0.09702713074704998
-8,-0.046607988632099334
-7,0.17176557055724265
-6,-0.2992470235964114
-5,-0.09388250693092576
-4,0.33180958347770173
-3,-0.008270459320384465
-2,-0.22011272847577296
-1,0.2569832869052902
0,0.6291955755656207
1,0.15914734888773557
2,-0.2510548200416592
3,-0.2744077311211334
4,0.15503379136386353
5,0.388541099905752
6,-0.06381513374850156
7,-0.033860786693528766
8,-0.053522550885463975
9,-0.09048449404996221
10,-0.11742485880717199
11,-0.023147381318980694
12,0.018999832795098245
