Month,Treatment,Avg_Traffic,Group
2025-02-01,0,280874.96,Control
2025-02-01,1,779031.0,Treatment
2025-03-01,0,396611.44,Control
2025-03-01,1,1174543.6666666667,Treatment
2025-04-01,0,313333.2,Control
2025-04-01,1,914909.6666666666,Treatment
2025-05-01,0,391021.4,Control
2025-05-01,1,1117181.0,Treatment
2025-06-01,0,318828.08,Control
2025-06-01,1,977667.6666666666,Treatment
2025-07-01,0,337594.76,Control
2025-07-01,1,1004781.6666666666,Treatment
2025-08-01,0,444667.8,Control
2025-08-01,1,1338819.6666666667,Treatment
2025-09-01,0,312037.08,Control
2025-09-01,1,936061.7777777778,Treatment
2025-10-01,0,325535.96,Control
2025-10-01,1,950973.6666666666,Treatment
2025-11-01,0,470664.0,Control
2025-11-01,1,1312783.6666666667,Treatment
2025-12-01,0,490294.84,Control
2025-12-01,1,1370889.7777777778,Treatment
2026-01-01,0,391990.08,Control
2026-01-01,1,1067712.6666666667,Treatment
2026-02-01,0,314952.68,Control
2026-02-01,1,814465.3333333334,Treatment
2026-03-01,0,370517.76,Control
2026-03-01,1,1037579.4444444445,Treatment
2026-04-01,0,367744.0,Control
2026-04-01,1,1090951.6666666667,Treatment
2026-05-01,0,479333.32,Control
2026-05-01,1,1358895.888888889,Treatment
2026-06-01,0,378664.48,Control
2026-06-01,1,1155418.0,Treatment
2026-07-01,0,360379.44,Control
2026-07-01,1,1059500.0,Treatment
