DMA,Pre_Spend,Post_Spend,Spend_Increase,Treatment
"Atlanta, GA",95000.0,165428.57142857142,70428.57142857142,1
"Baltimore, MD",31363.636363636364,4142.857142857143,-27220.779220779223,0
"Boston, MA (Manchester, NH)",95363.63636363637,133285.7142857143,37922.07792207792,1
"Buffalo, NY",15363.636363636364,1142.857142857143,-14220.77922077922,0
"Charlotte, NC",26181.81818181818,4428.571428571428,-21753.246753246753,0
"Chicago, IL",196636.36363636365,234571.42857142858,37935.06493506493,1
"Cincinnati, OH",37090.90909090909,3714.285714285714,-33376.62337662337,0
"Cleveland-Akron (Canton), OH",25909.090909090908,3142.8571428571427,-22766.233766233767,0
"Columbus, OH",31818.18181818182,3428.5714285714284,-28389.610389610392,0
"Dallas-Ft. Worth, TX",188181.81818181818,203142.85714285713,14961.038961038954,1
"Detroit, MI",68636.36363636363,12285.714285714286,-56350.64935064934,0
"El Paso, TX (Las Cruces, NM)",26454.545454545456,3714.285714285714,-22740.259740259742,0
"Ft. Myers-Naples, FL",16363.636363636364,2857.1428571428573,-13506.493506493507,0
"Harlingen-Weslaco-Brownsville-McAllen, TX",42636.36363636364,7142.857142857143,-35493.506493506495,0
"Hartford & New Haven, CT",10818.181818181818,1857.142857142857,-8961.038961038961,0
"Houston, TX",146727.27272727274,198857.14285714287,52129.870129870134,1
"Las Vegas, NV",34727.27272727273,4714.285714285715,-30012.987012987014,0
"Los Angeles, CA",205272.72727272726,416142.85714285716,210870.1298701299,1
"Miami-Ft. Lauderdale, FL",175000.0,187714.2857142857,12714.28571428571,0
"Minneapolis-St. Paul, MN",86363.63636363637,5571.428571428572,-80792.2077922078,0
"New York, NY",452272.7272727273,618000.0,165727.2727272727,1
"Oklahoma City, OK",19000.0,2714.285714285714,-16285.714285714286,0
"Orlando-Daytona Beach-Melbourne, FL",71909.09090909091,14857.142857142857,-57051.94805194806,0
"Philadelphia, PA",164909.0909090909,183857.14285714287,18948.051948051958,1
"Phoenix (Prescott), AZ",61818.181818181816,10428.57142857143,-51389.61038961039,0
"Providence, RI-New Bedford, MA",9818.181818181818,1000.0,-8818.181818181818,0
Puerto Rico,108909.09090909091,105285.71428571429,-3623.376623376622,0
"Sacramento-Stockton-Modesto, CA",44090.90909090909,6714.285714285715,-37376.62337662337,0
"San Antonio, TX",52181.818181818184,7142.857142857143,-45038.96103896104,0
"San Diego, CA",34636.36363636364,4571.428571428572,-30064.935064935067,0
"Seattle-Tacoma, WA",23909.090909090908,4142.857142857143,-19766.233766233767,0
"Tampa-St. Petersburg (Sarasota), FL",80909.09090909091,14428.57142857143,-66480.51948051948,0
"Washington, DC (Hagerstown, MD)",90181.81818181818,164285.7142857143,74103.89610389611,1
"West Palm Beach-Ft. Pierce, FL",36090.90909090909,18142.85714285714,-17948.051948051947,0
