DMA,DMA_Key,Spend_Partial_R2,Spend_Beta,Spend_P_Value,Spend_Explanatory_Strength,Spend_Direction,Spend_Statistical_Evidence,Spend_Estimate_Stability,Influence_Severity,Spend_Relationship_Classification,Latest_Month,Latest_Spend,Recent_Average_Spend,Historical_Average_Spend,Total_Observed_Spend,Recent_Average_Traffic,Store_Count,Recent_Spend_Per_Store,Responsiveness_Score,Regression_Confidence_Score,Store_Count_Score,Traffic_Scale_Score,Market_Scale_Score,All_DMA_Opportunity_Score,All_DMA_Opportunity_Tier,All_DMA_Strategic_Action,All_DMA_Opportunity_Rank,All_DMA_Spend_Change_Lower,All_DMA_Spend_Change_Upper,All_DMA_Recommended_Incremental_Spend_Lower,All_DMA_Recommended_Incremental_Spend_Upper,All_DMA_Recommended_Total_Spend_Lower,All_DMA_Recommended_Total_Spend_Upper,BSTS_Relative_Lift,BSTS_Probability_Positive,Implied_Incremental_Comp,Performance_Score,Opportunity_Score,Evidence_Alignment,Opportunity_Tier,Strategic_Action,BSTS_Evidence_Available
"Seattle-Tacoma, WA",Seattle,0.4575847358050495,0.0374230603248398,0.0002099529369106,Strong,Positive,Strong,Stable,Low,Strong Positive Spend Relationship,2026-07-01,0,0.0,16222.222222222223,292000,332779.6666666667,13,0.0,91.5169471610099,100.0,36.76470588235294,41.17647058823529,38.970588235294116,80.92527328127798,High,Priority Test,1,0.1,0.2,0.0,0.0,0.0,0.0,,,,,,,,,False
"Ft. Myers-Naples, FL",Fort Myers,0.4944469136034639,0.0276136418341456,0.0034582121988606,Strong,Positive,Strong,Influence Sensitive,Moderate,Strong Positive Spend Relationship,2026-07-01,0,0.0,11111.111111111111,200000,252882.0,10,0.0,98.88938272069278,75.0,19.11764705882353,20.588235294117645,19.852941176470587,71.96345751842941,Moderate,Explore Incremental Test,2,0.05,0.1,0.0,0.0,0.0,0.0,,,,,,,,,False
"Baltimore, MD",Baltimore,0.4121001133315705,0.0350895163246034,0.0222098638648891,Strong,Positive,Strong,Influence Sensitive,Moderate,Strong Positive Spend Relationship,2026-07-01,0,0.0,20777.777777777777,374000,343605.3333333333,10,0.0,82.4200226663141,75.0,19.11764705882353,44.11764705882353,31.61764705882353,67.49342196454722,Moderate,Explore Incremental Test,3,0.05,0.1,0.0,0.0,0.0,0.0,,,,,,,,,False
"West Palm Beach-Ft. Pierce, FL",West Palm,0.308351276202343,0.0232105781729678,0.0093843963416384,Strong,Positive,Strong,Stable,Low,Strong Positive Spend Relationship,2026-07-01,0,0.0,29111.11111111111,524000,308270.3333333333,12,0.0,61.6702552404686,100.0,27.941176470588236,35.294117647058826,31.61764705882353,65.65602662291676,Moderate,Explore Incremental Test,4,0.05,0.1,0.0,0.0,0.0,0.0,,,,,,,,,False
"Tampa-St. Petersburg (Sarasota), FL",Tampa,0.317710027215605,0.0247055268533835,0.1579736146932396,Strong,Positive,Weak,Influence Sensitive,Moderate,Strong Apparent Association / Weak Statistical Evidence,2026-07-01,0,0.0,55055.555555555555,991000,555853.0,25,0.0,63.542005443121,58.333333333333336,69.11764705882352,64.70588235294117,66.91176470588235,62.82184362587504,Moderate,Explore Incremental Test,5,0.05,0.1,0.0,0.0,0.0,0.0,,,,,,,,,False
"San Antonio, TX",San Antonio,0.3337235684541135,0.0248018640686023,0.18018854378113,Strong,Positive,Weak,Influence Sensitive,Moderate,Strong Apparent Association / Weak Statistical Evidence,2026-07-01,0,0.0,34666.666666666664,624000,416589.0,17,0.0,66.74471369082269,58.333333333333336,52.94117647058824,55.88235294117647,54.411764705882355,61.1380623373408,Moderate,Explore Incremental Test,6,0.05,0.1,0.0,0.0,0.0,0.0,,,,,,,,,False
"New York, NY",New York,0.2885028908654407,0.0291090362812944,0.6115955668508385,Moderate,Positive,Weak,Highly Unstable,High,Moderate Apparent Association / Highly Unstable Estimate,2026-07-01,693000,532000.0,516722.22222222225,9301000,3183828.0,99,5373.737373737374,57.70057817308813,26.666666666666668,100.0,100.0,100.0,58.96526017788966,Moderate,Maintain / Monitor,7,0.0,0.05,0.0,26600.0,532000.0,558600.0,0.0535240715089235,0.813875,0.0507982438143453,78.39331095358634,65.68910423800233,Convergent Positive,Moderate,Test Increase,True
"El Paso, TX (Las Cruces, NM)",El Paso,0.3430950831887469,0.0239028748409783,0.008119267731807,Strong,Positive,Strong,Influence Sensitive,Moderate,Strong Positive Spend Relationship,2026-07-01,0,0.0,17611.11111111111,317000,299919.3333333333,9,0.0,68.61901663774937,75.0,10.294117647058822,29.411764705882355,19.852941176470587,58.341792781104864,Moderate,Explore Incremental Test,8,0.05,0.1,0.0,0.0,0.0,0.0,,,,,,,,,False
"Las Vegas, NV",Las Vegas,0.3013279119945428,0.0201284792043993,0.0145714093591994,Strong,Positive,Strong,Influence Sensitive,Moderate,Strong Positive Spend Relationship,2026-07-01,0,0.0,23055.555555555555,415000,257101.0,14,0.0,60.265582398908556,75.0,44.11764705882353,23.52941176470588,33.8235294117647,58.075394432450025,Moderate,Explore Incremental Test,9,0.05,0.1,0.0,0.0,0.0,0.0,,,,,,,,,False
"Harlingen-Weslaco-Brownsville-McAllen, TX",Harlingen/McAllen,0.2850836339045302,0.0264226926647491,0.0965869962174031,Moderate,Positive,Suggestive,Influence Sensitive,Moderate,Moderate Positive Spend Relationship / Suggestive Evidence,2026-07-01,0,0.0,28833.333333333332,519000,456344.3333333333,13,0.0,57.01672678090603,66.66666666666667,36.76470588235294,58.82352941176471,47.794117647058826,57.60605646317242,Moderate,Explore Incremental Test,10,0.05,0.1,0.0,0.0,0.0,0.0,,,,,,,,,False
