All_DMA_Opportunity_Rank,DMA,Spend_Partial_R2,Spend_Beta,Spend_P_Value,Spend_Explanatory_Strength,Spend_Statistical_Evidence,Spend_Estimate_Stability,Influence_Severity,Responsiveness_Score,Regression_Confidence_Score,Market_Scale_Score,All_DMA_Opportunity_Score,All_DMA_Opportunity_Tier,All_DMA_Strategic_Action,Recent_Average_Spend,Recent_Average_Traffic,Store_Count,All_DMA_Spend_Test_Range,All_DMA_Recommended_Incremental_Spend_Lower,All_DMA_Recommended_Incremental_Spend_Upper
1,"Seattle-Tacoma, WA",0.4575847358050495,0.0374230603248398,0.0002099529369106,Strong,Strong,Stable,Low,91.5169471610099,100.0,38.970588235294116,80.92527328127798,High,Priority Test,0.0,332779.6666666667,13,+10% to +20%,0.0,0.0
2,"Ft. Myers-Naples, FL",0.4944469136034639,0.0276136418341456,0.0034582121988606,Strong,Strong,Influence Sensitive,Moderate,98.88938272069278,75.0,19.852941176470587,71.96345751842941,Moderate,Explore Incremental Test,0.0,252882.0,10,+5% to +10%,0.0,0.0
3,"Baltimore, MD",0.4121001133315705,0.0350895163246034,0.0222098638648891,Strong,Strong,Influence Sensitive,Moderate,82.4200226663141,75.0,31.61764705882353,67.49342196454722,Moderate,Explore Incremental Test,0.0,343605.3333333333,10,+5% to +10%,0.0,0.0
4,"West Palm Beach-Ft. Pierce, FL",0.308351276202343,0.0232105781729678,0.0093843963416384,Strong,Strong,Stable,Low,61.6702552404686,100.0,31.61764705882353,65.65602662291676,Moderate,Explore Incremental Test,0.0,308270.3333333333,12,+5% to +10%,0.0,0.0
5,"Tampa-St. Petersburg (Sarasota), FL",0.317710027215605,0.0247055268533835,0.1579736146932396,Strong,Weak,Influence Sensitive,Moderate,63.542005443121,58.333333333333336,66.91176470588235,62.82184362587504,Moderate,Explore Incremental Test,0.0,555853.0,25,+5% to +10%,0.0,0.0
6,"San Antonio, TX",0.3337235684541135,0.0248018640686023,0.18018854378113,Strong,Weak,Influence Sensitive,Moderate,66.74471369082269,58.333333333333336,54.411764705882355,61.1380623373408,Moderate,Explore Incremental Test,0.0,416589.0,17,+5% to +10%,0.0,0.0
7,"New York, NY",0.2885028908654407,0.0291090362812944,0.6115955668508385,Moderate,Weak,Highly Unstable,High,57.70057817308813,26.666666666666668,100.0,58.96526017788966,Moderate,Maintain / Monitor,532000.0,3183828.0,99,+0% to +5%,0.0,26600.0
8,"El Paso, TX (Las Cruces, NM)",0.3430950831887469,0.0239028748409783,0.008119267731807,Strong,Strong,Influence Sensitive,Moderate,68.61901663774937,75.0,19.852941176470587,58.341792781104864,Moderate,Explore Incremental Test,0.0,299919.3333333333,9,+5% to +10%,0.0,0.0
9,"Las Vegas, NV",0.3013279119945428,0.0201284792043993,0.0145714093591994,Strong,Strong,Influence Sensitive,Moderate,60.265582398908556,75.0,33.8235294117647,58.075394432450025,Moderate,Explore Incremental Test,0.0,257101.0,14,+5% to +10%,0.0,0.0
10,"Harlingen-Weslaco-Brownsville-McAllen, TX",0.2850836339045302,0.0264226926647491,0.0965869962174031,Moderate,Suggestive,Influence Sensitive,Moderate,57.01672678090603,66.66666666666667,47.794117647058826,57.60605646317242,Moderate,Explore Incremental Test,0.0,456344.3333333333,13,+5% to +10%,0.0,0.0
11,"Boston, MA (Manchester, NH)",0.3570030407725719,0.0388938683426383,0.5788599760101604,Strong,Weak,Highly Unstable,High,71.40060815451437,26.666666666666668,66.1764705882353,56.674391316590295,Moderate,Maintain / Monitor,142666.66666666666,560168.0,24,+0% to +5%,0.0,7133.333333333333
