DMA_Key,Latest_Month,Latest_Spend,Recent_Average_Spend,Historical_Average_Spend,Total_Observed_Spend,Recent_Average_Traffic,Store_Count,Recent_Spend_Per_Store
Atlanta,2026-07-01,266000,184000.0,122388.88888888889,2203000,673035.6666666666,33,5575.757575757576
Baltimore,2026-07-01,0,0.0,20777.777777777777,374000,343605.3333333333,10,0.0
Boston,2026-07-01,184000,142666.66666666666,110111.11111111111,1982000,560168.0,24,5944.444444444444
Buffalo,2026-07-01,0,0.0,9833.333333333334,177000,55832.333333333336,5,0.0
Charlotte,2026-07-01,0,0.0,17722.222222222223,319000,356895.6666666667,15,0.0
Chicago,2026-07-01,385000,292333.3333333333,211388.88888888888,3805000,1126261.6666666667,47,6219.858156028368
Cincinnati,2026-07-01,0,0.0,24111.11111111111,434000,161416.66666666666,9,0.0
Cleveland,2026-07-01,0,0.0,17055.555555555555,307000,205620.0,13,0.0
Columbus,2026-07-01,0,0.0,20777.777777777777,374000,122155.33333333333,5,0.0
Dallas,2026-07-01,308000,236000.0,194000.0,3492000,953954.3333333334,33,7151.515151515152
Detroit,2026-07-01,0,0.0,46722.22222222222,841000,378148.0,21,0.0
El Paso,2026-07-01,0,0.0,17611.11111111111,317000,299919.3333333333,9,0.0
Fort Myers,2026-07-01,0,0.0,11111.111111111111,200000,252882.0,10,0.0
Harlingen/McAllen,2026-07-01,0,0.0,28833.333333333332,519000,456344.3333333333,13,0.0
Hartford,2026-07-01,0,0.0,7333.333333333333,132000,283851.6666666667,16,0.0
Houston,2026-07-01,259000,208000.0,167000.0,3006000,1011360.3333333334,46,4521.739130434783
Las Vegas,2026-07-01,0,0.0,23055.555555555555,415000,257101.0,14,0.0
Los Angeles,2026-07-01,676000,520666.6666666667,287277.77777777775,5171000,1648636.3333333333,65,8010.25641025641
Miami,2026-07-01,224000,183333.33333333334,179944.44444444444,3239000,1295907.3333333333,40,4583.333333333334
Minneapolis,2026-07-01,0,0.0,54944.444444444445,989000,330536.0,12,0.0
New York,2026-07-01,693000,532000.0,516722.22222222225,9301000,3183828.0,99,5373.737373737374
Oklahoma City,2026-07-01,0,0.0,12666.666666666666,228000,153278.66666666666,10,0.0
Orlando,2026-07-01,0,0.0,49722.22222222222,895000,659168.3333333334,25,0.0
Philadelphia,2026-07-01,234000,177333.33333333334,172277.77777777778,3101000,774429.0,42,4222.222222222223
Phoenix,2026-07-01,0,0.0,41833.333333333336,753000,492880.6666666667,23,0.0
Providence,2026-07-01,0,0.0,6388.888888888889,115000,304400.6666666667,13,0.0
Puerto Rico,2026-07-01,150000,83666.66666666667,107500.0,1935000,1471246.0,30,2788.888888888889
Sacramento,2026-07-01,0,0.0,29555.555555555555,532000,406839.0,18,0.0
San Antonio,2026-07-01,0,0.0,34666.666666666664,624000,416589.0,17,0.0
San Diego,2026-07-01,0,0.0,22944.444444444445,413000,251623.33333333334,10,0.0
Seattle,2026-07-01,0,0.0,16222.222222222223,292000,332779.6666666667,13,0.0
Tampa,2026-07-01,0,0.0,55055.555555555555,991000,555853.0,25,0.0
Washington DC,2026-07-01,214000,167666.66666666666,119000.0,2142000,789768.3333333334,26,6448.717948717948
West Palm,2026-07-01,0,0.0,29111.11111111111,524000,308270.3333333333,12,0.0
