DMA,DMA_Key,BSTS_Relative_Lift,BSTS_Probability_Positive,BSTS_Incremental_Traffic,Actual_Comp_Traffic,Implied_Counterfactual_Comp,Implied_Incremental_Comp,Spend_Partial_R2,Spend_Beta,Spend_P_Value,Spend_Explanatory_Strength,Influence_Severity,Spend_Estimate_Stability,Spend_Relationship_Classification,LOO_Sensitivity_Classification,LOO_Spend_Beta,LOO_Spend_Partial_R2,Latest_Month,Latest_Spend,Recent_Average_Spend,Historical_Average_Spend,Total_Observed_Spend,Recent_Average_Traffic,Store_Count,Recent_Spend_Per_Store,Opportunity_Input_Complete
"Atlanta, GA",Atlanta,-0.0360810884215403,0.270125,-184005.04522046543,0.0274566088689596,0.065916019000451,-0.0384594101314914,0.2364319086563598,0.0318522909020753,0.6460371105071581,Moderate,High,Highly Unstable,Moderate Apparent Association / Highly Unstable Estimate,Sensitive,0.100034906099575,0.2404439695870517,2026-07-01,266000,184000.0,122388.88888888889,2203000,673035.6666666666,33,5575.757575757576,True
"Boston, MA (Manchester, NH)",Boston,-0.0248417174400621,0.33775,-115122.84467884102,-0.0176295880181811,0.0073958551661459,-0.025025443184327,0.3570030407725719,0.0388938683426383,0.5788599760101604,Strong,High,Highly Unstable,Strong Apparent Association / Highly Unstable Estimate,Sensitive,0.1083428512500058,0.4130690471736348,2026-07-01,184000,142666.66666666666,110111.11111111111,1982000,560168.0,24,5944.444444444444,True
"Chicago, IL",Chicago,-0.0690535779168267,0.183375,-597896.8063014693,-0.0022101662139698,0.0718015667897209,-0.0740117330036908,0.1260418011733027,0.0276287922599905,0.2597049202297062,Low,Moderate,Influence Sensitive,Low Apparent Association / Weak Statistical Evidence,Sensitive,0.0064067316718034,0.0001965850393436,2026-07-01,385000,292333.3333333333,211388.88888888888,3805000,1126261.6666666667,47,6219.858156028368,True
"Dallas-Ft. Worth, TX",Dallas,0.0083268476520127,0.533,32589.78837979398,-0.0016452796530785,-0.0098897766416834,0.0082444969886048,0.100350243261127,0.0224513543118135,0.6990046574367152,Low,High,Highly Unstable,Low Apparent Association / Highly Unstable Estimate,Highly Sensitive,-0.0341530623729934,0.0094330050178439,2026-07-01,308000,236000.0,194000.0,3492000,953954.3333333334,33,7151.515151515152,True
"Houston, TX",Houston,-0.0699111916392851,0.12125,-532485.5808857178,-0.0440567366005655,0.027797834794172,-0.0718545713947376,0.1706168762393,0.0294847754775273,0.8593961445762412,Moderate,High,Highly Unstable,Moderate Apparent Association / Highly Unstable Estimate,Sensitive,0.1955032822497888,0.3631226494444449,2026-07-01,259000,208000.0,167000.0,3006000,1011360.3333333334,46,4521.739130434783,True
"Los Angeles, CA",Los Angeles,0.0695695642814378,0.919375,664229.6583259372,0.005697006684131,-0.0597180022042024,0.0654150088883335,0.1997117574723399,0.0272388727743037,0.7238913669016476,Moderate,High,Highly Unstable,Moderate Apparent Association / Highly Unstable Estimate,Sensitive,0.1037115560427966,0.3226992491619949,2026-07-01,676000,520666.6666666667,287277.77777777775,5171000,1648636.3333333333,65,8010.25641025641,True
"Miami-Ft. Lauderdale, FL",Miami,0.0642643079803688,0.8345,251763.6517771144,-0.0333005450242112,-0.091673517821646,0.0583729727974348,0.144778951205333,0.0234203763993324,0.6640335602997489,Low,High,Highly Unstable,Low Apparent Association / Highly Unstable Estimate,Sensitive,0.07633046232566,0.2049499444414426,2026-07-01,224000,183333.33333333334,179944.44444444444,3239000,1295907.3333333333,40,4583.333333333334,True
"New York, NY",New York,0.0535240715089235,0.813875,963299.090750296,-0.0001288926633752,-0.0509271364777206,0.0507982438143453,0.2885028908654407,0.0291090362812944,0.6115955668508385,Moderate,High,Highly Unstable,Moderate Apparent Association / Highly Unstable Estimate,Sensitive,0.0857902283095574,0.2710901870862115,2026-07-01,693000,532000.0,516722.22222222225,9301000,3183828.0,99,5373.737373737374,True
"Philadelphia, PA",Philadelphia,-0.1208360314103803,0.021,-698524.3873778891,-0.0066404032099601,0.1298911605574737,-0.1365315637674339,0.2257458914950442,0.0313163175041087,0.6466284516083058,Moderate,High,Highly Unstable,Moderate Apparent Association / Highly Unstable Estimate,Sensitive,0.0988708498624392,0.2960134982010089,2026-07-01,234000,177333.33333333334,172277.77777777778,3101000,774429.0,42,4222.222222222223,True
Puerto Rico,Puerto Rico,0.0972077425801982,0.917875,463814.892925768,0.0246444296856152,-0.0661345250115924,0.0907789546972076,0.0035614111305588,-0.0025025239612816,0.8774226976069048,Minimal,Moderate,Influence Sensitive,Little Evidence of Spend Explanatory Power,Sensitive,-0.0104748296669545,0.0641159888925312,2026-07-01,150000,83666.66666666667,107500.0,1935000,1471246.0,30,2788.888888888889,True
