Opportunity_Rank,DMA,BSTS_Relative_Lift,BSTS_Probability_Positive,Implied_Incremental_Comp,Spend_Partial_R2,Spend_Beta,Performance_Score,Responsiveness_Score,Confidence_Score,Market_Scale_Score,Opportunity_Score,Evidence_Alignment,Opportunity_Tier,Strategic_Action,Spend_Test_Range,Recent_Average_Spend,Recommended_Incremental_Spend_Lower,Recommended_Incremental_Spend_Upper,Management_Interpretation
1,"New York, NY",0.0535240715089235,0.813875,0.0507982438143453,0.2885028908654407,0.0291090362812944,78.39331095358634,57.70057817308813,39.44375,100.0,65.68910423800233,Convergent Positive,Moderate,Test Increase,+5% to +15%,532000.0,26600.0,79800.0,BSTS intervention performance and DMA spend-response evidence are directionally positive. The market is a candidate for controlled incremental investment testing.
2,"Los Angeles, CA",0.0695695642814378,0.919375,0.0654150088883335,0.1997117574723399,0.0272388727743037,87.32250222208337,39.94235149446798,44.71875,90.0,62.859143614965404,Convergent Positive,Moderate,Test Increase,+5% to +15%,520666.6666666667,26033.333333333336,78100.0,BSTS intervention performance and DMA spend-response evidence are directionally positive. The market is a candidate for controlled incremental investment testing.
3,"Miami-Ft. Lauderdale, FL",0.0642643079803688,0.8345,0.0583729727974348,0.144778951205333,0.0234203763993324,81.3182431993587,28.955790241066598,40.475,60.0,52.20096003212759,Convergent Positive,Low,Maintain / Optimize,-5% to +5%,183333.33333333334,-9166.666666666668,9166.666666666668,"BSTS and spend-response evidence are directionally positive, but overall evidence strength supports maintaining or optimizing investment rather than increasing it."
4,Puerto Rico,0.0972077425801982,0.917875,0.0907789546972076,0.0035614111305588,-0.0025025239612816,93.5884886743019,0.14245644522235199,53.39375,50.0,48.967721035857274,Positive BSTS / Spend Uninformative,Low,Hold & Diagnose,Hold,83666.66666666667,0.0,0.0,"Intervention-period performance is positive, but spend explains little DMA traffic variation. The positive outcome cannot be confidently attributed to spend magnitude."
5,"Boston, MA (Manchester, NH)",-0.0248417174400621,0.33775,-0.025025443184327,0.3570030407725719,0.0388938683426383,35.63113920391825,71.40060815451437,31.8625,10.0,41.57514920752979,Attribution Conflict,Diagnostic,Hold & Diagnose,Hold,142666.66666666666,0.0,0.0,Intervention-period performance and the DMA spend-response relationship point in different directions. The BSTS counterfactual gap should not be attributed directly to incremental spend without additional diagnosis.
6,"Atlanta, GA",-0.0360810884215403,0.270125,-0.0384594101314914,0.2364319086563598,0.0318522909020753,28.89139746712715,47.28638173127196,35.24375,27.5,35.78927125951973,Attribution Conflict,Diagnostic,Hold & Diagnose,Hold,184000.0,0.0,0.0,Intervention-period performance and the DMA spend-response relationship point in different directions. The BSTS counterfactual gap should not be attributed directly to incremental spend without additional diagnosis.
7,"Chicago, IL",-0.0690535779168267,0.183375,-0.0740117330036908,0.1260418011733027,0.0276287922599905,15.665816749077303,25.20836023466054,48.33125,70.0,34.845065595121355,Attribution Conflict,Diagnostic,Hold & Diagnose,Hold,292333.3333333333,0.0,0.0,Intervention-period performance and the DMA spend-response relationship point in different directions. The BSTS counterfactual gap should not be attributed directly to incremental spend without additional diagnosis.
8,"Houston, TX",-0.0699111916392851,0.12125,-0.0718545713947376,0.1706168762393,0.0294847754775273,13.098857151315602,34.12337524786,42.6875,60.0,33.838544719752676,Attribution Conflict,Diagnostic,Hold & Diagnose,Hold,208000.0,0.0,0.0,Intervention-period performance and the DMA spend-response relationship point in different directions. The BSTS counterfactual gap should not be attributed directly to incremental spend without additional diagnosis.
9,"Dallas-Ft. Worth, TX",0.0083268476520127,0.533,0.0082444969886048,0.100350243261127,0.0224513543118135,53.711124247151204,20.0700486522254,19.150000000000002,37.5,32.54685186981298,Convergent Positive,Low,Hold & Diagnose,Hold,236000.0,0.0,0.0,"BSTS and spend-response evidence are directionally positive, but overall evidence strength supports maintaining or optimizing investment rather than increasing it."
10,"Philadelphia, PA",-0.1208360314103803,0.021,-0.1365315637674339,0.2257458914950442,0.0313163175041087,1.05,45.14917829900884,47.7,45.0,32.53475348970265,Attribution Conflict,Diagnostic,Hold & Diagnose,Hold,177333.33333333334,0.0,0.0,Intervention-period performance and the DMA spend-response relationship point in different directions. The BSTS counterfactual gap should not be attributed directly to incremental spend without additional diagnosis.
