DMA,Observations,Months,First_Month,Last_Month,Mean_Traffic,Mean_Spend,Spend_SD,Spend_Min,Spend_Max,Positive_Spend_Months,Zero_Spend_Months,Spend_Varies,Sufficient_Observations,Eligible_For_Model
"Atlanta, GA",18,18,2025-02-01,2026-07-01,638548.3333333334,122388.88888888889,89101.48799766866,0,340000,17,1,True,True,True
"Baltimore, MD",18,18,2025-02-01,2026-07-01,318130.8333333333,20777.777777777777,24317.883894865994,0,85000,11,7,True,True,True
"Boston, MA (Manchester, NH)",18,18,2025-02-01,2026-07-01,523084.22222222225,110111.11111111111,85640.07369346562,0,367000,17,1,True,True,True
"Buffalo, NY",18,18,2025-02-01,2026-07-01,56202.666666666664,9833.333333333334,12631.659571466125,0,48000,11,7,True,True,True
"Charlotte, NC",18,18,2025-02-01,2026-07-01,292690.8333333333,17722.222222222223,23026.34183496488,0,86000,11,7,True,True,True
"Chicago, IL",18,18,2025-02-01,2026-07-01,1018357.2222222222,211388.88888888888,149148.22429535497,0,569000,17,1,True,True,True
"Cincinnati, OH",18,18,2025-02-01,2026-07-01,158989.05555555556,24111.11111111111,31025.395459182997,0,115000,11,7,True,True,True
"Cleveland-Akron (Canton), OH",18,18,2025-02-01,2026-07-01,190302.61111111112,17055.555555555555,23861.049289639683,0,92000,11,7,True,True,True
"Columbus, OH",18,18,2025-02-01,2026-07-01,124060.27777777778,20777.777777777777,26391.967484680223,0,97000,11,7,True,True,True
"Dallas-Ft. Worth, TX",18,18,2025-02-01,2026-07-01,871495.8333333334,194000.0,153082.06180692374,0,627000,17,1,True,True,True
"Detroit, MI",18,18,2025-02-01,2026-07-01,337578.1666666667,46722.22222222222,65824.90638545257,0,264000,11,7,True,True,True
"El Paso, TX (Las Cruces, NM)",18,18,2025-02-01,2026-07-01,312863.3333333333,17611.11111111111,22609.573424934766,0,86000,10,8,True,True,True
"Ft. Myers-Naples, FL",18,18,2025-02-01,2026-07-01,220286.44444444444,11111.111111111111,14220.48600513436,0,52000,10,8,True,True,True
"Harlingen-Weslaco-Brownsville-McAllen, TX",18,18,2025-02-01,2026-07-01,412956.72222222225,28833.333333333332,40733.35098359748,0,163000,11,7,True,True,True
"Hartford & New Haven, CT",18,18,2025-02-01,2026-07-01,259925.38888888888,7333.333333333333,10255.558033975298,0,40000,10,8,True,True,True
"Houston, TX",18,18,2025-02-01,2026-07-01,986533.3888888889,167000.0,130557.17701677007,0,575000,17,1,True,True,True
"Las Vegas, NV",18,18,2025-02-01,2026-07-01,261823.27777777778,23055.555555555555,30260.578553277606,0,114000,11,7,True,True,True
"Los Angeles, CA",18,18,2025-02-01,2026-07-01,1426174.9444444445,287277.77777777775,244772.3565600244,0,844000,17,1,True,True,True
"Miami-Ft. Lauderdale, FL",18,18,2025-02-01,2026-07-01,1155267.0,179944.44444444444,147982.30109681527,0,635000,17,1,True,True,True
"Minneapolis-St. Paul, MN",18,18,2025-02-01,2026-07-01,273695.94444444444,54944.444444444445,68634.1299270973,0,230000,11,7,True,True,True
"New York, NY",18,18,2025-02-01,2026-07-01,2950781.5,516722.22222222225,449999.19026797154,0,1825000,17,1,True,True,True
"Oklahoma City, OK",18,18,2025-02-01,2026-07-01,156046.83333333334,12666.666666666666,15415.805487340887,0,57000,11,7,True,True,True
"Orlando-Daytona Beach-Melbourne, FL",18,18,2025-02-01,2026-07-01,666728.2777777778,49722.22222222222,70404.54994952225,0,280000,11,7,True,True,True
"Philadelphia, PA",18,18,2025-02-01,2026-07-01,721968.0555555555,172277.77777777778,166495.6475515044,0,698000,17,1,True,True,True
"Phoenix (Prescott), AZ",18,18,2025-02-01,2026-07-01,419486.1111111111,41833.333333333336,53589.123128178355,0,194000,11,7,True,True,True
"Providence, RI-New Bedford, MA",18,18,2025-02-01,2026-07-01,237196.5,6388.888888888889,8603.274950231515,0,27000,8,10,True,True,True
Puerto Rico,18,18,2025-02-01,2026-07-01,1337477.7777777778,107500.0,117029.5337284819,0,474000,15,3,True,True,True
"Sacramento-Stockton-Modesto, CA",18,18,2025-02-01,2026-07-01,370599.5,29555.555555555555,38728.652141948165,0,150000,11,7,True,True,True
"San Antonio, TX",18,18,2025-02-01,2026-07-01,409793.3888888889,34666.666666666664,45871.944520781406,0,180000,11,7,True,True,True
"San Diego, CA",18,18,2025-02-01,2026-07-01,250423.77777777778,22944.444444444445,29280.53403205984,0,91000,11,7,True,True,True
"Seattle-Tacoma, WA",18,18,2025-02-01,2026-07-01,324387.0,16222.222222222223,20870.907293211527,0,78000,11,7,True,True,True
"Tampa-St. Petersburg (Sarasota), FL",18,18,2025-02-01,2026-07-01,550907.7777777778,55055.555555555555,79140.58393860757,0,309000,11,7,True,True,True
"Washington, DC (Hagerstown, MD)",18,18,2025-02-01,2026-07-01,594139.6111111111,119000.0,87918.41137568132,-6000,315000,16,1,True,True,True
"West Palm Beach-Ft. Pierce, FL",18,18,2025-02-01,2026-07-01,270298.94444444444,29111.11111111111,38735.7395223051,0,127000,11,7,True,True,True
