DMA,Observations,Reduced_R2,Full_R2,Delta_R2,Spend_Partial_R2,Residual_Spend_Traffic_Correlation,Spend_Beta,Spend_P_Value,Spend_CI_Lower_95,Spend_CI_Upper_95,Spend_Explanatory_Strength,Spend_Direction,Spend_Statistical_Evidence,Influence_Severity,Spend_Estimate_Stability,Spend_Relationship_Classification,Removed_Month,Removed_Cooks_D,LOO_Spend_Beta,LOO_Spend_Partial_R2,LOO_Spend_P_Value,LOO_Residual_Correlation,Spend_Beta_Direction_Changed,LOO_Sensitivity_Classification
"Boston, MA (Manchester, NH)",18,0.11696776230761585,0.43221295626400547,0.3152451939563896,0.35700304077257194,0.5974973144479991,0.03889386834263836,0.5788599760101604,-0.09844598168625063,0.17623371837152735,Strong,Positive,Weak,High,Highly Unstable,Strong Apparent Association / Highly Unstable Estimate,2025-02-01,6.6855551412452545,0.10834285125000587,0.41306904717363485,0.007954293452869457,0.6427044788809468,False,Sensitive
"New York, NY",18,0.17134549530562548,0.4104147154386225,0.23906922013299703,0.28850289086544073,0.5371246511429539,0.02910903628129441,0.6115955668508385,-0.08324420562204483,0.14146227818463364,Moderate,Positive,Weak,High,Highly Unstable,Moderate Apparent Association / Highly Unstable Estimate,2025-02-01,5.740316013713646,0.08579022830955742,0.2710901870862115,0.0459639729678269,0.5206632184879317,False,Sensitive
"Atlanta, GA",18,0.11135729993827703,0.3214607896274114,0.2101034896891344,0.23643190865635985,0.486242643806941,0.031852290902075364,0.6460371105071581,-0.10407807991148368,0.1677826617156344,Moderate,Positive,Weak,High,Highly Unstable,Moderate Apparent Association / Highly Unstable Estimate,2025-02-01,5.296716654394238,0.100034906099575,0.24044396958705178,0.02455373633750655,0.4903508637568093,False,Sensitive
"Philadelphia, PA",18,0.16625203880132333,0.3544672155842943,0.18821517678297095,0.2257458914950442,0.47512723716394606,0.03131631750410879,0.6466284516083058,-0.10256680887773859,0.16519944388595617,Moderate,Positive,Weak,High,Highly Unstable,Moderate Apparent Association / Highly Unstable Estimate,2025-02-01,5.115817247531405,0.09887084986243924,0.2960134982010089,0.14492811939158384,0.5440712253014383,False,Sensitive
"Washington, DC (Hagerstown, MD)",18,0.5114074553715917,0.6107731393960838,0.09936568402449208,0.20337126531487132,0.4509670335122841,0.024046760205534867,0.15406590180467267,-0.009020143393499575,0.05711366380456931,Moderate,Positive,Weak,Moderate,Influence Sensitive,Moderate Apparent Association / Weak Statistical Evidence,2025-10-01,0.3270835146075863,0.03724768039062874,0.25671168730525046,0.6657162315536198,0.5066672352789823,False,Sensitive
"Los Angeles, CA",18,0.20898561077603395,0.36696048463386177,0.15797487385782782,0.19971175747233996,0.446891214360213,0.027238872774303702,0.7238913669016476,-0.12388713497774811,0.17836488052635552,Moderate,Positive,Weak,High,Highly Unstable,Moderate Apparent Association / Highly Unstable Estimate,2025-02-01,7.375202766798918,0.1037115560427966,0.32269924916199494,0.014709823188529278,0.5680662365974583,False,Sensitive
"Houston, TX",18,0.027572688983441784,0.1934851991588693,0.16591251017542752,0.17061687623930008,0.4130579574821254,0.02948477547752737,0.8593961445762412,-0.2967439228356247,0.3557134737906794,Moderate,Positive,Weak,High,Highly Unstable,Moderate Apparent Association / Highly Unstable Estimate,2025-02-01,23.99901944079684,0.1955032822497888,0.3631226494444449,0.025950051341424845,0.6025965893070128,False,Sensitive
"Miami-Ft. Lauderdale, FL",18,0.13626281335806512,0.26131377735712946,0.12505096399906435,0.14477895120533305,0.38049829330146556,0.023420376399332477,0.6640335602997489,-0.08226164620995104,0.12910239900861598,Low,Positive,Weak,High,Highly Unstable,Low Apparent Association / Highly Unstable Estimate,2025-02-01,3.266189687308089,0.07633046232566008,0.20494994444144266,0.04845404643993781,0.45271397641495253,False,Sensitive
"Chicago, IL",18,0.20460397569689381,0.3048571232461412,0.10025314754924741,0.12604180117330277,0.355023662835732,0.027628792259990598,0.25970492022970626,-0.020416610836649425,0.07567419535663061,Low,Positive,Weak,Moderate,Influence Sensitive,Low Apparent Association / Weak Statistical Evidence,2025-02-01,0.3113308545802341,0.006406731671803461,0.00019658503934366563,0.978784788444798,0.014020878693791625,False,Sensitive
"Dallas-Ft. Worth, TX",18,0.14128082793004404,0.2274535057402578,0.08617267781021376,0.10035024326112707,0.3167810651871766,0.022451354311813554,0.6990046574367152,-0.09135235557495755,0.13625506419858466,Low,Positive,Weak,High,Highly Unstable,Low Apparent Association / Highly Unstable Estimate,2025-02-01,2.602493759654742,-0.03415306237299341,0.009433005017843964,0.8345656461623088,-0.09712365838372929,True,Highly Sensitive
Puerto Rico,18,0.38381108921718077,0.38600559126256984,0.0021945020453890685,0.003561411130558888,-0.05967755968999641,-0.002502523961281644,0.8774226976069048,-0.03430325856947423,0.02929821064691094,Minimal,Negative,Weak,Moderate,Influence Sensitive,Little Evidence of Spend Explanatory Power,2025-02-01,0.3556173679642946,-0.010474829666954559,0.06411598889253121,0.44356873497595894,-0.2532113522189109,False,Sensitive
