DMA,Model_Status,Observations,First_Month,Last_Month,Positive_Spend_Months,Zero_Spend_Months,Mean_Traffic,Mean_Spend,Reduced_R2,Full_R2,Delta_R2,Spend_Partial_R2,Residual_Spend_Traffic_Correlation,Residual_Correlation_Squared,Partial_R2_Check_Difference,Spend_Beta,Spend_P_Value,Spend_CI_Lower_95,Spend_CI_Upper_95,Reduced_SSE,Full_SSE,Reduced_Adjusted_R2,Full_Adjusted_R2,Max_Cooks_D,Max_Leverage,Log_Spend_SD,Unique_Log_Spend_Values,Spend_Min,Spend_Max,Cooks_D_Threshold,Max_Cooks_Month,Max_Cooks_Traffic,Max_Cooks_Spend,Max_Cooks_Log_Spend,High_Influence_Observations,High_Influence_Months,Spend_Explanatory_Strength,Spend_Direction,Spend_Statistical_Evidence,Spend_Estimate_Stability,Influence_Severity,Spend_Relationship_Classification
"Ft. Myers-Naples, FL",Success,18,2025-02-01,2026-07-01,10,8,220286.44444444444,11111.111111111111,0.5046934235689859,0.7495962315727991,0.24490280800381314,0.4944469136034639,0.7031691927292237,0.4944469136034682,-4.3298697960381105e-15,0.027613641834145664,0.0034582121988606415,0.009102691575597024,0.0461245920926943,0.3972538247077534,0.20083289716383326,0.3985563000480544,0.6725489182105835,0.25179669524468407,0.5957577136423481,4.9654809720832995,10,0,52000,0.2222222222222222,2025-02-01,162586.0,0,0.0,1,2025-02,Strong,Positive,Strong,Influence Sensitive,Moderate,Strong Positive Spend Relationship
"Seattle-Tacoma, WA",Success,18,2025-02-01,2026-07-01,11,7,324387.0,16222.222222222223,0.1443574198541988,0.5358864038337663,0.3915289839795675,0.45758473580504955,0.6764500985328105,0.457584735805049,5.551115123125783e-16,0.03742306032483986,0.00020995293691061402,0.017635306890721143,0.057210813758958576,0.5856355718015199,0.3176576734006823,-0.03899456160561554,0.3930822203980021,0.19816060654543272,0.7600043011769702,4.993769028958594,10,0,78000,0.2222222222222222,2026-02-01,206642.0,0,0.0,0,,Strong,Positive,Strong,Stable,Low,Strong Positive Spend Relationship
"Baltimore, MD",Success,18,2025-02-01,2026-07-01,11,7,318130.8333333333,20777.777777777777,0.13297846543430336,0.4902781380897391,0.3572996726554357,0.41210011333157054,0.6419502420994733,0.4121001133315723,-1.7763568394002505e-15,0.03508951632460344,0.022209863864889143,0.005014561857024168,0.06516447079218271,0.567807591335743,0.3338140185957572,-0.05281186340120292,0.33344064211735114,0.31985362907884246,0.7705680271513875,5.139513200980177,11,0,85000,0.2222222222222222,2026-01-01,297907.0,29000,10.275085591132715,1,2026-01,Strong,Positive,Strong,Influence Sensitive,Moderate,Strong Positive Spend Relationship
"Boston, MA (Manchester, NH)",Success,18,2025-02-01,2026-07-01,17,1,523084.22222222225,110111.11111111111,0.11696776230761585,0.43221295626400547,0.3152451939563896,0.35700304077257194,0.5974973144479991,0.35700304077257117,7.771561172376096e-16,0.03889386834263836,0.5788599760101604,-0.09844598168625063,0.17623371837152735,0.4280959151308316,0.27526437168680784,-0.07225343148360919,0.257509250499084,6.6855551412452545,0.9120563377611844,2.848669721926637,18,0,367000,0.2222222222222222,2025-02-01,374008.0,0,0.0,2,"2025-02, 2026-02",Strong,Positive,Weak,Highly Unstable,High,Strong Apparent Association / Highly Unstable Estimate
"El Paso, TX (Las Cruces, NM)",Success,18,2025-02-01,2026-07-01,10,8,312863.3333333333,17611.11111111111,0.16438605981088728,0.4510810941337473,0.28669503432286003,0.34309508318874693,0.585743188768548,0.3430950831887469,5.551115123125783e-17,0.02390287484097836,0.00811926773180708,0.006204520202114445,0.04160122947984228,0.4711512104954989,0.3095015467360669,-0.014674070229636849,0.2821829692518234,0.23463477290688198,0.6086582660935917,5.230575770968688,11,0,86000,0.2222222222222222,2026-01-01,309182.0,26000,10.165890277802454,1,2026-01,Strong,Positive,Strong,Influence Sensitive,Moderate,Strong Positive Spend Relationship
"San Antonio, TX",Success,18,2025-02-01,2026-07-01,11,7,409793.3888888889,34666.666666666664,0.24313541138244754,0.49571896273245186,0.2525835513500043,0.3337235684541135,0.5776881238645266,0.33372356845411666,-3.164135620181696e-15,0.02480186406860238,0.18018854378113003,-0.011470092930562642,0.0610738210677674,0.397091873529615,0.26457295649118234,0.08095014239297205,0.3405555666501293,0.9318556814739897,0.7685092999317946,5.372225587373275,11,0,180000,0.2222222222222222,2025-02-01,318753.0,0,0.0,1,2025-02,Strong,Positive,Weak,Influence Sensitive,Moderate,Strong Apparent Association / Weak Statistical Evidence
"Tampa-St. Petersburg (Sarasota), FL",Success,18,2025-02-01,2026-07-01,11,7,550907.7777777778,55055.555555555555,0.19517260453771257,0.45087433825390033,0.25570173371618776,0.317710027215605,0.5636577216854293,0.3177100272156088,-3.83026943495679e-15,0.02470552685338359,0.15797361469323967,-0.009589584838750637,0.05900063854551782,0.4649365376128244,0.3172215375943248,0.022709591224365333,0.2819125961781773,0.7684641618910121,0.7495487692475793,5.5422899295582315,12,0,309000,0.2222222222222222,2025-02-01,480001.0,0,0.0,1,2025-02,Strong,Positive,Weak,Influence Sensitive,Moderate,Strong Apparent Association / Weak Statistical Evidence
"Oklahoma City, OK",Success,18,2025-02-01,2026-07-01,11,7,156046.83333333334,12666.666666666666,0.4819643818461098,0.6461934912889647,0.16422910944285496,0.31702281404532345,0.5630477901966444,0.3170228140453245,-1.0547118733938987e-15,0.03649115868402508,0.0797126218020296,-0.004323241489451471,0.07730555885750164,0.7378487943696084,0.5039338932386059,0.3709567493845619,0.5373299501471078,0.27141070283983815,0.7698799897238701,4.886837400567202,11,0,57000,0.2222222222222222,2026-01-01,174950.0,19000,9.852246888342531,2,"2025-02, 2026-01",Strong,Positive,Suggestive,Influence Sensitive,Moderate,Strong Positive Spend Relationship / Suggestive Evidence
"West Palm Beach-Ft. Pierce, FL",Success,18,2025-02-01,2026-07-01,11,7,270298.94444444444,29111.11111111111,0.42314593532806066,0.601019622352162,0.17787368702410133,0.308351276202343,0.5552938647260107,0.3083512762023491,-6.106226635438361e-15,0.023210578172967872,0.009384396341638485,0.005698362863879959,0.040722793482055784,0.37478140433413376,0.2592170800107973,0.29953435004121653,0.4782564292297503,0.17934553752992202,0.752288635407151,5.273253561174162,12,0,127000,0.2222222222222222,2026-05-01,375326.0,0,0.0,0,,Strong,Positive,Strong,Stable,Low,Strong Positive Spend Relationship
"Orlando-Daytona Beach-Melbourne, FL",Success,18,2025-02-01,2026-07-01,11,7,666728.2777777778,49722.22222222222,0.26408589826037177,0.48961965235028826,0.2255337540899165,0.3064674987974506,0.5535950675335297,0.30646749879745333,-2.7200464103316335e-15,0.0253033588736625,0.2637800925058901,-0.01907571890651341,0.06968243665383841,0.4833995019634824,0.33525326567680064,0.10639001931616576,0.3325795453811462,1.3423648342428456,0.7599121690523529,5.529642635686367,12,0,280000,0.2222222222222222,2025-02-01,560646.0,0,0.0,1,2025-02,Strong,Positive,Weak,Highly Unstable,High,Strong Apparent Association / Highly Unstable Estimate
"Las Vegas, NV",Success,18,2025-02-01,2026-07-01,11,7,261823.27777777778,23055.555555555555,0.23416773767385812,0.4649343742186516,0.23076663654479346,0.30132791199454284,0.5489334312961283,0.3013279119945412,1.6653345369377348e-15,0.020128479204399308,0.014571409359199467,0.003978923933879219,0.036278034474919396,0.2771061865491111,0.1936063579554972,0.07006082431825633,0.3002987970551597,0.24030667147594278,0.7535479628292787,5.156991012358443,12,0,114000,0.2222222222222222,2026-01-01,232199.0,33000,10.404293143019792,1,2026-01,Strong,Positive,Strong,Influence Sensitive,Moderate,Strong Positive Spend Relationship
"New York, NY",Success,18,2025-02-01,2026-07-01,17,1,2950781.5,516722.22222222225,0.17134549530562548,0.4104147154386225,0.23906922013299703,0.28850289086544073,0.5371246511429539,0.28850289086543995,7.771561172376096e-16,0.02910903628129441,0.6115955668508385,-0.08324420562204483,0.14146227818463364,0.3714357456671706,0.26427545927143126,-0.006223327128883183,0.22900385865050632,5.740316013713646,0.9358502487489708,3.1715609888214233,18,0,1825000,0.2222222222222222,2025-02-01,2103418.0,0,0.0,2,"2025-02, 2026-02",Moderate,Positive,Weak,Highly Unstable,High,Moderate Apparent Association / Highly Unstable Estimate
"Harlingen-Weslaco-Brownsville-McAllen, TX",Success,18,2025-02-01,2026-07-01,11,7,412956.72222222225,28833.333333333332,0.15670151992280723,0.3971121150893805,0.24041059516657326,0.2850836339045302,0.5339322371842059,0.2850836339045311,-9.43689570931383e-16,0.026422692664749198,0.0965869962174031,-0.004744009814852311,0.05758939514435071,0.535925669433468,0.38314203208865694,-0.024005297236591172,0.2116081505014975,0.4126860474488009,0.7458352426394383,5.255507431729151,12,0,163000,0.2222222222222222,2025-02-01,311106.0,0,0.0,1,2025-02,Moderate,Positive,Suggestive,Influence Sensitive,Moderate,Moderate Positive Spend Relationship / Suggestive Evidence
"Cleveland-Akron (Canton), OH",Success,18,2025-02-01,2026-07-01,11,7,190302.61111111112,17055.555555555555,0.2190808437101862,0.4289917472236262,0.20991090351344,0.2687997878176498,0.5184590512447932,0.26879978781765107,-1.27675647831893e-15,0.02846186751824653,0.08044385817834337,-0.0034491839439918168,0.06037291898048488,0.5671350824353167,0.4146892926127583,0.05174102450522622,0.2532969002155112,0.48813288315346215,0.7657547798722887,4.991894109620591,11,0,92000,0.2222222222222222,2026-01-01,160020.0,22000,9.99884318585288,1,2026-01,Moderate,Positive,Suggestive,Influence Sensitive,Moderate,Moderate Positive Spend Relationship / Suggestive Evidence
"Columbus, OH",Success,18,2025-02-01,2026-07-01,11,7,124060.27777777778,20777.777777777777,0.289097316568672,0.47807539960137113,0.18897808303269914,0.2658283439310636,0.515585438051798,0.26582834393106447,-8.881784197001252e-16,0.032597053918869884,0.010787649228068725,0.007537642598335514,0.05765646523940425,0.7440633293169802,0.5462702067048137,0.13676102726195893,0.3174832148633314,0.21781776888862525,0.7788889686316258,5.116793363886548,12,0,97000,0.2222222222222222,2025-08-01,214165.0,40000,10.596659732783579,0,,Moderate,Positive,Strong,Stable,Low,Moderate Positive Spend Relationship
"San Diego, CA",Success,18,2025-02-01,2026-07-01,11,7,250423.77777777778,22944.444444444445,0.21228931470131718,0.4196548993451019,0.20736558464378474,0.2632509479862599,0.5130798651148363,0.2632509479862586,1.3322676295501878e-15,0.023669650199169945,0.18947757216069527,-0.011686448537360374,0.05902574893570026,0.4250335612070667,0.31314307329333035,0.04349416785159954,0.24108717606667174,0.5000844584171433,0.7532074406188419,5.148013945839716,11,0,91000,0.2222222222222222,2025-02-01,208638.0,0,0.0,2,"2025-02, 2026-01",Moderate,Positive,Weak,Influence Sensitive,Moderate,Moderate Apparent Association / Weak Statistical Evidence
"Cincinnati, OH",Success,18,2025-02-01,2026-07-01,11,7,158989.05555555556,24111.11111111111,0.21709908368844844,0.40943758731472313,0.1923385036262747,0.24567413272733288,0.4956552559262673,0.24567413272733354,-6.661338147750939e-16,0.02614790413788648,0.04963094424729717,4.2184182243998336e-05,0.05225362409352896,0.532983226923242,0.40204303489065923,0.04933460162168746,0.2277260757192533,0.34287024028905744,0.7804127538785874,5.184260355257265,11,0,115000,0.2222222222222222,2026-01-01,135215.0,26000,10.165890277802454,1,2026-01,Moderate,Positive,Strong,Influence Sensitive,Moderate,Moderate Positive Spend Relationship
"Charlotte, NC",Success,18,2025-02-01,2026-07-01,11,7,292690.8333333333,17722.222222222223,0.42897292328216974,0.5662235064339723,0.1372505831518026,0.240357399408617,0.49026258210128515,0.24035739940861936,-2.3592239273284576e-15,0.027086948217813656,0.2496332543634101,-0.019028035547836428,0.07320193198346374,0.598384110736229,0.4545580620322311,0.3066099782712062,0.43275381610596386,0.6067622568426969,0.7562653046255132,5.031173331215817,10,0,86000,0.2222222222222222,2026-01-01,269006.0,31000,10.34177474101152,3,"2025-02, 2025-12, 2026-01",Moderate,Positive,Weak,Influence Sensitive,Moderate,Moderate Apparent Association / Weak Statistical Evidence
"Phoenix (Prescott), AZ",Success,18,2025-02-01,2026-07-01,11,7,419486.1111111111,41833.333333333336,0.3414488755739701,0.4979469961938564,0.15649812061988633,0.23764004769756433,0.48748338197067,0.23764004769756214,2.192690473634684e-15,0.02416944505748292,0.16661508252555057,-0.01007905864725843,0.05841794876222427,0.5450565027235172,0.415529249418433,0.20033077748267802,0.34346914886888913,0.3971158942748752,0.7566292733950036,5.45571789187088,12,0,194000,0.2222222222222222,2025-12-01,655833.0,194000,12.175618592671356,2,"2025-02, 2025-12",Moderate,Positive,Weak,Influence Sensitive,Moderate,Moderate Apparent Association / Weak Statistical Evidence
"Atlanta, GA",Success,18,2025-02-01,2026-07-01,17,1,638548.3333333334,122388.88888888889,0.11135729993827703,0.3214607896274114,0.2101034896891344,0.23643190865635985,0.486242643806941,0.23643190865636368,-3.83026943495679e-15,0.031852290902075364,0.6460371105071581,-0.10407807991148368,0.1677826617156344,0.4130021795461012,0.31535528595677986,-0.07906613578923505,0.11267949412815337,5.296716654394238,0.9361172891031609,2.84490918089227,18,0,340000,0.2222222222222222,2025-02-01,472473.0,0,0.0,3,"2025-02, 2025-04, 2026-05",Moderate,Positive,Weak,Highly Unstable,High,Moderate Apparent Association / Highly Unstable Estimate
"Philadelphia, PA",Success,18,2025-02-01,2026-07-01,17,1,721968.0555555555,172277.77777777778,0.16625203880132333,0.3544672155842943,0.18821517678297095,0.2257458914950442,0.47512723716394606,0.22574589149504465,-4.440892098500626e-16,0.03131631750410879,0.6466284516083058,-0.10256680887773859,0.16519944388595617,0.46938814404475826,0.3634256990101701,-0.012408238598393018,0.1558417434563848,5.115817247531405,0.9152904248350988,2.935833191862527,18,0,698000,0.2222222222222222,2025-02-01,527695.0,0,0.0,1,2025-02,Moderate,Positive,Weak,Highly Unstable,High,Moderate Apparent Association / Highly Unstable Estimate
"Buffalo, NY",Success,18,2025-02-01,2026-07-01,11,7,56202.666666666664,9833.333333333334,0.5939210015476083,0.6765639388879613,0.082642937340353,0.2035144335346414,0.45112574027053515,0.20351443353463833,3.0808688933348094e-15,0.01826072793810285,0.06649114910399585,-0.0012425172884640255,0.03776397316466973,0.2645546348713182,0.21071394821651798,0.5069040733078101,0.5770451508534878,0.24527570056094386,0.7872764596075681,4.752043644513704,12,0,48000,0.2222222222222222,2025-08-01,77257.0,15000,9.61587214452889,1,2025-08,Moderate,Positive,Suggestive,Influence Sensitive,Moderate,Moderate Positive Spend Relationship / Suggestive Evidence
"Washington, DC (Hagerstown, MD)",Success,18,2025-02-01,2026-07-01,16,1,594139.6111111111,119000.0,0.5114074553715917,0.6107731393960838,0.09936568402449208,0.20337126531487132,0.4509670335122841,0.2033712653148696,1.7208456881689926e-15,0.024046760205534867,0.15406590180467267,-0.009020143393499575,0.05711366380456931,0.5254396391071224,0.4185803148553176,0.4067090529512185,0.4910110284410326,0.3270835146075863,0.6040281241748702,3.8229246971430504,17,-6000,315000,0.2222222222222222,2025-10-01,544461.0,-6000,0.0,1,2025-10,Moderate,Positive,Weak,Influence Sensitive,Moderate,Moderate Apparent Association / Weak Statistical Evidence
"Sacramento-Stockton-Modesto, CA",Success,18,2025-02-01,2026-07-01,11,7,370599.5,29555.555555555555,0.09205299150993318,0.27399514352312193,0.18194215201318875,0.2003885142104958,0.4476477568473823,0.20038851421049308,2.7200464103316335e-15,0.020589609151374116,0.23160160851516387,-0.013145075675839515,0.05432429397858775,0.44055902556514487,0.35227605701012166,-0.1025070817379381,0.050609033837928696,0.44931152886634235,0.764308323485456,5.294155004240853,12,0,150000,0.2222222222222222,2025-02-01,290692.0,0,0.0,1,2025-02,Moderate,Positive,Weak,Influence Sensitive,Moderate,Moderate Apparent Association / Weak Statistical Evidence
"Los Angeles, CA",Success,18,2025-02-01,2026-07-01,17,1,1426174.9444444445,287277.77777777775,0.20898561077603395,0.36696048463386177,0.15797487385782782,0.19971175747233996,0.446891214360213,0.19971175747234585,-5.88418203051333e-15,0.027238872774303702,0.7238913669016476,-0.12388713497774811,0.17836488052635552,0.39903749694420104,0.31934501713211116,0.03948252737089841,0.17217909529043463,7.375202766798918,0.9268347991965847,3.055000710563062,18,0,844000,0.2222222222222222,2025-02-01,1100942.0,0,0.0,1,2025-02,Moderate,Positive,Weak,Highly Unstable,High,Moderate Apparent Association / Highly Unstable Estimate
"Houston, TX",Success,18,2025-02-01,2026-07-01,17,1,986533.3888888889,167000.0,0.027572688983441784,0.1934851991588693,0.16591251017542752,0.17061687623930008,0.4130579574821254,0.17061687623930533,-5.245803791353865e-15,0.02948477547752737,0.8593961445762412,-0.2967439228356247,0.3557134737906794,0.4961107807202983,0.4114659090451606,-0.18080459194867782,-0.05467320109994023,23.99901944079684,0.9684451489388012,2.868246654517636,18,0,575000,0.2222222222222222,2025-02-01,801111.0,0,0.0,1,2025-02,Moderate,Positive,Weak,Highly Unstable,High,Moderate Apparent Association / Highly Unstable Estimate
"Detroit, MI",Success,18,2025-02-01,2026-07-01,11,7,337578.1666666667,46722.22222222222,0.16641691829779948,0.2964582155494717,0.13004129725167224,0.15600280296731098,0.3949719014908649,0.1560028029673095,1.4710455076283324e-15,0.016139826201838153,0.20658889272958292,-0.0089064588902768,0.04118611129395311,0.3712503458296305,0.3133342512776246,-0.012208027781243302,0.0799838203339246,0.2954383828199828,0.7727893919578601,5.505560455742883,12,0,264000,0.2222222222222222,2026-01-01,275640.0,86000,11.362114203075018,1,2026-01,Moderate,Positive,Weak,Influence Sensitive,Moderate,Moderate Apparent Association / Weak Statistical Evidence
"Miami-Ft. Lauderdale, FL",Success,18,2025-02-01,2026-07-01,17,1,1155267.0,179944.44444444444,0.13626281335806512,0.26131377735712946,0.12505096399906435,0.14477895120533305,0.38049829330146556,0.1447789512053281,4.9404924595819466e-15,0.023420376399332477,0.6640335602997489,-0.08226164620995104,0.12910239900861598,0.43181256878723756,0.36929519796094057,-0.048823726636635145,0.03402570885163081,3.266189687308089,0.910111540994229,2.9614779046865825,18,0,635000,0.2222222222222222,2025-02-01,921274.0,0,0.0,2,"2025-02, 2026-05",Low,Positive,Weak,Highly Unstable,High,Low Apparent Association / Highly Unstable Estimate
"Providence, RI-New Bedford, MA",Success,18,2025-02-01,2026-07-01,8,10,237196.5,6388.888888888889,0.47463146181061244,0.5411433281552122,0.06651186634459971,0.1266003985960483,0.35580949761923086,0.12660039859604946,-1.1657341758564144e-15,0.01479128290551912,0.22536354451615304,-0.009120501151169639,0.03870306696220788,0.4352040327800053,0.38010702875944896,0.36205248934145806,0.3999566598952774,0.22181567196504665,0.47848599269715697,4.853570663208666,9,0,27000,0.2222222222222222,2025-07-01,187486.0,19000,9.852246888342531,0,,Low,Positive,Weak,Stable,Low,Low Apparent Association / Weak Statistical Evidence
"Chicago, IL",Success,18,2025-02-01,2026-07-01,17,1,1018357.2222222222,211388.88888888888,0.20460397569689381,0.3048571232461412,0.10025314754924741,0.12604180117330277,0.355023662835732,0.12604180117329952,3.247402347028583e-15,0.027628792259990598,0.25970492022970626,-0.020416610836649425,0.07567419535663061,0.5736710643874124,0.5013645301510172,0.034161970489085425,0.09096700732187701,0.3113308545802341,0.9818899265750523,2.92788915531166,18,0,569000,0.2222222222222222,2025-02-01,680729.0,0,0.0,1,2025-02,Low,Positive,Weak,Influence Sensitive,Moderate,Low Apparent Association / Weak Statistical Evidence
