DMA,LOO_Status,Removed_Month,Removed_Cooks_D,Removed_Traffic,Removed_Spend,Original_Influence_Severity,Original_Observations,LOO_Observations,Original_Spend_Beta,Original_Spend_Partial_R2,Original_Spend_P_Value,Original_Residual_Correlation,LOO_Spend_Beta,LOO_Spend_Partial_R2,LOO_Spend_P_Value,LOO_Residual_Correlation,LOO_Reduced_R2,LOO_Full_R2,LOO_Delta_R2,LOO_Spend_CI_Lower_95,LOO_Spend_CI_Upper_95,Spend_Beta_Change,Spend_Beta_Pct_Change,Spend_Partial_R2_Change,Spend_P_Value_Change,Residual_Correlation_Change,Spend_Beta_Direction_Changed,Significance_05_Changed,LOO_Sensitivity_Classification,LOO_Sensitivity_Interpretation
"Atlanta, GA",Success,2025-02-01,5.296716654394238,472473.0,0,Highly Unstable,18,17,0.031852290902075364,0.23643190865635985,0.6460371105071581,0.486242643806941,0.100034906099575,0.24044396958705178,0.02455373633750655,0.4903508637568093,0.05110856557835863,0.27926378877784974,0.2281552231994911,0.012831127568031175,0.1872386846311188,0.06818261519749963,2.1405874826120317,0.004012060930691924,-0.6214833741696515,0.004108219949868319,False,True,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Baltimore, MD",Success,2026-01-01,0.31985362907884246,297907.0,29000,Influence Sensitive,18,17,0.03508951632460344,0.41210011333157054,0.022209863864889143,0.6419502420994733,0.04451852947387014,0.5421992391221722,0.13903149979981616,0.7363417950396236,0.1320620428199475,0.6026573428082244,0.47059529998827687,-0.014460979765772985,0.10349803871351326,0.009429013149266696,0.26871311254454167,0.13009912579060162,0.11682163593492702,0.09439155294015034,False,True,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Boston, MA (Manchester, NH)",Success,2025-02-01,6.6855551412452545,374008.0,0,Highly Unstable,18,17,0.03889386834263836,0.35700304077257194,0.5788599760101604,0.5974973144479991,0.10834285125000587,0.41306904717363485,0.007954293452869457,0.6427044788809468,0.05949756043662724,0.44799000701154845,0.3884924465749212,0.02833238269161227,0.18835331980839948,0.0694489829073675,1.785602354992094,0.05606600640106291,-0.5709056825572909,0.0452071644329477,False,True,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Buffalo, NY",Success,2025-08-01,0.24527570056094386,77257.0,15000,Influence Sensitive,18,17,0.01826072793810285,0.2035144335346414,0.06649114910399585,0.45112574027053515,0.018333282774115018,0.28596181818277566,0.06666778027717082,0.534753979118225,0.6429198846731025,0.7450311636888973,0.10211127901579486,-0.001260170607527089,0.037926736155757125,7.25548360121682e-05,0.003973271835498694,0.08244738464813425,0.0001766311731749709,0.08362823884768983,False,False,Moderately Sensitive,"The spend relationship changes somewhat after removing the most influential month, but the overall direction remains intact."
"Charlotte, NC",Success,2026-01-01,0.6067622568426969,269006.0,31000,Influence Sensitive,18,17,0.027086948217813656,0.240357399408617,0.2496332543634101,0.49026258210128515,0.04215545654907705,0.5143148847596265,0.3500578780211101,0.7171575034534802,0.4755641782841167,0.7452893274937412,0.26972514920962454,-0.046261030659545586,0.13057194375769968,0.015068508331263393,0.5563014411994051,0.2739574853510095,0.1004246236577,0.22689492135219502,False,False,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Chicago, IL",Success,2025-02-01,0.3113308545802341,680729.0,0,Influence Sensitive,18,17,0.027628792259990598,0.12604180117330277,0.25970492022970626,0.355023662835732,0.006406731671803461,0.00019658503934366563,0.978784788444798,0.014020878693791625,0.11652997383511499,0.11670365082496759,0.00017367698985260027,-0.46579343643698057,0.47860689978058746,-0.02122206058818714,-0.7681139439062242,-0.1258452161339591,0.7190798682150917,-0.34100278414194035,False,False,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Cincinnati, OH",Success,2026-01-01,0.34287024028905744,135215.0,26000,Influence Sensitive,18,17,0.02614790413788648,0.24567413272733288,0.04963094424729717,0.4956552559262673,0.036420301851884586,0.4163678509544688,0.009910855846008688,0.6452657211990004,0.22518717348459039,0.5477943249527693,0.32260715146817887,0.008741131386033347,0.06409947231773583,0.010272397713998106,0.39285740301893346,0.17069371822713594,-0.03972008840128848,0.14961046527273308,False,False,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Cleveland-Akron (Canton), OH",Success,2026-01-01,0.48813288315346215,160020.0,22000,Influence Sensitive,18,17,0.02846186751824653,0.2687997878176498,0.08044385817834337,0.5184590512447932,0.04134562232378468,0.49549049794996375,0.010678056343014417,0.7039108593777796,0.2382669463351228,0.6156984364004793,0.3774314900653565,0.009604936580860847,0.07308630806670852,0.012883754805538147,0.4526672326500902,0.22669071013231396,-0.06976580183532896,0.18545180813298645,False,True,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Columbus, OH",Success,2025-08-01,0.21781776888862525,214165.0,40000,Stable,18,17,0.032597053918869884,0.2658283439310636,0.010787649228068725,0.515585438051798,0.03225265466143976,0.3415660616790911,0.011826143672893691,0.5844365334910993,0.18567648154681726,0.4638217586775316,0.27814527713071435,0.0071407124797759,0.057364596843103625,-0.00034439925743012106,-0.010565349196503742,0.07573771774802751,0.001038494444824966,0.06885109543930124,False,False,Moderately Sensitive,"The spend relationship changes somewhat after removing the most influential month, but the overall direction remains intact."
"Dallas-Ft. Worth, TX",Success,2025-02-01,2.602493759654742,625075.0,0,Highly Unstable,18,17,0.022451354311813554,0.10035024326112707,0.6990046574367152,0.3167810651871766,-0.03415306237299341,0.009433005017843964,0.8345656461623088,-0.09712365838372929,0.05654809410963624,0.06544768067199447,0.00889958656235823,-0.3546649078061945,0.2863587830602076,-0.056604416684806966,-2.521202770160845,-0.0909172382432831,0.13556098872559352,-0.41390472357090585,True,False,Highly Sensitive,The estimated spend relationship changes direction after removing the most influential month.
"Detroit, MI",Success,2026-01-01,0.2954383828199828,275640.0,86000,Influence Sensitive,18,17,0.016139826201838153,0.15600280296731098,0.20658889272958292,0.3949719014908649,0.024290735530369353,0.299540613185919,0.35324833287461554,0.5473030359735995,0.12563455688352698,0.38754251786321314,0.26190796097968616,-0.026995062910560363,0.07557653397129907,0.0081509093285312,0.5050184076705174,0.14353781021860804,0.14665944014503263,0.1523311344827346,False,False,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"El Paso, TX (Las Cruces, NM)",Success,2026-01-01,0.23463477290688198,309182.0,26000,Influence Sensitive,18,17,0.02390287484097836,0.34309508318874693,0.00811926773180708,0.585743188768548,0.029598142130902148,0.4655674306966498,0.0022760015098287735,0.6823250183722203,0.17787986345316575,0.5606322231492543,0.38275235969608856,0.010588224634693562,0.04860805962711073,0.005695267289923787,0.23826704226221332,0.12247234750790287,-0.005843266221978306,0.09658182960367223,False,False,Moderately Sensitive,"The spend relationship changes somewhat after removing the most influential month, but the overall direction remains intact."
"Ft. Myers-Naples, FL",Success,2025-02-01,0.25179669524468407,162586.0,0,Influence Sensitive,18,17,0.027613641834145664,0.4944469136034639,0.0034582121988606415,0.7031691927292237,0.03389784140443549,0.4711307197570618,0.03938251726791402,0.6863896267842766,0.5061438011604151,0.7388146275761953,0.23267082641578019,0.0016487433259055606,0.06614693948296542,0.0062841995702898265,0.2275759064318382,-0.0233161938464021,0.035924305069053385,-0.016779565944947117,False,False,Moderately Sensitive,"The spend relationship changes somewhat after removing the most influential month, but the overall direction remains intact."
"Harlingen-Weslaco-Brownsville-McAllen, TX",Success,2025-02-01,0.4126860474488009,311106.0,0,Influence Sensitive,18,17,0.026422692664749198,0.2850836339045302,0.0965869962174031,0.5339322371842059,0.0395383490145266,0.25102419419206845,0.08550759580618975,0.5010231473615467,0.13731833273294192,0.3538723031029253,0.21655397036998336,-0.005526979858242451,0.08460367788729566,0.013115656349777405,0.4963784923886711,-0.034059439712461725,-0.011079400411213358,-0.032909089822659165,False,False,Moderately Sensitive,"The spend relationship changes somewhat after removing the most influential month, but the overall direction remains intact."
"Hartford & New Haven, CT",Success,2025-05-01,0.2614073424648839,292438.0,0,Influence Sensitive,18,17,0.017943167187850773,0.09442902766820116,0.36006331433040717,0.30729306479027296,0.028708614342300164,0.22426725175890713,0.1649478028642659,0.4735686346865767,0.16573268133496033,0.3528315201242411,0.1870988387892808,-0.011812031788827521,0.06922926047342785,0.010765447154449392,0.5999747448008299,0.12983822409070597,-0.19511551146614126,0.1662755698963037,False,False,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Houston, TX",Success,2025-02-01,23.99901944079684,801111.0,0,Highly Unstable,18,17,0.02948477547752737,0.17061687623930008,0.8593961445762412,0.4130579574821254,0.1955032822497888,0.3631226494444449,0.025950051341424845,0.6025965893070128,0.039713375678774754,0.3884151989283605,0.34870182324958576,0.023439275682153204,0.3675672888174244,0.16601850677226143,5.63065189011858,0.1925057732051448,-0.8334460932348164,0.18953863182488734,False,True,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Las Vegas, NV",Success,2026-01-01,0.24030667147594278,232199.0,33000,Influence Sensitive,18,17,0.020128479204399308,0.30132791199454284,0.014571409359199467,0.5489334312961283,0.026039498184173553,0.41737994982855714,0.0028943201281293857,0.6460494948752428,0.21156517308976397,0.5406420615886455,0.3290768884988815,0.008905944550192835,0.04317305181815427,0.005911018979774245,0.2936644601785079,0.1160520378340143,-0.011677089231070081,0.09711606357911451,False,False,Moderately Sensitive,"The spend relationship changes somewhat after removing the most influential month, but the overall direction remains intact."
"Los Angeles, CA",Success,2025-02-01,7.375202766798918,1100942.0,0,Highly Unstable,18,17,0.027238872774303702,0.19971175747233996,0.7238913669016476,0.446891214360213,0.1037115560427966,0.32269924916199494,0.014709823188529278,0.5680662365974583,0.17015353701812985,0.4379443675421164,0.26779083052398656,0.020384866243193495,0.1870382458423997,0.0764726832684929,2.807483404402653,0.12298749168965498,-0.7091815437131183,0.12117502223724524,False,True,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Miami-Ft. Lauderdale, FL",Success,2025-02-01,3.266189687308089,921274.0,0,Highly Unstable,18,17,0.023420376399332477,0.14477895120533305,0.6640335602997489,0.38049829330146556,0.07633046232566008,0.20494994444144266,0.04845404643993781,0.45271397641495253,0.10042397382041823,0.28479203040677736,0.18436805658635913,0.0005183377658874722,0.1521425868854327,0.05291008592632761,2.259147548449975,0.06017099323610961,-0.6155795138598111,0.07221568311348697,False,True,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Minneapolis-St. Paul, MN",Success,2026-01-01,0.4444612074758229,185562.0,39000,Influence Sensitive,18,17,0.0064283077978151415,0.019408495725895016,0.732700980317387,0.13931437731223614,0.01775368378987584,0.1657720015450433,0.11943769615304992,0.4071510795086329,0.4263315859173389,0.5214297471429922,0.09509816122565329,-0.004592812239922337,0.04010017981967402,0.0113253759920607,1.7617974042733264,0.14636350581914828,-0.6132632841643371,0.26783670219639677,False,False,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"New York, NY",Success,2025-02-01,5.740316013713646,2103418.0,0,Highly Unstable,18,17,0.02910903628129441,0.28850289086544073,0.6115955668508385,0.5371246511429539,0.08579022830955742,0.2710901870862115,0.0459639729678269,0.5206632184879317,0.08258466609806847,0.33128696060130236,0.2487022945032339,0.001537216614638251,0.17004324000447657,0.05668119202826301,1.9472026308437627,-0.01741270377922921,-0.5656315938830115,-0.0164614326550222,False,True,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Oklahoma City, OK",Success,2026-01-01,0.27141070283983815,174950.0,19000,Influence Sensitive,18,17,0.03649115868402508,0.31702281404532345,0.0797126218020296,0.5630477901966444,0.047449905565193885,0.44510349281653305,0.22133351092608555,0.6671607698422747,0.47701604376490603,0.7097980293721553,0.23278198560724928,-0.02859332745366868,0.12349313858405644,0.010958746881168803,0.300312384598691,0.1280806787712096,0.14162088912405596,0.10411297964563027,False,False,Moderately Sensitive,"The spend relationship changes somewhat after removing the most influential month, but the overall direction remains intact."
"Orlando-Daytona Beach-Melbourne, FL",Success,2025-02-01,1.3423648342428456,560646.0,0,Highly Unstable,18,17,0.0253033588736625,0.3064674987974506,0.2637800925058901,0.5535950675335297,0.04694439479978297,0.37871263871622024,0.004370268834838261,0.6153963265377981,0.28509699441585445,0.555839798086783,0.2707428036709285,0.014661785089317723,0.07922700451024822,0.021641035926120468,0.8552633677675878,0.07224513991876963,-0.2594098236710518,0.06180125900426836,False,True,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Philadelphia, PA",Success,2025-02-01,5.115817247531405,527695.0,0,Highly Unstable,18,17,0.03131631750410879,0.2257458914950442,0.6466284516083058,0.47512723716394606,0.09887084986243924,0.2960134982010089,0.14492811939158384,0.5440712253014383,0.1000667332117211,0.3664591276611814,0.2663923944494603,-0.03406847328615761,0.2318101730110361,0.06755453235833045,2.157167181277527,0.07026760670596471,-0.501700332216722,0.0689439881374922,False,False,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Phoenix (Prescott), AZ",Success,2025-12-01,0.3971158942748752,655833.0,194000,Influence Sensitive,18,17,0.02416944505748292,0.23764004769756433,0.16661508252555057,0.48748338197067,0.015327815630355951,0.14536057161438917,0.05067863051215716,0.3812618150489098,0.4617175152661508,0.5399625649370768,0.07824504967092605,-4.528056992538117e-05,0.030700911830637286,-0.008841629427126968,-0.36581847063921635,-0.09227947608317516,-0.11593645201339342,-0.10622156692176016,False,False,Moderately Sensitive,"The spend relationship changes somewhat after removing the most influential month, but the overall direction remains intact."
"Providence, RI-New Bedford, MA",Success,2025-07-01,0.22181567196504665,187486.0,19000,Stable,18,17,0.01479128290551912,0.1266003985960483,0.22536354451615304,0.35580949761923086,0.021455145851050794,0.24855945149774286,0.13257779996224783,0.49855737031734104,0.4800634437222022,0.6092985889642368,0.1292351452420346,-0.006504246330664466,0.049414538032766055,0.006663862945531673,0.4505263666510742,0.12195905290169456,-0.0927857445539052,0.14274787269811018,False,False,Moderately Sensitive,"The spend relationship changes somewhat after removing the most influential month, but the overall direction remains intact."
Puerto Rico,Success,2025-02-01,0.3556173679642946,961872.0,0,Influence Sensitive,18,17,-0.002502523961281644,0.003561411130558888,0.8774226976069048,-0.05967755968999641,-0.010474829666954559,0.06411598889253121,0.44356873497595894,-0.2532113522189109,0.3487377673049602,0.39049408938256036,0.04175632207760016,-0.03727044901768965,0.016320789683780538,-0.007972305705672915,-3.1857060427864887,0.060554577761972324,-0.4338539626309459,-0.19353379252891448,False,False,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Sacramento-Stockton-Modesto, CA",Success,2025-02-01,0.44931152886634235,290692.0,0,Influence Sensitive,18,17,0.020589609151374116,0.2003885142104958,0.23160160851516387,0.4476477568473823,0.03414128752398095,0.19331698852226556,0.29932637904448045,0.4396782784289709,0.03746083467994621,0.22353600745435398,0.18607517277440777,-0.030332212967716043,0.09861478801567794,0.013551678372606832,0.6581804575781574,-0.007071525688230246,0.06772477052931658,-0.007969478418411391,False,False,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"San Antonio, TX",Success,2025-02-01,0.9318556814739897,318753.0,0,Influence Sensitive,18,17,0.02480186406860238,0.3337235684541135,0.18018854378113003,0.5776881238645266,0.04145752570511335,0.336580946468279,0.05097030664290127,0.5801559673641945,0.23558533418044114,0.49287274589622154,0.2572874117157804,-0.00017490834395508803,0.08308995975418179,0.01665566163651097,0.6715487832060173,0.0028573780141655236,-0.12921823713822878,0.0024678434996678877,False,False,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"San Diego, CA",Success,2025-02-01,0.5000844584171433,208638.0,0,Influence Sensitive,18,17,0.023669650199169945,0.2632509479862599,0.18947757216069527,0.5130798651148363,0.037373864628003954,0.24686524189112294,0.2929733059149786,0.4968553530869139,0.23570621651470836,0.4243837862506864,0.18867756973597805,-0.03228184201309341,0.10702957126910131,0.01370421442883401,0.5789783251344625,-0.01638570609513698,0.10349573375428334,-0.016224512027922355,False,False,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
"Seattle-Tacoma, WA",Success,2026-02-01,0.19816060654543272,206642.0,0,Stable,18,17,0.03742306032483986,0.45758473580504955,0.00020995293691061402,0.6764500985328105,0.0328574295162984,0.45070334683605734,0.2536220225444523,0.6713444323415937,0.10237845507470456,0.5069394895646875,0.40456103448998293,-0.02355428113715597,0.08926914016975276,-0.004565630808541457,-0.12200046626093225,-0.006881388968992208,0.2534120696075417,-0.005105666191216773,False,True,Sensitive,The estimated spend relationship changes materially after removing the most influential month.
