DMA,Months,AvgSpend,AvgTraffic
"Atlanta, GA",18,122388.89,638548.33
"Baltimore, MD",18,20777.78,318130.83
"Boston, MA (Manchester, NH)",18,110111.11,523084.22
"Buffalo, NY",18,9833.33,56202.67
"Charlotte, NC",18,17722.22,292690.83
"Chicago, IL",18,211388.89,1018357.22
"Cincinnati, OH",18,24111.11,158989.06
"Cleveland-Akron (Canton), OH",18,17055.56,190302.61
"Columbus, OH",18,20777.78,124060.28
"Dallas-Ft. Worth, TX",18,194000.0,871495.83
"Detroit, MI",18,46722.22,337578.17
"El Paso, TX (Las Cruces, NM)",18,17611.11,312863.33
"Ft. Myers-Naples, FL",18,11111.11,220286.44
"Harlingen-Weslaco-Brownsville-McAllen, TX",18,28833.33,412956.72
"Hartford & New Haven, CT",18,7333.33,259925.39
"Houston, TX",18,167000.0,986533.39
"Las Vegas, NV",18,23055.56,261823.28
"Los Angeles, CA",18,287277.78,1426174.94
"Miami-Ft. Lauderdale, FL",18,179944.44,1155267.0
"Minneapolis-St. Paul, MN",18,54944.44,273695.94
"New York, NY",18,516722.22,2950781.5
"Oklahoma City, OK",18,12666.67,156046.83
"Orlando-Daytona Beach-Melbourne, FL",18,49722.22,666728.28
"Philadelphia, PA",18,172277.78,721968.06
"Phoenix (Prescott), AZ",18,41833.33,419486.11
"Providence, RI-New Bedford, MA",18,6388.89,237196.5
Puerto Rico,18,107500.0,1337477.78
"Sacramento-Stockton-Modesto, CA",18,29555.56,370599.5
"San Antonio, TX",18,34666.67,409793.39
"San Diego, CA",18,22944.44,250423.78
"Seattle-Tacoma, WA",18,16222.22,324387.0
"Tampa-St. Petersburg (Sarasota), FL",18,55055.56,550907.78
"Washington, DC (Hagerstown, MD)",18,119000.0,594139.61
"West Palm Beach-Ft. Pierce, FL",18,29111.11,270298.94
