Column,Type,Missing,Unique
DMA,str,18,35
Month,datetime64[us],0,18
Spend,int64,0,200
DMA_Original_x,str,18,35
Traffic,float64,198,450
Transactions,float64,198,450
DMA_Original_y,str,198,30
_merge,category,0,2
Store_Count,float64,108,22
Total_Selling_SqFt,float64,108,30
Avg_Selling_SqFt,float64,108,30
DMA_Population,float64,108,30
TradeAreaPopulation,float64,108,30
Year,int32,0,2
Month_Number,int32,0,12
Month_Name,str,0,12
Quarter,int32,0,4
Holiday_Season,int64,0,2
Spend_Lag_1,float64,53,191
Spend_Lag_2,float64,88,184
Spend_Lag_3,float64,123,180
Spend_Lag_6,float64,228,161
Rolling_Spend_3,float64,18,333
Rolling_Spend_6,float64,18,437
Rolling_Spend_12,float64,18,494
Cumulative_Spend,float64,18,363
Spend_pct_change,float64,187,340
Log_Spend,float64,0,199
Spend_Index,float64,36,415
High_Spend,int64,0,2
Traffic_Lag_1,float64,198,450
Traffic_Lag_12,float64,468,180
Rolling_Traffic_3,float64,138,510
Traffic_pct_change,float64,228,420
Traffic_per_Store,float64,198,450
Transactions_per_Store,float64,198,450
Traffic_per_1000SqFt,float64,198,450
Spend_per_Store,float64,108,319
Spend_per_1000SqFt,float64,108,379
