,Spend,Traffic,Transactions,Store_Count,Total_Selling_SqFt,Avg_Selling_SqFt,DMA_Population,TradeAreaPopulation,Year,Month_Number,Quarter,Holiday_Season,Spend_Lag_1,Spend_Lag_2,Spend_Lag_3,Spend_Lag_6,Rolling_Spend_3,Rolling_Spend_6,Rolling_Spend_12,Cumulative_Spend,Spend_pct_change,Log_Spend,Spend_Index,High_Spend,Traffic_Lag_1,Traffic_Lag_12,Rolling_Traffic_3,Traffic_pct_change,Traffic_per_Store,Transactions_per_Store,Traffic_per_1000SqFt,Spend_per_Store,Spend_per_1000SqFt
Spend,1.0,0.6757375814636123,0.6876255432524211,0.6578576211546835,0.6619503446285143,0.12463155556563109,0.6281065739665201,0.5490116717822445,-0.016749023070000757,0.21364508952489522,0.20418312193907817,0.29992589610028914,0.5220839427829701,0.44049682389489003,0.5634054497042749,0.42503675373493893,0.8194138278107523,0.7824049339131103,0.7729632760286517,0.7180402138822157,0.06024724439144365,0.49993065573499773,0.41071458584869297,0.4040596589847819,0.6213054609166686,0.7924288421075437,0.6472517980991849,0.09443566058433352,0.3369015706775386,0.3547866059791471,0.25396536489090954,0.7550239350644583,0.7229801843159648
Traffic,0.6757375814636123,1.0,0.9964488706620894,0.9018747189268017,0.9001409135021946,0.18138443253655212,0.7994922234531882,0.7432637126886639,-0.07711110199969173,0.15135517286868283,0.13310232838726027,0.16477864599280484,0.5034344337025226,0.4770500648784343,0.4118327295885258,0.6014393329469037,0.7247446381731687,0.7609658979560261,0.824765482614141,0.6485797875608752,0.049694868999756565,0.3555960873546101,0.051370200839151864,0.030566098729525995,0.9260470604519051,0.9111139887389562,0.9718294715318994,0.1395784756471202,0.5617505953311053,0.5500887177903231,0.4823476914504254,0.3299083572192192,0.3115572165087569
Transactions,0.6876255432524211,0.9964488706620894,1.0,0.9158489218305849,0.9145369577318271,0.19020039443918682,0.822351655320202,0.7407427189941521,-0.06506059046858556,0.13707642800007544,0.11769247158084443,0.16177679408422188,0.5186979112045589,0.4938685826910526,0.42757439420493243,0.6216172340238111,0.7427754054809508,0.7787393513833524,0.8409379731409167,0.6650058394982339,0.040808639349796075,0.35137462501087563,0.04746673342339839,0.027509188804818993,0.926433151428863,0.9122992084669024,0.971400446045376,0.13211932038586788,0.5245103495616432,0.5306798350689125,0.44247409026824003,0.33051707503694605,0.310015995743147
Store_Count,0.6578576211546835,0.9018747189268017,0.9158489218305849,1.0,0.985561860502196,0.08958199962043455,0.934556251491213,0.8322176264051981,-2.670865305794474e-13,-9.661992364063059e-17,9.860740666842686e-17,1.896138574781865e-17,0.6399827244409128,0.6225728440951256,0.6155901966630787,0.5599754930906325,0.79789558742053,0.8362054919971994,0.8932042166996573,0.6917240671892201,-0.02880546770497822,0.39369266081819426,-4.143136332222157e-17,0.0032325779972749574,0.9018747189268017,0.9186257189070888,0.9209040880300038,-0.005172468801327732,0.2453077239079519,0.23473283710741538,0.1792447802633553,0.29210001311907857,0.2704441648980009
Total_Selling_SqFt,0.6619503446285143,0.9001409135021946,0.9145369577318271,0.985561860502196,1.0,0.22189337596224137,0.9197399662271586,0.8268598356031299,-2.38860579181892e-13,-9.088222558378516e-17,1.0604374409656772e-16,1.5979874787606903e-17,0.6451119341809405,0.628697879525533,0.621744119386951,0.5630348371723478,0.8034042473610337,0.8412566890914802,0.8987460932565728,0.6971230677754175,-0.042756906534756896,0.38530048543670137,-4.209623435838361e-17,0.0025143652838710583,0.9001409135021946,0.9179920551932319,0.9191193166216217,-0.006304130430756618,0.24474451861238575,0.24346955501575074,0.12370842553484268,0.29560774575532744,0.2555429969310851
Avg_Selling_SqFt,0.12463155556563109,0.18138443253655212,0.19020039443918682,0.08958199962043455,0.22189337596224137,1.0,0.04158504646204765,0.08075388460588546,1.5052627662248048e-13,1.2847576902441433e-16,1.4187508235824906e-17,2.1204644896888438e-17,0.12169369242304118,0.11931571633511807,0.11637453668724493,0.08959110409906076,0.14977712880140362,0.1509034874883429,0.15711145003862598,0.12445869497361207,-0.07192356841730498,0.06423178597352493,9.200225180980555e-18,-0.007432488843356959,0.18138443253655212,0.186363755589066,0.18529854155095404,-0.01228169009818604,0.2453060482820099,0.3697189730476406,-0.08362924496596806,0.09899965407427491,-0.001338520989844043
DMA_Population,0.6281065739665201,0.7994922234531882,0.822351655320202,0.934556251491213,0.9197399662271586,0.04158504646204765,1.0,0.7419690223948562,-2.09895269234562e-13,-4.3412064469334345e-17,9.582901407035968e-17,2.0195625395705892e-17,0.6084738656418142,0.5883541389082942,0.5806698968840406,0.5226948059643252,0.7566534879369285,0.7881291639630156,0.8397646389676275,0.6526504123034551,-0.05268357252471166,0.3642116265588779,-4.827676044373941e-17,0.0022259152168283493,0.7994922234531882,0.8133021674186317,0.815538040795436,-0.0019438353652835782,0.11398264129997056,0.1124466949352794,0.05817415012877775,0.290251990483394,0.26585072716020164
TradeAreaPopulation,0.5490116717822445,0.7432637126886639,0.7407427189941521,0.8322176264051981,0.8268598356031299,0.08075388460588546,0.7419690223948562,1.0,-1.6784251238674243e-13,-1.6102719535935914e-16,1.1195084259562867e-16,6.795006009529145e-18,0.5355171351537726,0.5234778194507913,0.5171897485419149,0.47661235251641365,0.6669607361304228,0.7002140625276182,0.7478647415443328,0.5821538412047981,-0.05152231420014429,0.3729492337055534,-1.337173166652281e-17,0.003370328074657882,0.7432637126886639,0.7573860634213279,0.7594379991352362,-0.007113586868193513,0.22717442217765227,0.17567273186675006,0.14363515165258406,0.2819817797827692,0.2533610110119329
Year,-0.016749023070000757,-0.07711110199969173,-0.06506059046858556,-2.670865305794474e-13,-2.38860579181892e-13,1.5052627662248048e-13,-2.09895269234562e-13,-1.6784251238674243e-13,1.0,-0.30108397179800167,-0.301083971798001,-0.2500000000000018,0.14012322897961324,0.19494664191795116,0.20383791658487077,0.2134344245617276,0.12175085581702445,0.1844842295116429,0.15124036127596646,0.37071052350164346,-0.11884461814248598,-0.47492873873714775,-0.37743093080899204,-0.19210778011529578,-0.0009411660537053971,,-0.018965575583289047,-0.39739060233770124,-0.19487548002684882,-0.18968532679632286,-0.16661292687375495,-0.18561298408152405,-0.19958535841878067
Month_Number,0.21364508952489522,0.15135517286868283,0.13707642800007544,-9.661992364063059e-17,-9.088222558378516e-17,1.2847576902441433e-16,-4.3412064469334345e-17,-1.6102719535935914e-16,-0.30108397179800167,1.0,0.9660056657223802,0.6398034400707341,-0.06096624700256494,-0.1569152498507865,-0.1380955744348332,-0.07239496034750605,0.013232652285160405,-0.02372330414413319,-0.026997575610863866,0.08057054095762199,0.29597567476846853,0.3095917967867721,0.5099327141845464,0.38741916567606416,0.057179356823976506,0.09866971003006011,0.07591436686570839,0.2516199385115884,0.3940258264471561,0.4007801687859133,0.34059968150011377,0.4233654077428769,0.43166100830665977
Quarter,0.20418312193907817,0.13310232838726027,0.11769247158084443,9.860740666842686e-17,1.0604374409656772e-16,1.4187508235824906e-17,9.582901407035968e-17,1.1195084259562867e-16,-0.301083971798001,0.9660056657223802,1.0,0.5833501953586113,-0.053601392474353686,-0.20889116808027933,-0.09595133875633352,-0.04177146822931812,-0.007183681905255679,-0.029548275104590797,-0.01984710206921584,0.072675126773175,0.35198136805997493,0.3168445896106806,0.4981784910725622,0.4077009251976421,0.044727653500384344,0.09160515599409064,0.06878930913855934,0.21475364715727108,0.34567341270565993,0.3437710111482769,0.29816007401468003,0.409541765491938,0.4174789948241882
Holiday_Season,0.29992589610028914,0.16477864599280484,0.16177679408422188,1.896138574781865e-17,1.5979874787606903e-17,2.1204644896888438e-17,2.0195625395705892e-17,6.795006009529145e-18,-0.2500000000000018,0.6398034400707341,0.5833501953586113,1.0,0.05210504656278319,-0.08758458860579436,-0.058672952939540834,-0.12700535435213925,0.11520928014498695,0.053132782941241144,0.015607615603016461,0.055999107544914724,0.09783119919589994,0.2590821236461701,0.6847785225726851,0.4989812470528613,0.06400776909736636,,0.0734564266477134,0.3271942549128037,0.43446040437223926,0.4783010470031699,0.3778693296217358,0.5607361921655707,0.5724097262998683
Spend_Lag_1,0.5220839427829701,0.5034344337025226,0.5186979112045589,0.6399827244409128,0.6451119341809405,0.12169369242304118,0.6084738656418142,0.5355171351537726,0.14012322897961324,-0.06096624700256494,-0.053601392474353686,0.05210504656278319,1.0,0.48693342629206116,0.42359752602411854,0.36088524132920796,0.8278658538506618,0.773982538606516,0.7385450909421788,0.7054730716442327,-0.16075943053355315,0.29488787110480263,0.07493557963104656,0.06505654319884746,0.6757375814636123,0.6640735033667748,0.6294239468759815,-0.24472948658006058,0.12915254979956445,0.13372050386561748,0.08101022418606334,0.29840238377450123,0.2751771528436358
