,Skewness,Kurtosis
Spend,4.910425205627891,38.64522474641609
Traffic,2.6732365243974834,9.036328430271874
Transactions,2.751535983628915,9.583132846434095
Store_Count,2.022239679893103,4.696279832655252
Total_Selling_SqFt,2.3649607703979196,6.664312098807326
Avg_Selling_SqFt,0.2182631466871861,-0.7350238520939438
DMA_Population,2.1468487095784057,4.901658506663708
TradeAreaPopulation,1.1944410595235355,0.5886891202064675
Year,0.7087484586865029,-1.5023219814236901
Month_Number,0.37237950533508685,-0.8499016803602637
Quarter,0.3070921894646498,-1.0874762731725032
Holiday_Season,2.4806196054010674,4.1663231694146425
Spend_Lag_1,5.143124650284863,41.99358684609704
Spend_Lag_2,5.3336976927754645,44.58740362686446
Spend_Lag_3,5.310269541727032,43.56047518360819
Spend_Lag_6,5.713267466776656,52.32734249941663
Rolling_Spend_3,3.47908278323119,16.653687335057278
Rolling_Spend_6,3.4033361411158474,16.39207755749216
Rolling_Spend_12,3.0066742298649105,12.382768475907959
Cumulative_Spend,3.950621329797361,21.44434665391031
Spend_pct_change,,
Log_Spend,-0.5660099712059675,-1.5201778694203711
Spend_Index,1.6883850605158672,3.325234460854453
High_Spend,1.1104678758525026,-0.7692448613161718
Traffic_Lag_1,2.6732365243974834,9.03632843027187
Traffic_Lag_12,2.6198457216257323,8.608218021640766
Rolling_Traffic_3,2.5769150720494176,8.154250142792831
Traffic_pct_change,0.27347230632511843,-0.934527639629283
Traffic_per_Store,1.7314445697960328,5.594034544573283
Transactions_per_Store,1.6331976833886361,4.665655308661307
Traffic_per_1000SqFt,3.007659342104073,14.25074060705389
Spend_per_Store,1.854281617167678,4.334292937101834
Spend_per_1000SqFt,1.9040621109579587,4.7365245968891685
