DMA,Months,AvgSpend,AvgTraffic
"Atlanta, GA",18,122388.89,857372.67
"Baltimore, MD",18,20777.78,371759.13
"Boston, MA (Manchester, NH)",18,110111.11,703525.0
"Buffalo, NY",18,9833.33,73951.13
"Charlotte, NC",18,17722.22,433204.8
"Chicago, IL",18,211388.89,1321431.27
"Cincinnati, OH",18,24111.11,175710.0
"Cleveland-Akron (Canton), OH",18,17055.56,224665.53
Columbus OH,18,20777.78,
"Dallas-Ft. Worth, TX",18,194000.0,1122158.13
"Detroit, MI",18,46722.22,517109.8
"El Paso, TX (Las Cruces, NM)",18,17611.11,373184.8
"Ft. Myers-Naples, FL",18,11111.11,264875.4
"Harlingen, TX",18,28833.33,
"Hartford, CT",18,7333.33,
"Houston, TX",18,167000.0,1391493.2
Includes Chelsea Event in April,18,0.0,
"Las Vegas, NV",18,23055.56,384103.53
"Los Angeles, CA",18,287277.78,2069690.2
"Miami-Ft. Lauderdale, FL",18,179944.44,1699099.13
"Minneapolis-St. Paul, MN",18,54944.44,319434.33
"New York, NY",18,516722.22,4084467.87
"Oklahoma City, OK",18,12666.67,197398.8
"Orlando-Daytona Beach-Melbourne, FL",18,49722.22,815458.47
"Philadelphia, PA",18,172277.78,996331.53
"Phoenix (Prescott), AZ",18,41833.33,627557.53
"Providence, RI-New Bedford, MA",18,6388.89,404700.13
Puerto Rico,18,107500.0,2019346.0
"Sacramento-Stockton-Modesto, CA",18,29555.56,521398.4
"San Antonio, TX",18,34666.67,592301.2
"San Diego, CA",18,22944.44,307725.2
"Seattle-Tacoma, WA",18,16222.22,399094.47
"Tampa-St. Petersburg (Sarasota), FL",18,55055.56,694131.33
"Washington, DC (Hagerstown, MD)",18,119000.0,811000.4
"West Palm Beach, FL",18,29111.11,
