,Missing_Count,Percent
Traffic_Lag_12,468,72.22
Spend_Lag_6,228,35.19
Traffic_pct_change,228,35.19
Traffic_Lag_1,198,30.56
DMA_Original_y,198,30.56
Transactions,198,30.56
Traffic,198,30.56
Traffic_per_Store,198,30.56
Transactions_per_Store,198,30.56
Traffic_per_1000SqFt,198,30.56
Spend_pct_change,187,28.86
Rolling_Traffic_3,138,21.3
Spend_Lag_3,123,18.98
Store_Count,108,16.67
Total_Selling_SqFt,108,16.67
Spend_per_1000SqFt,108,16.67
DMA_Population,108,16.67
Avg_Selling_SqFt,108,16.67
Spend_per_Store,108,16.67
TradeAreaPopulation,108,16.67
Spend_Lag_2,88,13.58
Spend_Lag_1,53,8.18
Spend_Index,36,5.56
Rolling_Spend_12,18,2.78
Cumulative_Spend,18,2.78
DMA_Original_x,18,2.78
DMA,18,2.78
Rolling_Spend_3,18,2.78
Rolling_Spend_6,18,2.78
Month,0,0.0
Spend,0,0.0
Quarter,0,0.0
Month_Name,0,0.0
Holiday_Season,0,0.0
Month_Number,0,0.0
Year,0,0.0
_merge,0,0.0
High_Spend,0,0.0
Log_Spend,0,0.0
