Month,Active_DMAs,Total_Spend,Avg_DMA_Spend,Total_Traffic,Avg_DMA_Traffic,Total_Transactions,Avg_DMA_Transactions,Spend_pct_change,Traffic_pct_change
2025-01-01,35,3320000,92222.22222222222,19560774.0,652025.8,9394089.0,313136.3,,
2025-02-01,35,0,0.0,17969485.0,598982.8333333334,8953118.0,298437.26666666666,-1.0,-0.081351024248836
2025-03-01,35,1719000,47750.0,26578440.0,885948.0,13001416.0,433380.5333333333,inf,0.47908746410929415
2025-04-01,35,2714000,75388.88888888889,21892207.0,729740.2333333333,10675768.0,355858.93333333335,0.578824898196626,-0.1763170825676752
2025-05-01,35,1147000,31861.11111111111,29003913.0,966797.1,14301219.0,476707.3,-0.577376565954311,0.32485103032325613
2025-06-01,35,1647000,45750.0,23211355.0,773711.8333333334,11084809.0,369493.63333333336,0.4359197907585004,-0.19971643136565742
2025-07-01,35,2677000,74361.11111111111,23748992.0,791633.0666666667,11073220.0,369107.3333333333,0.6253794778384942,0.02316267189054666
2025-08-01,35,3215000,89305.55555555556,31292518.0,1043083.9333333333,14217912.0,473930.4,0.2009712364587224,0.3176356284932009
2025-09-01,35,793000,22027.777777777777,21671836.0,722394.5333333333,10271765.0,342392.1666666667,-0.753343701399689,-0.30744352372027073
2025-10-01,35,2268000,63000.0,23333029.0,777767.6333333333,11047561.0,368252.0333333333,1.8600252206809582,0.07665215812818071
2025-11-01,35,4694000,130388.88888888889,34404589.0,1146819.6333333333,16224054.0,540801.8,1.0696649029982361,0.4745016174282388
2025-12-01,35,9998000,277722.22222222225,36227395.0,1207579.8333333333,17461932.0,582064.4,1.1299531316574352,0.05298147872076009
2026-02-01,35,960000,26666.666666666668,21347285.0,711576.1666666666,10521991.0,350733.0333333333,-0.9039807961592319,-0.4107419261031603
2026-03-01,35,3648000,101333.33333333333,23803726.0,793457.5333333333,11806334.0,393544.4666666667,2.8,0.11507041761985182
2026-04-01,35,3159000,87750.0,17559647.0,585321.5666666667,8775004.0,292500.13333333336,-0.13404605263157898,-0.26231519384822355
2026-05-01,35,1797000,49916.666666666664,0.0,,0.0,,-0.4311490978157645,-1.0
2026-06-01,35,2793000,77583.33333333333,0.0,,0.0,,0.5542570951585977,
2026-07-01,35,3593000,99805.55555555556,0.0,,0.0,,0.28643036161833146,
