Variable,Outliers
Spend,59
Traffic,36
Transactions,30
Store_Count,36
Total_Selling_SqFt,18
Avg_Selling_SqFt,0
DMA_Population,36
TradeAreaPopulation,0
Year,0
Month_Number,0
Quarter,0
Holiday_Season,72
Spend_Lag_1,51
Spend_Lag_2,47
Spend_Lag_3,47
Spend_Lag_6,38
Rolling_Spend_3,57
Rolling_Spend_6,65
Rolling_Spend_12,55
Cumulative_Spend,78
Spend_pct_change,72
Log_Spend,0
Spend_Index,26
High_Spend,0
Traffic_Lag_1,36
Traffic_Lag_12,14
Rolling_Traffic_3,40
Traffic_pct_change,0
Traffic_per_Store,16
Transactions_per_Store,17
Traffic_per_1000SqFt,18
Spend_per_Store,20
Spend_per_1000SqFt,21
