DMA,Months
"Atlanta, GA",18
"Baltimore, MD",18
"Boston, MA (Manchester, NH)",18
"Buffalo, NY",18
"Charlotte, NC",18
"Chicago, IL",18
"Cincinnati, OH",18
"Cleveland-Akron (Canton), OH",18
Columbus OH,18
"Dallas-Ft. Worth, TX",18
"Detroit, MI",18
"El Paso, TX (Las Cruces, NM)",18
"Ft. Myers-Naples, FL",18
"Harlingen, TX",18
"Hartford, CT",18
"Houston, TX",18
Includes Chelsea Event in April,18
"Las Vegas, NV",18
"Los Angeles, CA",18
"Miami-Ft. Lauderdale, FL",18
"Minneapolis-St. Paul, MN",18
"New York, NY",18
"Oklahoma City, OK",18
"Orlando-Daytona Beach-Melbourne, FL",18
"Philadelphia, PA",18
"Phoenix (Prescott), AZ",18
"Providence, RI-New Bedford, MA",18
Puerto Rico,18
"Sacramento-Stockton-Modesto, CA",18
"San Antonio, TX",18
"San Diego, CA",18
"Seattle-Tacoma, WA",18
"Tampa-St. Petersburg (Sarasota), FL",18
"Washington, DC (Hagerstown, MD)",18
"West Palm Beach, FL",18
