,Traffic
Traffic,1.0
Transactions,0.996
Rolling_Traffic_3,0.972
Traffic_Lag_1,0.926
Traffic_Lag_12,0.911
Store_Count,0.902
Total_Selling_SqFt,0.9
Rolling_Spend_12,0.825
DMA_Population,0.799
Rolling_Spend_6,0.761
TradeAreaPopulation,0.743
Rolling_Spend_3,0.725
Spend,0.676
Cumulative_Spend,0.649
Spend_Lag_6,0.601
Traffic_per_Store,0.562
Transactions_per_Store,0.55
Spend_Lag_1,0.503
Traffic_per_1000SqFt,0.482
Spend_Lag_2,0.477
Spend_Lag_3,0.412
Log_Spend,0.356
Spend_per_Store,0.33
Spend_per_1000SqFt,0.312
Avg_Selling_SqFt,0.181
Holiday_Season,0.165
Month_Number,0.151
Traffic_pct_change,0.14
Quarter,0.133
Spend_Index,0.051
Spend_pct_change,0.05
High_Spend,0.031
Year,-0.077
