DMA,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01
"Atlanta, GA",654698.0,611214.0,917368.0,750700.0,1044682.0,775538.0,878744.0,1067752.0,705671.0,811182.0,1181969.0,1256400.0,735373.0,830749.0,638550.0,0.0,0.0,0.0
"Baltimore, MD",290788.0,259127.0,389697.0,331376.0,419895.0,351789.0,346510.0,488900.0,313974.0,349646.0,530767.0,562938.0,309708.0,363813.0,267459.0,0.0,0.0,0.0
"Boston, MA (Manchester, NH)",483438.0,459957.0,739490.0,645682.0,824922.0,690393.0,704278.0,947690.0,664828.0,688860.0,1022502.0,976258.0,561785.0,646780.0,496012.0,0.0,0.0,0.0
"Buffalo, NY",63907.0,59957.0,92793.0,70080.0,92039.0,78460.0,75978.0,97065.0,66832.0,67489.0,95917.0,87675.0,54034.0,62443.0,44598.0,0.0,0.0,0.0
"Charlotte, NC",286829.0,287391.0,468263.0,397692.0,510929.0,411185.0,422294.0,589747.0,381311.0,403446.0,561327.0,670970.0,382057.0,417962.0,306669.0,0.0,0.0,0.0
"Chicago, IL",1001342.0,916578.0,1436776.0,1164191.0,1530640.0,1251991.0,1253574.0,1731674.0,1155521.0,1174794.0,1848083.0,2005642.0,1168097.0,1256885.0,925681.0,0.0,0.0,0.0
"Cincinnati, OH",122743.0,121499.0,196008.0,155058.0,204834.0,157904.0,167385.0,243984.0,157472.0,171470.0,249388.0,246733.0,149607.0,168417.0,123148.0,0.0,0.0,0.0
"Cleveland-Akron (Canton), OH",141316.0,155529.0,258943.0,198327.0,256086.0,203305.0,210196.0,322162.0,197269.0,213076.0,309307.0,328607.0,199444.0,219864.0,156552.0,0.0,0.0,0.0
Columbus OH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dallas-Ft. Worth, TX",895077.0,769800.0,1208507.0,960207.0,1296101.0,1004952.0,1093294.0,1499092.0,961418.0,1023404.0,1591968.0,1765235.0,938441.0,1069178.0,755698.0,0.0,0.0,0.0
