,Missing_Count,Percent
Traffic_Lag_12,408,66.67
Spend_Lag_6,204,33.33
Spend_pct_change,151,24.67
Spend_Lag_3,102,16.67
Spend_Lag_2,68,11.11
Traffic_pct_change,34,5.56
Traffic_Lag_1,34,5.56
Spend_Lag_1,34,5.56
DMA_Original_y,0,0.0
Traffic,0,0.0
Transactions,0,0.0
Month,0,0.0
DMA_Original_x,0,0.0
DMA,0,0.0
Spend,0,0.0
Month_Number,0,0.0
Year,0,0.0
TradeAreaPopulation,0,0.0
DMA_Population,0,0.0
_merge,0,0.0
Store_Count,0,0.0
Total_Selling_SqFt,0,0.0
Avg_Selling_SqFt,0,0.0
Rolling_Spend_3,0,0.0
Month_Name,0,0.0
Quarter,0,0.0
Holiday_Season,0,0.0
Cumulative_Spend,0,0.0
Log_Spend,0,0.0
Rolling_Spend_12,0,0.0
Rolling_Spend_6,0,0.0
High_Spend,0,0.0
Spend_Index,0,0.0
Rolling_Traffic_3,0,0.0
Traffic_per_Store,0,0.0
Transactions_per_Store,0,0.0
Traffic_per_1000SqFt,0,0.0
Spend_per_Store,0,0.0
Spend_per_1000SqFt,0,0.0
