Month,Active_DMAs,Total_Spend,Avg_DMA_Spend,Total_Traffic,Avg_DMA_Traffic,Total_Transactions,Avg_DMA_Transactions,Spend_pct_change,Traffic_pct_change
2025-02-01,34,0,0.0,14033153.0,412739.79411764705,6590216.0,193829.88235294117,,
2025-03-01,34,1719000,50558.82352941176,20486179.0,602534.6764705882,9577986.0,281705.4705882353,inf,0.4598414910747428
2025-04-01,34,2714000,79823.5294117647,16067517.0,472574.0294117647,7619442.0,224101.23529411765,0.578824898196626,-0.21568990488660678
2025-05-01,34,1147000,33735.294117647056,19830164.0,583240.1176470588,9372241.0,275654.14705882355,-0.577376565954311,0.23417725339889173
2025-06-01,34,1647000,48441.17647058824,16769711.0,493226.79411764705,7795144.0,229268.9411764706,0.4359197907585004,-0.1543332168105115
2025-07-01,34,2677000,78735.29411764706,17482904.0,514203.0588235294,7911661.0,232695.91176470587,0.6253794778384942,0.042528639879363395
2025-08-01,34,3215000,94558.82352941176,23166072.0,681355.0588235294,10067570.0,296105.0,0.2009712364587224,0.32507002269188234
2025-09-01,34,793000,23323.529411764706,16225483.0,477220.0882352941,7360843.0,216495.38235294117,-0.753343701399689,-0.299601460273455
2025-10-01,34,2268000,66705.88235294117,16697162.0,491093.0,7586470.0,223131.4705882353,1.8600252206809582,0.029070259418471522
2025-11-01,34,4694000,138058.82352941178,23581653.0,693578.0294117647,10767415.0,316688.67647058825,1.0696649029982361,0.4123150389269745
2025-12-01,34,9998000,294058.82352941175,24595379.0,723393.5,11387693.0,334932.14705882355,1.1299531316574352,0.0429879109831699
2026-01-01,34,3320000,97647.05882352941,19409166.0,570857.8235294118,8904127.0,261886.08823529413,-0.6679335867173435,-0.21086127601449034
2026-02-01,34,960000,28235.29411764706,15204005.0,447176.6176470588,7311487.0,215043.73529411765,-0.7108433734939759,-0.2166585107263238
2026-03-01,34,3648000,107294.11764705883,18601159.0,547092.9117647059,9035996.0,265764.5882352941,2.8,0.22343810068465508
2026-04-01,34,3159000,92911.76470588235,19012165.0,559181.3235294118,9231738.0,271521.70588235295,-0.13404605263157898,0.022095719949493553
2026-05-01,34,1797000,52852.94117647059,24213396.0,712158.7058823529,11523197.0,338917.5588235294,-0.4311490978157645,0.27357384074880486
2026-06-01,34,2793000,82147.05882352941,19865374.0,584275.7058823529,9337005.0,274617.79411764705,0.5542570951585977,-0.17957092842325795
2026-07-01,34,3593000,105676.4705882353,18544986.0,545440.7647058824,8508351.0,250245.61764705883,0.28643036161833146,-0.06646680802485772
