Variable,Outliers
Spend,55
Traffic,45
Transactions,37
Store_Count,36
Total_Selling_SqFt,36
Avg_Selling_SqFt,0
DMA_Population,36
TradeAreaPopulation,54
Year,0
Month_Number,0
Quarter,0
Holiday_Season,68
Spend_Lag_1,50
Spend_Lag_2,47
Spend_Lag_3,47
Spend_Lag_6,38
Rolling_Spend_3,51
Rolling_Spend_6,69
Rolling_Spend_12,65
Cumulative_Spend,75
Spend_pct_change,72
Log_Spend,0
Spend_Index,26
High_Spend,0
Traffic_Lag_1,43
Traffic_Lag_12,11
Rolling_Traffic_3,41
Traffic_pct_change,1
Traffic_per_Store,18
Transactions_per_Store,15
Traffic_per_1000SqFt,25
Spend_per_Store,26
Spend_per_1000SqFt,27
