DMA,Month,Predicted,Actual
"Atlanta, GA",2025-02-01,475634.5776055918,472473.0
"Atlanta, GA",2025-03-01,675553.5439292195,720150.0
"Atlanta, GA",2025-04-01,538968.2465199468,501015.0
"Atlanta, GA",2025-05-01,648633.0517251728,671946.0
"Atlanta, GA",2025-06-01,555969.8680555815,604762.0
"Atlanta, GA",2025-07-01,592663.2421425305,683399.0
"Atlanta, GA",2025-08-01,755749.4262022543,761772.0
"Atlanta, GA",2025-09-01,534845.4933528808,574892.0
"Atlanta, GA",2025-10-01,543428.7988072275,601843.0
"Atlanta, GA",2025-11-01,760579.0847199878,782394.0
"Atlanta, GA",2025-12-01,802086.3046290168,803261.0
"Atlanta, GA",2026-01-01,646597.3489182284,567888.0
"Atlanta, GA",2026-02-01,530279.1131963752,490720.0
"Atlanta, GA",2026-03-01,653902.5529956317,610098.0
"Atlanta, GA",2026-04-01,641363.4478086656,628150.0
"Atlanta, GA",2026-05-01,805365.0574623554,816938.0
"Atlanta, GA",2026-06-01,668784.0432617648,610240.0
"Atlanta, GA",2026-07-01,663466.7986675695,591929.0
"Baltimore, MD",2025-02-01,190158.5964090749,204980.0
"Baltimore, MD",2025-03-01,367381.81405116187,347799.0
"Baltimore, MD",2025-04-01,232859.7665220294,274050.0
"Baltimore, MD",2025-05-01,354216.32104804897,337446.0
"Baltimore, MD",2025-06-01,261553.13737845764,309119.0
"Baltimore, MD",2025-07-01,281052.76246423944,284809.0
"Baltimore, MD",2025-08-01,442075.6966438231,415153.0
"Baltimore, MD",2025-09-01,247306.26227622386,250071.0
"Baltimore, MD",2025-10-01,257608.94263068732,304894.0
"Baltimore, MD",2025-11-01,440027.85556108976,413336.0
"Baltimore, MD",2025-12-01,428922.20352654706,431004.0
"Baltimore, MD",2026-01-01,324670.619839237,297907.0
"Baltimore, MD",2026-02-01,214886.00873782736,241274.0
"Baltimore, MD",2026-03-01,287615.9514936288,287622.0
"Baltimore, MD",2026-04-01,304650.0945886704,296075.0
"Baltimore, MD",2026-05-01,471402.7040825469,371138.0
"Baltimore, MD",2026-06-01,333446.189961863,349616.0
"Baltimore, MD",2026-07-01,286520.072784843,310062.0
"Boston, MA (Manchester, NH)",2025-02-01,364392.48708254506,374008.0
"Boston, MA (Manchester, NH)",2025-03-01,562592.078506056,567423.0
"Boston, MA (Manchester, NH)",2025-04-01,431508.780777157,464335.0
"Boston, MA (Manchester, NH)",2025-05-01,539454.2110822661,538603.0
"Boston, MA (Manchester, NH)",2025-06-01,448854.27729281486,469729.0
"Boston, MA (Manchester, NH)",2025-07-01,469729.4022986901,454601.0
"Boston, MA (Manchester, NH)",2025-08-01,644163.4606991842,595756.0
"Boston, MA (Manchester, NH)",2025-09-01,422571.77788976405,441233.0
"Boston, MA (Manchester, NH)",2025-10-01,424621.45872366725,462888.0
"Boston, MA (Manchester, NH)",2025-11-01,653807.3689372445,686404.0
"Boston, MA (Manchester, NH)",2025-12-01,700128.8385666003,680538.0
"Boston, MA (Manchester, NH)",2026-01-01,533292.0085150416,518224.0
"Boston, MA (Manchester, NH)",2026-02-01,408033.02331258147,402126.0
"Boston, MA (Manchester, NH)",2026-03-01,523747.338571301,520514.0
"Boston, MA (Manchester, NH)",2026-04-01,527370.3574454321,558630.0
"Boston, MA (Manchester, NH)",2026-05-01,686901.5923588184,646319.0
"Boston, MA (Manchester, NH)",2026-06-01,550320.5781582278,520420.0
"Boston, MA (Manchester, NH)",2026-07-01,524026.95978260855,513765.0
"Buffalo, NY",2025-02-01,-68006.0496428918,50110.0
"Buffalo, NY",2025-03-01,108873.29301917179,70854.0
"Buffalo, NY",2025-04-01,-30119.129250264155,63242.0
"Buffalo, NY",2025-05-01,92956.80017587212,76946.0
"Buffalo, NY",2025-06-01,-1769.6333738592675,70245.0
"Buffalo, NY",2025-07-01,12227.992031549065,56174.0
"Buffalo, NY",2025-08-01,173250.9262111327,77257.0
"Buffalo, NY",2025-09-01,-11202.258755766201,44809.0
"Buffalo, NY",2025-10-01,-5026.078161582847,48269.0
"Buffalo, NY",2025-11-01,173610.20998856274,47888.0
"Buffalo, NY",2025-12-01,158034.18321371658,53722.0
"Buffalo, NY",2026-01-01,59284.59920678003,41259.0
"Buffalo, NY",2026-02-01,-43278.63731413934,43040.0
"Buffalo, NY",2026-03-01,29451.305441662098,52394.0
"Buffalo, NY",2026-04-01,46485.44853670368,47942.0
"Buffalo, NY",2026-05-01,213238.05803058017,63108.0
"Buffalo, NY",2026-06-01,75281.54390989628,54386.0
"Buffalo, NY",2026-07-01,28355.42673287628,50003.0
"Charlotte, NC",2025-02-01,165769.3255147018,198513.0
"Charlotte, NC",2025-03-01,344024.1680968588,289386.0
"Charlotte, NC",2025-04-01,208814.37060767962,243780.0
"Charlotte, NC",2025-05-01,330858.6750937459,268273.0
"Charlotte, NC",2025-06-01,237507.74146410785,217942.0
"Charlotte, NC",2025-07-01,248754.3670293294,232219.0
"Charlotte, NC",2025-08-01,412528.30104909977,280734.0
"Charlotte, NC",2025-09-01,222916.99138185073,189473.0
"Charlotte, NC",2025-10-01,222559.54735559053,235742.0
"Charlotte, NC",2025-11-01,416670.20960678667,359006.0
"Charlotte, NC",2025-12-01,404876.8076121973,473791.0
"Charlotte, NC",2026-01-01,300969.09890491056,269006.0
"Charlotte, NC",2026-02-01,190496.73784345426,276570.0
"Charlotte, NC",2026-03-01,263226.6805992557,314656.0
"Charlotte, NC",2026-04-01,280260.8236942973,348657.0
"Charlotte, NC",2026-05-01,447013.4331881738,434854.0
"Charlotte, NC",2026-06-01,309056.91906748986,331972.0
"Charlotte, NC",2026-07-01,262130.80189046988,303861.0
"Chicago, IL",2025-02-01,824838.593272403,680729.0
"Chicago, IL",2025-03-01,1023725.9346559606,992476.0
"Chicago, IL",2025-04-01,905022.136207902,775608.0
"Chicago, IL",2025-05-01,1003339.0670723575,1038248.0
"Chicago, IL",2025-06-01,917897.2579832564,895826.0
"Chicago, IL",2025-07-01,935677.5081689216,923622.0
"Chicago, IL",2025-08-01,1116301.316209836,1346778.0
"Chicago, IL",2025-09-01,968298.8791254115,836821.0
"Chicago, IL",2025-10-01,1043937.8056843104,817837.0
"Chicago, IL",2025-11-01,1140731.8485889,1283629.0
"Chicago, IL",2025-12-01,1230037.690721174,1489002.0
"Chicago, IL",2026-01-01,1011963.4886461368,1060892.0
"Chicago, IL",2026-02-01,881546.3787433265,847514.0
"Chicago, IL",2026-03-01,1022707.4425237735,967696.0
"Chicago, IL",2026-04-01,1007417.3374966207,994967.0
"Chicago, IL",2026-05-01,1179328.0716908474,1294013.0
"Chicago, IL",2026-06-01,1064067.3062517042,1097977.0
"Chicago, IL",2026-07-01,1053591.9369571588,986795.0
"Cincinnati, OH",2025-02-01,29870.568697886018,105031.0
"Cincinnati, OH",2025-03-01,210532.5361402064,166249.0
"Cincinnati, OH",2025-04-01,75322.73865102725,132585.0
"Cincinnati, OH",2025-05-01,191865.04345671996,158907.0
"Cincinnati, OH",2025-06-01,99201.85978712866,131324.0
"Cincinnati, OH",2025-07-01,119733.1098129805,158743.0
"Cincinnati, OH",2025-08-01,281443.7939526108,236042.0
"Cincinnati, OH",2025-09-01,87018.23456503493,150199.0
"Cincinnati, OH",2025-10-01,105917.78942008206,151893.0
"Cincinnati, OH",2025-11-01,281803.0777300409,213673.0
"Cincinnati, OH",2025-12-01,278950.4252160585,208661.0
"Cincinnati, OH",2026-01-01,163350.96718797804,135215.0
"Cincinnati, OH",2026-02-01,54597.981026638474,125206.0
"Cincinnati, OH",2026-03-01,127327.9237824399,152506.0
"Cincinnati, OH",2026-04-01,144362.0668774815,151319.0
"Cincinnati, OH",2026-05-01,311114.676371358,185990.0
"Cincinnati, OH",2026-06-01,173158.1622506741,152468.0
"Cincinnati, OH",2026-07-01,126232.0450736541,145792.0
"Cleveland-Akron (Canton), OH",2025-02-01,63610.35327916185,117024.0
"Cleveland-Akron (Canton), OH",2025-03-01,243240.69578141219,186335.0
"Cleveland-Akron (Canton), OH",2025-04-01,106311.52339211632,146650.0
"Cleveland-Akron (Canton), OH",2025-05-01,225948.70301801915,201047.0
"Cleveland-Akron (Canton), OH",2025-06-01,131910.01942833446,169943.0
"Cleveland-Akron (Canton), OH",2025-07-01,150034.14459402292,174421.0
"Cleveland-Akron (Canton), OH",2025-08-01,311057.0787736065,257561.0
"Cleveland-Akron (Canton), OH",2025-09-01,121101.89412633411,165142.0
"Cleveland-Akron (Canton), OH",2025-10-01,120056.70014002724,179556.0
"Cleveland-Akron (Canton), OH",2025-11-01,312447.9874911066,262091.0
"Cleveland-Akron (Canton), OH",2025-12-01,304781.0852567974,247363.0
"Cleveland-Akron (Canton), OH",2026-01-01,195715.2518491605,160020.0
"Cleveland-Akron (Canton), OH",2026-02-01,88337.7656079143,168240.0
"Cleveland-Akron (Canton), OH",2026-03-01,161067.70836371573,189297.0
"Cleveland-Akron (Canton), OH",2026-04-01,178101.85145875733,183897.0
"Cleveland-Akron (Canton), OH",2026-05-01,344854.4609526338,244762.0
"Cleveland-Akron (Canton), OH",2026-06-01,206897.94683194993,197852.0
"Cleveland-Akron (Canton), OH",2026-07-01,159971.82965492993,174246.0
"Columbus, OH",2025-02-01,-3911.9591464806144,77936.0
"Columbus, OH",2025-03-01,174342.88343567637,146482.0
"Columbus, OH",2025-04-01,40508.585866590576,108677.0
"Columbus, OH",2025-05-01,157738.64063233,133309.0
"Columbus, OH",2025-06-01,66107.08190280871,134650.0
"Columbus, OH",2025-07-01,81824.08220833376,139296.0
"Columbus, OH",2025-08-01,245941.8912081275,214165.0
"Columbus, OH",2025-09-01,53235.70672066832,106372.0
"Columbus, OH",2025-10-01,70072.01169557536,113109.0
"Columbus, OH",2025-11-01,245269.55004548753,163568.0
"Columbus, OH",2025-12-01,238978.14773127166,122040.0
"Columbus, OH",2026-01-01,128880.68938356474,94858.0
"Columbus, OH",2026-02-01,20815.45318227184,75248.0
"Columbus, OH",2026-03-01,93545.39593807328,111468.0
"Columbus, OH",2026-04-01,110579.53903311485,125441.0
"Columbus, OH",2026-05-01,277332.14852699137,141114.0
"Columbus, OH",2026-06-01,139375.63440630745,112966.0
"Columbus, OH",2026-07-01,92449.51722928746,112386.0
"Dallas-Ft. Worth, TX",2025-02-01,683956.808202809,625075.0
"Dallas-Ft. Worth, TX",2025-03-01,882156.3996263199,980877.0
"Dallas-Ft. Worth, TX",2025-04-01,752448.6018175143,702298.0
"Dallas-Ft. Worth, TX",2025-05-01,860737.9071026468,921441.0
"Dallas-Ft. Worth, TX",2025-06-01,769450.2233531488,779426.0
"Dallas-Ft. Worth, TX",2025-07-01,800985.4727397477,860990.0
"Dallas-Ft. Worth, TX",2025-08-01,962008.4069193313,1122844.0
"Dallas-Ft. Worth, TX",2025-09-01,852863.8425775449,721394.0
"Dallas-Ft. Worth, TX",2025-10-01,954981.1425982415,766037.0
"Dallas-Ft. Worth, TX",2025-11-01,977154.3148377652,1091602.0
"Dallas-Ft. Worth, TX",2025-12-01,1031384.909007658,1156784.0
"Dallas-Ft. Worth, TX",2026-01-01,855263.4544954689,775498.0
"Dallas-Ft. Worth, TX",2026-02-01,734130.9690532889,677849.0
"Dallas-Ft. Worth, TX",2026-03-01,877699.1576938994,842809.0
"Dallas-Ft. Worth, TX",2026-04-01,875476.3019076337,800138.0
"Dallas-Ft. Worth, TX",2026-05-01,1019189.287739946,1016690.0
"Dallas-Ft. Worth, TX",2026-06-01,910806.0219012699,913760.0
"Dallas-Ft. Worth, TX",2026-07-01,886231.7784257672,931413.0
"Detroit, MI",2025-02-01,200684.2844273582,262387.0
"Detroit, MI",2025-03-01,387192.12653007545,384928.0
"Detroit, MI",2025-04-01,256452.70378119976,300978.0
"Detroit, MI",2025-05-01,367493.008906519,351117.0
"Detroit, MI",2025-06-01,277236.95009709103,331581.0
"Detroit, MI",2025-07-01,292266.2004425694,335908.0
"Detroit, MI",2025-08-01,467388.00880311016,439530.0
"Detroit, MI",2025-09-01,258519.70025455378,281841.0
"Detroit, MI",2025-10-01,278450.88004967093,295621.0
"Detroit, MI",2025-11-01,473249.29226091376,417564.0
"Detroit, MI",2025-12-01,501001.512969009,373625.0
"Detroit, MI",2026-01-01,354797.18171885086,275640.0
"Detroit, MI",2026-02-01,225411.69675611064,258768.0
"Detroit, MI",2026-03-01,298141.6395119121,317299.0
"Detroit, MI",2026-04-01,315175.78260695364,315176.0
"Detroit, MI",2026-05-01,481928.39210083015,414996.0
"Detroit, MI",2026-06-01,343971.87798014627,380027.0
"Detroit, MI",2026-07-01,297045.76080312626,339421.0
"El Paso, TX (Las Cruces, NM)",2025-02-01,185980.03384581552,240398.0
"El Paso, TX (Las Cruces, NM)",2025-03-01,365266.5013680425,333629.0
"El Paso, TX (Las Cruces, NM)",2025-04-01,228337.3289787466,275700.0
"El Paso, TX (Las Cruces, NM)",2025-05-01,351069.38342485955,331030.0
"El Paso, TX (Las Cruces, NM)",2025-06-01,256342.9498751282,263657.0
"El Paso, TX (Las Cruces, NM)",2025-07-01,271028.32524058316,283173.0
"El Paso, TX (Las Cruces, NM)",2025-08-01,433082.8843602369,362987.0
"El Paso, TX (Las Cruces, NM)",2025-09-01,242439.94975291775,281516.0
"El Paso, TX (Las Cruces, NM)",2025-10-01,244489.63058682097,296988.0
"El Paso, TX (Las Cruces, NM)",2025-11-01,435505.418017807,458259.0
"El Paso, TX (Las Cruces, NM)",2025-12-01,425087.515943311,444046.0
"El Paso, TX (Las Cruces, NM)",2026-01-01,319460.43233590754,309182.0
"El Paso, TX (Las Cruces, NM)",2026-02-01,210707.44617456797,253829.0
"El Paso, TX (Las Cruces, NM)",2026-03-01,283437.3889303694,303090.0
"El Paso, TX (Las Cruces, NM)",2026-04-01,300471.53202541097,294298.0
"El Paso, TX (Las Cruces, NM)",2026-05-01,467224.1415192875,369247.0
"El Paso, TX (Las Cruces, NM)",2026-06-01,329267.6273986036,272993.0
"El Paso, TX (Las Cruces, NM)",2026-07-01,282341.5102215836,257518.0
"Ft. Myers-Naples, FL",2025-02-01,95638.33232707837,162586.0
"Ft. Myers-Naples, FL",2025-03-01,272173.8000091186,227019.0
"Ft. Myers-Naples, FL",2025-04-01,134556.87765977604,180992.0
"Ft. Myers-Naples, FL",2025-05-01,259008.30700600572,200314.0
"Ft. Myers-Naples, FL",2025-06-01,164281.87345627433,160446.0
"Ft. Myers-Naples, FL",2025-07-01,176216.24898154257,180380.0
"Ft. Myers-Naples, FL",2025-08-01,338614.68308121955,192735.0
"Ft. Myers-Naples, FL",2025-09-01,152442.12321420395,167996.0
"Ft. Myers-Naples, FL",2025-10-01,151053.05424787375,172132.0
"Ft. Myers-Naples, FL",2025-11-01,339661.71681869635,285024.0
"Ft. Myers-Naples, FL",2025-12-01,323054.0651037801,325104.0
"Ft. Myers-Naples, FL",2026-01-01,227055.48093703037,272745.0
"Ft. Myers-Naples, FL",2026-02-01,120365.74465583083,199578.0
"Ft. Myers-Naples, FL",2026-03-01,193095.68741163227,234215.0
"Ft. Myers-Naples, FL",2026-04-01,210129.83050667384,245244.0
"Ft. Myers-Naples, FL",2026-05-01,376882.44000055036,294052.0
"Ft. Myers-Naples, FL",2026-06-01,238925.92587986644,235570.0
"Ft. Myers-Naples, FL",2026-07-01,191999.80870284647,229024.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2025-02-01,282214.38129222026,311106.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2025-03-01,464251.848654634,438017.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2025-04-01,330073.6761055249,355042.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2025-05-01,450054.73071145103,452025.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2025-06-01,356703.79708181304,320362.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2025-07-01,371389.17244726804,349005.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2025-08-01,534475.3565069918,487890.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2025-09-01,339018.17217934586,332545.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2025-10-01,341411.7279932724,307867.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2025-11-01,541024.389924842,507382.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2025-12-01,547800.2368515133,546923.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2026-01-01,423947.77930287254,445443.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2026-02-01,306941.7936209727,348019.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2026-03-01,379671.73637677415,431108.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2026-04-01,396705.8794718157,431454.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2026-05-01,563458.4889656922,573572.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2026-06-01,425501.97484500834,409790.0
