DMA,Months,Traffic_Observations,Spend_Observations,Store_Count
"Atlanta, GA",18,18,18,33
"Baltimore, MD",18,18,18,10
"Boston, MA (Manchester, NH)",18,18,18,24
"Buffalo, NY",18,18,18,5
"Charlotte, NC",18,18,18,15
"Chicago, IL",18,18,18,47
"Cincinnati, OH",18,18,18,9
"Cleveland-Akron (Canton), OH",18,18,18,13
"Columbus, OH",18,18,18,5
"Dallas-Ft. Worth, TX",18,18,18,33
"Detroit, MI",18,18,18,21
"El Paso, TX (Las Cruces, NM)",18,18,18,9
"Ft. Myers-Naples, FL",18,18,18,10
"Harlingen-Weslaco-Brownsville-McAllen, TX",18,18,18,13
"Hartford & New Haven, CT",18,18,18,16
"Houston, TX",18,18,18,46
"Las Vegas, NV",18,18,18,14
"Los Angeles, CA",18,18,18,65
"Miami-Ft. Lauderdale, FL",18,18,18,40
"Minneapolis-St. Paul, MN",18,18,18,12
"New York, NY",18,18,18,99
"Oklahoma City, OK",18,18,18,10
"Orlando-Daytona Beach-Melbourne, FL",18,18,18,25
"Philadelphia, PA",18,18,18,42
"Phoenix (Prescott), AZ",18,18,18,23
"Providence, RI-New Bedford, MA",18,18,18,13
Puerto Rico,18,18,18,30
"Sacramento-Stockton-Modesto, CA",18,18,18,18
"San Antonio, TX",18,18,18,17
"San Diego, CA",18,18,18,10
"Seattle-Tacoma, WA",18,18,18,13
"Tampa-St. Petersburg (Sarasota), FL",18,18,18,25
"Washington, DC (Hagerstown, MD)",18,18,18,26
"West Palm Beach-Ft. Pierce, FL",18,18,18,12
