,Traffic
Traffic,1.0
Transactions,0.997
Rolling_Traffic_3,0.981
Traffic_Lag_12,0.979
Traffic_Lag_1,0.949
Total_Selling_SqFt,0.926
Store_Count,0.925
DMA_Population,0.83
Rolling_Spend_12,0.817
Rolling_Spend_6,0.793
TradeAreaPopulation,0.783
Rolling_Spend_3,0.767
Spend,0.705
Cumulative_Spend,0.689
Spend_Lag_1,0.645
Spend_Lag_2,0.571
Spend_Lag_3,0.552
Spend_Lag_6,0.536
Transactions_per_Store,0.446
Traffic_per_Store,0.439
Traffic_per_1000SqFt,0.397
Log_Spend,0.389
Spend_per_Store,0.336
Spend_per_1000SqFt,0.331
Avg_Selling_SqFt,0.107
Traffic_pct_change,0.096
Holiday_Season,0.093
Spend_Index,0.077
Month_Number,0.071
High_Spend,0.067
Quarter,0.062
Year,0.007
Spend_pct_change,0.005
