DMA,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01
"Atlanta, GA",472473.0,720150.0,501015.0,671946.0,604762.0,683399.0,761772.0,574892.0,601843.0,782394.0,803261.0,567888.0,490720.0,610098.0,628150.0,816938.0,610240.0,591929.0
"Baltimore, MD",204980.0,347799.0,274050.0,337446.0,309119.0,284809.0,415153.0,250071.0,304894.0,413336.0,431004.0,297907.0,241274.0,287622.0,296075.0,371138.0,349616.0,310062.0
"Boston, MA (Manchester, NH)",374008.0,567423.0,464335.0,538603.0,469729.0,454601.0,595756.0,441233.0,462888.0,686404.0,680538.0,518224.0,402126.0,520514.0,558630.0,646319.0,520420.0,513765.0
"Buffalo, NY",50110.0,70854.0,63242.0,76946.0,70245.0,56174.0,77257.0,44809.0,48269.0,47888.0,53722.0,41259.0,43040.0,52394.0,47942.0,63108.0,54386.0,50003.0
"Charlotte, NC",198513.0,289386.0,243780.0,268273.0,217942.0,232219.0,280734.0,189473.0,235742.0,359006.0,473791.0,269006.0,276570.0,314656.0,348657.0,434854.0,331972.0,303861.0
"Chicago, IL",680729.0,992476.0,775608.0,1038248.0,895826.0,923622.0,1346778.0,836821.0,817837.0,1283629.0,1489002.0,1060892.0,847514.0,967696.0,994967.0,1294013.0,1097977.0,986795.0
"Cincinnati, OH",105031.0,166249.0,132585.0,158907.0,131324.0,158743.0,236042.0,150199.0,151893.0,213673.0,208661.0,135215.0,125206.0,152506.0,151319.0,185990.0,152468.0,145792.0
"Cleveland-Akron (Canton), OH",117024.0,186335.0,146650.0,201047.0,169943.0,174421.0,257561.0,165142.0,179556.0,262091.0,247363.0,160020.0,168240.0,189297.0,183897.0,244762.0,197852.0,174246.0
"Columbus, OH",77936.0,146482.0,108677.0,133309.0,134650.0,139296.0,214165.0,106372.0,113109.0,163568.0,122040.0,94858.0,75248.0,111468.0,125441.0,141114.0,112966.0,112386.0
"Dallas-Ft. Worth, TX",625075.0,980877.0,702298.0,921441.0,779426.0,860990.0,1122844.0,721394.0,766037.0,1091602.0,1156784.0,775498.0,677849.0,842809.0,800138.0,1016690.0,913760.0,931413.0
"Detroit, MI",262387.0,384928.0,300978.0,351117.0,331581.0,335908.0,439530.0,281841.0,295621.0,417564.0,373625.0,275640.0,258768.0,317299.0,315176.0,414996.0,380027.0,339421.0
"El Paso, TX (Las Cruces, NM)",240398.0,333629.0,275700.0,331030.0,263657.0,283173.0,362987.0,281516.0,296988.0,458259.0,444046.0,309182.0,253829.0,303090.0,294298.0,369247.0,272993.0,257518.0
"Ft. Myers-Naples, FL",162586.0,227019.0,180992.0,200314.0,160446.0,180380.0,192735.0,167996.0,172132.0,285024.0,325104.0,272745.0,199578.0,234215.0,245244.0,294052.0,235570.0,229024.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",311106.0,438017.0,355042.0,452025.0,320362.0,349005.0,487890.0,332545.0,307867.0,507382.0,546923.0,445443.0,348019.0,431108.0,431454.0,573572.0,409790.0,385671.0
"Hartford & New Haven, CT",193142.0,297425.0,230033.0,292438.0,214514.0,205537.0,288394.0,195442.0,208156.0,333484.0,358279.0,247578.0,197140.0,287632.0,277908.0,330714.0,272562.0,248279.0
"Houston, TX",801111.0,1186513.0,861842.0,994680.0,899569.0,889406.0,1246838.0,846484.0,765224.0,1233841.0,1362734.0,1005386.0,758353.0,967608.0,903931.0,1134452.0,977590.0,922039.0
"Las Vegas, NV",223298.0,345834.0,270928.0,329738.0,240731.0,291910.0,287306.0,215574.0,222555.0,281614.0,261103.0,232199.0,220994.0,259325.0,258407.0,312401.0,231217.0,227685.0
"Los Angeles, CA",1100942.0,1575700.0,1302004.0,1495507.0,1147030.0,1178756.0,1562669.0,1078670.0,1216801.0,1652457.0,1797541.0,1532738.0,1145789.0,1428634.0,1510002.0,1896971.0,1588287.0,1460651.0
"Miami-Ft. Lauderdale, FL",921274.0,1211447.0,932102.0,1179708.0,1046841.0,984205.0,1387567.0,948016.0,958960.0,1430165.0,1454858.0,1361596.0,1007895.0,1056586.0,1025864.0,1564788.0,1200643.0,1122291.0
"Minneapolis-St. Paul, MN",183868.0,274695.0,210290.0,256063.0,239353.0,254440.0,365190.0,262397.0,259021.0,351143.0,269402.0,185562.0,219066.0,303396.0,301033.0,378225.0,316537.0,296846.0
"New York, NY",2103418.0,3247183.0,2547946.0,3165076.0,2880350.0,2936444.0,3759759.0,2778201.0,2687790.0,3436538.0,3323095.0,2927380.0,2055620.0,2710011.0,3003772.0,3641071.0,3154801.0,2755612.0
"Oklahoma City, OK",97935.0,139140.0,98932.0,119230.0,120856.0,132278.0,208038.0,114553.0,150819.0,259022.0,284990.0,174950.0,149023.0,163390.0,135851.0,166429.0,154617.0,138790.0
"Orlando-Daytona Beach-Melbourne, FL",560646.0,676377.0,539136.0,667323.0,502880.0,601789.0,829522.0,551679.0,572557.0,903278.0,969444.0,850612.0,592349.0,606532.0,599480.0,801147.0,583462.0,592896.0
"Philadelphia, PA",527695.0,733416.0,620943.0,707093.0,639860.0,635195.0,945981.0,649407.0,695882.0,917788.0,977097.0,691951.0,518415.0,666756.0,744659.0,899504.0,767769.0,656014.0
"Phoenix (Prescott), AZ",298847.0,434655.0,336678.0,445624.0,311012.0,389663.0,373546.0,347801.0,281363.0,458354.0,655833.0,441011.0,373450.0,474619.0,449652.0,586377.0,429044.0,463221.0
"Providence, RI-New Bedford, MA",160702.0,203061.0,178435.0,245795.0,189346.0,187486.0,298586.0,188062.0,195408.0,271236.0,295885.0,240935.0,199649.0,225329.0,276420.0,337054.0,307782.0,268366.0
Puerto Rico,961872.0,1262355.0,1010521.0,1390533.0,1103164.0,1170517.0,1428611.0,1160378.0,1273719.0,1615025.0,1784096.0,1533828.0,1250061.0,1383962.0,1332220.0,1788995.0,1341938.0,1282805.0
"Sacramento-Stockton-Modesto, CA",290692.0,422143.0,319813.0,390865.0,310034.0,349332.0,473540.0,318803.0,334610.0,452239.0,469044.0,344234.0,266517.0,352789.0,355619.0,457484.0,379726.0,383307.0
"San Antonio, TX",318753.0,460890.0,345257.0,423550.0,393846.0,443976.0,563347.0,369943.0,375101.0,524979.0,512793.0,407721.0,288664.0,355985.0,341709.0,437850.0,394012.0,417905.0
